Ritz       Aud       fdu       E_d(eV)-E_u(eV)      lower_conf  lower_term  lower_J  upper_conf  upper_term  upper_J  g_d-g_u  type  
-------------------------------------------------------------------------------------------------------------------------------------
3247.686   1.22e+06  3.22e-03  26.9524-30.768916    3p.3d       3D*         1.0      3p.4p       3P          2.0      3-5      E1    
3270.461   2.99e+07  4.79e-02  26.9524-30.74234     3p.3d       3D*         1.0      3p.4p       3P          1.0      3-3      E1    
3279.261   1.18e+08  6.37e-02  26.9524-30.732169    3p.3d       3D*         1.0      3p.4p       3P          0.0      3-1      E1    

2165.537   4.47e+05  4.40e-04  24.663327-30.386863  3p.3d       3F*         2.0      3p.4p       3D          3.0      5-7      E1    
2175.933   2.18e+07  1.55e-02  24.663327-30.359521  3p.3d       3F*         2.0      3p.4p       3D          2.0      5-5      E1    
2182.066   1.95e+08  8.34e-02  24.663327-30.343512  3p.3d       3F*         2.0      3p.4p       3D          1.0      5-3      E1    

3549.42    1.77e+03  4.68e-06  24.663327-28.155413  3p.3d       3F*         2.0      3s.5d       3D          3.0      5-7      E1    
3549.988   8.78e+04  1.66e-04  24.663327-28.154854  3p.3d       3F*         2.0      3s.5d       3D          2.0      5-5      E1    
3550.369   7.87e+05  8.93e-04  24.663327-28.154479  3p.3d       3F*         2.0      3s.5d       3D          1.0      5-3      E1    

2415.222   4.64e+04  5.68e-05  24.663327-29.795217  3p.3d       3F*         2.0      3s.6d       3D          3.0      5-7      E1    
2416.994   2.29e+06  2.01e-03  24.663327-29.791454  3p.3d       3F*         2.0      3s.6d       3D          2.0      5-5      E1    
2418.281   2.05e+07  1.08e-02  24.663327-29.788726  3p.3d       3F*         2.0      3s.6d       3D          1.0      5-3      E1    

1991.465   4.73e+04  3.94e-05  24.663327-30.887085  3p.3d       3F*         2.0      3s.7d       3D          3.0      5-7      E1    
1992.149   2.35e+06  1.40e-03  24.663327-30.884947  3p.3d       3F*         2.0      3s.7d       3D          2.0      5-5      E1    
1992.56    2.10e+07  7.52e-03  24.663327-30.88366   3p.3d       3F*         2.0      3s.7d       3D          1.0      5-3      E1    

3135.918   1.54e+07  3.79e-02  26.81638-30.768916   3p.3d       3P*         1.0      3p.4p       3P          2.0      3-5      E1    
3157.147   1.51e+07  2.26e-02  26.81638-30.74234    3p.3d       3P*         1.0      3p.4p       3P          1.0      3-3      E1    
3165.347   5.99e+07  3.00e-02  26.81638-30.732169   3p.3d       3P*         1.0      3p.4p       3P          0.0      3-1      E1    

