Ritz      Aud      fdu      E_d(eV)-E_u(eV)      lower_conf  lower_term  lower_J  upper_conf  upper_term  upper_J  g_d-g_u  type  
----------------------------------------------------------------------------------------------------------------------------------
3397.237  1.8e+08  1.0e-01  16.209672-19.858185  3p6.3d.4d   3S          1.0      3p6.3d.4f   3P*         0.0      3-1      E1    
3404.462  1.8e+08  3.1e-01  16.209672-19.850442  3p6.3d.4d   3S          1.0      3p6.3d.4f   3P*         1.0      3-3      E1    
3417.622  1.9e+08  5.5e-01  16.209672-19.836423  3p6.3d.4d   3S          1.0      3p6.3d.4f   3P*         2.0      3-5      E1    

7460.01   4.4e+07  1.2e-01  20.945002-22.606529  3p6.3d.5d   3S          1.0      3p6.3d.5f   3P*         0.0      3-1      E1    
7491.99   3.4e+07  2.9e-01  20.945002-22.599437  3p6.3d.5d   3S          1.0      3p6.3d.5f   3P*         1.0      3-3      E1    
7531.13   4.5e+07  6.4e-01  20.945002-22.590837  3p6.3d.5d   3S          1.0      3p6.3d.5f   3P*         2.0      3-5      E1    

3337.66   2.5e-02  5.8e-11  1.05058-4.764216     3p6.3d2     1D          2.0      3p6.3d.4s   3D          3.0      5-7      E2    
3363.15   6.2e-02  1.1e-10  1.05058-4.736066     3p6.3d2     1D          2.0      3p6.3d.4s   3D          2.0      5-5      E2    
3378.45   2.3e-02  2.4e-11  1.05058-4.719378     3p6.3d2     1D          2.0      3p6.3d.4s   3D          1.0      5-3      E2    

2614.21   1.2e+01  1.2e-08  0.02292-4.764216     3p6.3d2     3F          3.0      3p6.3d.4s   3D          3.0      7-7      E2    
2629.82   2.6e+01  1.9e-08  0.02292-4.736066     3p6.3d2     3F          3.0      3p6.3d.4s   3D          2.0      7-5      E2    
2639.17   1.7e+01  7.6e-09  0.02292-4.719378     3p6.3d2     3F          3.0      3p6.3d.4s   3D          1.0      7-3      E2    

3593.2    1.4e+00  6.3e-09  1.31468-4.764216     3p6.3d2     3P          1.0      3p6.3d.4s   3D          3.0      3-7      E2    
3622.77   3.3e-01  1.1e-09  1.31468-4.736066     3p6.3d2     3P          1.0      3p6.3d.4s   3D          2.0      3-5      E2    
3640.52   2.9e+00  5.8e-09  1.31468-4.719378     3p6.3d2     3P          1.0      3p6.3d.4s   3D          1.0      3-3      E2    

3608.45   2.7e+00  7.4e-09  1.32926-4.764216     3p6.3d2     3P          2.0      3p6.3d.4s   3D          3.0      5-7      E2    
3638.27   2.2e+00  4.4e-09  1.32926-4.736066     3p6.3d2     3P          2.0      3p6.3d.4s   3D          2.0      5-5      E2    
3656.18   9.4e-01  1.1e-09  1.32926-4.719378     3p6.3d2     3P          2.0      3p6.3d.4s   3D          1.0      5-3      E2    

