Ritz      Aud       fdu       E_d(eV)-E_u(eV)    lower_conf  lower_term  lower_J  upper_conf  upper_term  upper_J  g_d-g_u  type  
----------------------------------------------------------------------------------------------------------------------------------
3274.94   3.3e+07   8.8e-02   28.09694-31.88169  3p6.3d.4d   3P          1.0      3p6.3d.5p   3P*         2.0      3-5      E1    
3314.18   2.9e+07   4.8e-02   28.09694-31.83689  3p6.3d.4d   3P          1.0      3p6.3d.5p   3P*         1.0      3-3      E1    
3318.79   1.2e+08   6.6e-02   28.09694-31.83169  3p6.3d.4d   3P          1.0      3p6.3d.5p   3P*         0.0      3-1      E1    

1326.8    4.0e+08   1.8e-01   18.77456-28.11916  3p6.3d.4p   3P*         1.0      3p6.3d.4d   3P          2.0      3-5      E1    
1329.96   4.8e+08   1.3e-01   18.77456-28.09694  3p6.3d.4p   3P*         1.0      3p6.3d.4d   3P          1.0      3-3      E1    
1331.65   1.7e+09   1.5e-01   18.77456-28.0851   3p6.3d.4p   3P*         1.0      3p6.3d.4d   3P          0.0      3-1      E1    

1981.79   6.5e+07   5.4e-02   11.95358-18.20771  3p6.3d.4s   3D          2.0      3p6.3d.4p   3D*         3.0      5-7      E1    
1998.66   3.6e+08   2.2e-01   11.95358-18.15492  3p6.3d.4s   3D          2.0      3p6.3d.4p   3D*         2.0      5-5      E1    
2011.2    1.7e+08   6.2e-02   11.95358-18.11629  3p6.3d.4s   3D          2.0      3p6.3d.4p   3D*         1.0      5-3      E1    

1164.976  4.9e+00   1.4e-09   1.35878-12.00142   3p6.3d2     1D          2.0      3p6.3d.4s   3D          3.0      5-7      E2    
1170.237  1.2e+01   2.5e-09   1.35878-11.95358   3p6.3d2     1D          2.0      3p6.3d.4s   3D          2.0      5-5      E2    
1173.202  3.9e+00   4.8e-10   1.35878-11.9268    3p6.3d2     1D          2.0      3p6.3d.4s   3D          1.0      5-3      E2    

1036.564  3.90e+02  6.28e-08  0.04034-12.00142   3p6.3d2     3F          3.0      3p6.3d.4s   3D          3.0      7-7      E2    
1040.727  8.80e+02  1.02e-07  0.04034-11.95358   3p6.3d2     3F          3.0      3p6.3d.4s   3D          2.0      7-5      E2    
1043.072  5.80e+02  4.05e-08  0.04034-11.9268    3p6.3d2     3F          3.0      3p6.3d.4s   3D          1.0      7-3      E2    

1196.762  1.30e+02  6.51e-08  1.64145-12.00142   3p6.3d2     3P          1.0      3p6.3d.4s   3D          3.0      3-7      E2    
1202.315  3.1e+01   1.1e-08   1.64145-11.95358   3p6.3d2     3P          1.0      3p6.3d.4s   3D          2.0      3-5      E2    
1205.445  2.70e+02  5.88e-08  1.64145-11.9268    3p6.3d2     3P          1.0      3p6.3d.4s   3D          1.0      3-3      E2    

1199.908  2.40e+02  7.25e-08  1.66862-12.00142   3p6.3d2     3P          2.0      3p6.3d.4s   3D          3.0      5-7      E2    
1205.49   2.00e+02  4.36e-08  1.66862-11.95358   3p6.3d2     3P          2.0      3p6.3d.4s   3D          2.0      5-5      E2    
1208.637  8.7e+01   1.1e-08   1.66862-11.9268    3p6.3d2     3P          2.0      3p6.3d.4s   3D          1.0      5-3      E2    

