Ritz       Aud       fdu       E_d(eV)-E_u(eV)     lower_conf  lower_term  lower_J  upper_conf  upper_term  upper_J  g_d-g_u  type  
------------------------------------------------------------------------------------------------------------------------------------
1951.1882  1.73e+07  1.38e-02  6.651613-13.003822  4d.5p       1D*         2.0      4d.5d       3D          3.0      5-7      E1    
1981.0436  3.78e+07  2.23e-02  6.651613-12.908106  4d.5p       1D*         2.0      4d.5d       3D          2.0      5-5      E1    
1996.293   1.14e+07  4.09e-03  6.651613-12.860322  4d.5p       1D*         2.0      4d.5d       3D          1.0      5-3      E1    

2081.7362  3.39e+08  3.67e-01  7.701577-13.655488  4d.5p       1P*         1.0      4d.5d       3P          2.0      3-5      E1    
2105.2508  1.95e+07  1.30e-02  7.701577-13.588994  4d.5p       1P*         1.0      4d.5d       3P          1.0      3-3      E1    
2122.729   1.73e+07  3.90e-03  7.701577-13.540524  4d.5p       1P*         1.0      4d.5d       3P          0.0      3-1      E1    

1913.536   4.92e+07  3.47e-02  6.952702-13.42988   4d.5p       3F*         3.0      4d.5d       3F          4.0      7-9      E1    
1931.8542  4.87e+08  2.73e-01  6.952702-13.368472  4d.5p       3F*         3.0      4d.5d       3F          3.0      7-7      E1    
1953.2526  3.05e+07  1.25e-02  6.952702-13.298198  4d.5p       3F*         3.0      4d.5d       3F          2.0      7-5      E1    

1981.9294  5.74e+07  5.64e-02  7.401791-13.655488  4d.5p       3P*         1.0      4d.5d       3P          2.0      3-5      E1    
2003.2325  1.08e+08  6.50e-02  7.401791-13.588994  4d.5p       3P*         1.0      4d.5d       3P          1.0      3-3      E1    
2019.052   1.89e+08  3.85e-02  7.401791-13.540524  4d.5p       3P*         1.0      4d.5d       3P          0.0      3-1      E1    

1451.3613  1.56e+08  8.21e-02  7.401791-15.944405  4d.5p       3P*         1.0      5p2         3P          2.0      3-5      E1    
1489.105   1.82e+08  6.05e-02  7.401791-15.727879  4d.5p       3P*         1.0      5p2         3P          1.0      3-3      E1    
1508.3859  7.21e+07  8.20e-03  7.401791-15.621451  4d.5p       3P*         1.0      5p2         3P          0.0      3-1      E1    

2061.478   5.19e+08  5.51e-01  9.931991-15.944405  5s.5p       3P*         1.0      5p2         3P          2.0      3-5      E1    
2138.501   3.62e+08  2.48e-01  9.931991-15.727879  5s.5p       3P*         1.0      5p2         3P          1.0      3-3      E1    
2178.509   4.57e+08  1.08e-01  9.931991-15.621451  5s.5p       3P*         1.0      5p2         3P          0.0      3-1      E1    

