Ritz      Aud           fdu       E_d(eV)-E_u(eV)       lower_conf  lower_term  lower_J  upper_conf  upper_term  upper_J  g_d-g_u  type  
-----------------------------------------------------------------------------------------------------------------------------------------
1929.977  115000000.0   0.107     11.672797-18.096925   3p2         3P          1.0      3p.4s       3P*         2.0      3-5      E1    
1934.713  114000000.0   0.0642    11.672797-18.081198   3p2         3P          1.0      3p.4s       3P*         1.0      3-3      E1    
1936.908  456000000.0   0.0855    11.672797-18.073939   3p2         3P          1.0      3p.4s       3P*         0.0      3-1      E1    

1776.973  1670000000.0  1.11      11.687827-18.665098   3p2         3P          2.0      3p.3d       3D*         3.0      5-7      E1    
1777.826  418000000.0   0.198     11.687827-18.661751   3p2         3P          2.0      3p.3d       3D*         2.0      5-5      E1    
1778.596  46400000.0    0.0132    11.687827-18.658729   3p2         3P          2.0      3p.3d       3D*         1.0      5-3      E1    

10081.16  162000.0      0.00412   11.846869-13.076729   3s.3d       3D          1.0      3s.4p       3P*         2.0      3-5      E1    
10111.16  4020000.0     0.0616    11.846869-13.07308    3s.3d       3D          1.0      3s.4p       3P*         1.0      3-3      E1    
10125.47  16000000.0    0.0821    11.846869-13.071347   3s.3d       3D          1.0      3s.4p       3P*         0.0      3-1      E1    

1818.391  68200000.0    0.0473    11.846753-18.665098   3s.3d       3D          2.0      3p.3d       3D*         3.0      5-7      E1    
1819.285  425000000.0   0.211     11.846753-18.661751   3s.3d       3D          2.0      3p.3d       3D*         2.0      5-5      E1    
1820.092  153000000.0   0.0455    11.846753-18.658729   3s.3d       3D          2.0      3p.3d       3D*         1.0      5-3      E1    

2193.289  247000000.0   0.229     11.846618-17.499508   3s.3d       3D          3.0      3p.3d       3F*         4.0      7-9      E1    
2194.877  27400000.0    0.0198    11.846618-17.495418   3s.3d       3D          3.0      3p.3d       3F*         3.0      7-7      E1    
2196.09   1080000.0     0.000559  11.846618-17.492297   3s.3d       3D          3.0      3p.3d       3F*         2.0      7-5      E1    

2638.477  28500000.0    0.0383    11.846618-16.5457     3s.3d       3D          3.0      3s.5f       3F*         4.0      7-9      E1    
2638.964  3180000.0     0.00332   11.846618-16.544833   3s.3d       3D          3.0      3s.5f       3F*         3.0      7-7      E1    
2639.338  125000.0      9.35e-05  11.846618-16.544168   3s.3d       3D          3.0      3s.5f       3F*         2.0      7-5      E1    

2324.912  34600000.0    0.0361    11.846618-17.17947    3s.3d       3D          3.0      3s.6f       3F*         4.0      7-9      E1    
2326.15   3850000.0     0.00312   11.846618-17.17663    3s.3d       3D          3.0      3s.6f       3F*         3.0      7-7      E1    
2327.098  152000.0      8.81e-05  11.846618-17.17446    3s.3d       3D          3.0      3s.6f       3F*         2.0      7-5      E1    

1760.106  313000000.0   0.242     4.643693-11.687827    3s.3p       3P*         1.0      3p2         3P          2.0      3-5      E1    
1763.869  304000000.0   0.142     4.643693-11.672797    3s.3p       3P*         1.0      3p2         3P          1.0      3-3      E1    
1765.816  1230000000.0  0.191     4.643693-11.665048    3s.3p       3P*         1.0      3p2         3P          0.0      3-1      E1    

8356.61   42700000.0    0.575     15.062034-16.5457     3s.4d       3D          3.0      3s.5f       3F*         4.0      7-9      E1    
8361.5    4750000.0     0.0498    15.062034-16.544833   3s.4d       3D          3.0      3s.5f       3F*         3.0      7-7      E1    
8365.25   187000.0      0.0014    15.062034-16.544168   3s.4d       3D          3.0      3s.5f       3F*         2.0      7-5      E1    

5855.38   12800000.0    0.0849    15.062034-17.17947    3s.4d       3D          3.0      3s.6f       3F*         4.0      7-9      E1    
5863.25   1430000.0     0.00735   15.062034-17.17663    3s.4d       3D          3.0      3s.6f       3F*         3.0      7-7      E1    
5869.27   56100.0       0.000207  15.062034-17.17446    3s.4d       3D          3.0      3s.6f       3F*         2.0      7-5      E1    

4587.103  10000000.0    0.0407    15.062034-17.764921   3s.4d       3D          3.0      3s.7f       3F*         4.0      7-9      E1    
4589.396  1120000.0     0.00353   15.062034-17.763571   3s.4d       3D          3.0      3s.7f       3F*         3.0      7-7      E1    
4590.877  44000.0       9.94e-05  15.062034-17.762699   3s.4d       3D          3.0      3s.7f       3F*         2.0      7-5      E1    

4228.006  9370000.0     0.0323    15.062034-17.994485   3s.4d       3D          3.0      3s.8f       3F*         4.0      7-9      E1    
4228.611  1040000.0     0.0028    15.062034-17.994066   3s.4d       3D          3.0      3s.8f       3F*         3.0      7-7      E1    
4229.043  41100.0       7.88e-05  15.062034-17.993766   3s.4d       3D          3.0      3s.8f       3F*         2.0      7-5      E1    

1828.587  472000000.0   0.394     11.316596-18.096925   3s.4s       3S          1.0      3p.4s       3P*         2.0      3-5      E1    
1832.838  469000000.0   0.236     11.316596-18.081198   3s.4s       3S          1.0      3p.4s       3P*         1.0      3-3      E1    
1834.807  467000000.0   0.0786    11.316596-18.073939   3s.4s       3S          1.0      3p.4s       3P*         0.0      3-1      E1    

7044.02   57800000.0    0.716     11.316596-13.076729   3s.4s       3S          1.0      3s.4p       3P*         2.0      3-5      E1    
7058.66   57400000.0    0.429     11.316596-13.07308    3s.4s       3S          1.0      3s.4p       3P*         1.0      3-3      E1    
7065.63   57300000.0    0.143     11.316596-13.071347   3s.4s       3S          1.0      3s.4p       3P*         0.0      3-1      E1    

9559.44   1910000.0     0.0336    16.46794-17.764921    3s.5d       3D          3.0      3s.7f       3F*         4.0      7-9      E1    
9569.41   212000.0      0.00291   16.46794-17.763571    3s.5d       3D          3.0      3s.7f       3F*         3.0      7-7      E1    
9575.85   8360.0        8.21e-05  16.46794-17.762699    3s.5d       3D          3.0      3s.7f       3F*         2.0      7-5      E1    

8121.88   2910000.0     0.037     16.46794-17.994485    3s.5d       3D          3.0      3s.8f       3F*         4.0      7-9      E1    
8124.11   324000.0      0.00321   16.46794-17.994066    3s.5d       3D          3.0      3s.8f       3F*         3.0      7-7      E1    
8125.71   12800.0       9.05e-05  16.46794-17.993766    3s.5d       3D          3.0      3s.8f       3F*         2.0      7-5      E1    

7310.17   2560000.0     0.0264    16.46794-18.163991    3s.5d       3D          3.0      3s.9f       3F*         4.0      7-9      E1    
7310.96   285000.0      0.00228   16.46794-18.163808    3s.5d       3D          3.0      3s.9f       3F*         3.0      7-7      E1    
7311.54   11200.0       6.44e-05  16.46794-18.163673    3s.5d       3D          3.0      3s.9f       3F*         2.0      7-5      E1    

13008.38  1050000.0     0.0344    17.210881-18.163991   3s.6d       3D          3.0      3s.9f       3F*         4.0      7-9      E1    
13010.89  117000.0      0.00298   17.210881-18.163808   3s.6d       3D          3.0      3s.9f       3F*         3.0      7-7      E1    
13012.73  4630.0        8.39e-05  17.210881-18.163673   3s.6d       3D          3.0      3s.9f       3F*         2.0      7-5      E1    

13616.83  3370000.0     0.131     16.7406102-17.651132  3s.6p       3P*         2.0      3s.7d       3D          3.0      5-7      E1    
13617.37  845000.0      0.0235    16.7406102-17.651096  3s.6p       3P*         2.0      3s.7d       3D          2.0      5-5      E1    
13617.65  93500.0       0.00156   16.7406102-17.651077  3s.6p       3P*         2.0      3s.7d       3D          1.0      5-3      E1    

