Ritz      Aud           fdu       E_d(eV)-E_u(eV)    lower_conf        lower_term  lower_J  upper_conf        upper_term  upper_J  g_d-g_u  type  
--------------------------------------------------------------------------------------------------------------------------------------------------
1219.179  306000000.0   0.0682    85.01946-95.18894  2s2.2p5.(2P*).3p  1D          2.0      2s2.2p5.(2P*).3d  3D*         2.0      5-5      E1    
1225.23   13800000.0    0.00435   85.01946-95.13872  2s2.2p5.(2P*).3p  1D          2.0      2s2.2p5.(2P*).3d  3D*         3.0      5-7      E1    
1232.246  6070000.0     0.000829  85.01946-95.0811   2s2.2p5.(2P*).3p  1D          2.0      2s2.2p5.(2P*).3d  3D*         1.0      5-3      E1    

1360.3    59100000.0    0.0273    85.17207-94.28655  2s2.2p5.(2P*).3p  1P          1.0      2s2.2p5.(2P*).3d  3P*         2.0      3-5      E1    
1376.696  39400000.0    0.0112    85.17207-94.178    2s2.2p5.(2P*).3p  1P          1.0      2s2.2p5.(2P*).3d  3P*         1.0      3-3      E1    
1384.384  122000000.0   0.0117    85.17207-94.12799  2s2.2p5.(2P*).3p  1P          1.0      2s2.2p5.(2P*).3d  3P*         0.0      3-1      E1    

1290.481  18200000.0    0.00758   84.67895-94.28655  2s2.2p5.(2P*).3p  3D          1.0      2s2.2p5.(2P*).3d  3P*         2.0      3-5      E1    
1305.227  5160000.0     0.00132   84.67895-94.178    2s2.2p5.(2P*).3p  3D          1.0      2s2.2p5.(2P*).3d  3P*         1.0      3-3      E1    
1312.136  97500000.0    0.00839   84.67895-94.12799  2s2.2p5.(2P*).3p  3D          1.0      2s2.2p5.(2P*).3d  3P*         0.0      3-1      E1    

1161.881  177000000.0   0.0357    84.51796-95.18894  2s2.2p5.(2P*).3p  3D          2.0      2s2.2p5.(2P*).3d  3D*         2.0      5-5      E1    
1167.376  94100000.0    0.0269    84.51796-95.13872  2s2.2p5.(2P*).3p  3D          2.0      2s2.2p5.(2P*).3d  3D*         3.0      5-7      E1    
1173.743  131000000.0   0.0162    84.51796-95.0811   2s2.2p5.(2P*).3p  3D          2.0      2s2.2p5.(2P*).3d  3D*         1.0      5-3      E1    

1208.404  28600000.0    0.00448   84.41586-94.67602  2s2.2p5.(2P*).3p  3D          3.0      2s2.2p5.(2P*).3d  3F*         2.0      7-5      E1    
1228.31   221000000.0   0.05      84.41586-94.50974  2s2.2p5.(2P*).3p  3D          3.0      2s2.2p5.(2P*).3d  3F*         3.0      7-7      E1    
1237.186  1960000000.0  0.579     84.41586-94.43733  2s2.2p5.(2P*).3p  3D          3.0      2s2.2p5.(2P*).3d  3F*         4.0      7-9      E1    

1392.314  31500000.0    0.0153    85.38164-94.28655  2s2.2p5.(2P*).3p  3P          1.0      2s2.2p5.(2P*).3d  3P*         2.0      3-5      E1    
1409.495  113000000.0   0.0336    85.38164-94.178    2s2.2p5.(2P*).3p  3P          1.0      2s2.2p5.(2P*).3d  3P*         1.0      3-3      E1    
1417.555  323000000.0   0.0324    85.38164-94.12799  2s2.2p5.(2P*).3p  3P          1.0      2s2.2p5.(2P*).3d  3P*         0.0      3-1      E1    

1251.25   10500000.0    0.00246   85.28011-95.18894  2s2.2p5.(2P*).3p  3P          2.0      2s2.2p5.(2P*).3d  3D*         2.0      5-5      E1    
1257.624  1680000000.0  0.558     85.28011-95.13872  2s2.2p5.(2P*).3p  3P          2.0      2s2.2p5.(2P*).3d  3D*         3.0      5-7      E1    
1265.017  2300000.0     0.000332  85.28011-95.0811   2s2.2p5.(2P*).3p  3P          2.0      2s2.2p5.(2P*).3d  3D*         1.0      5-3      E1    

1125.622  1180000000.0  0.372     83.27182-94.28655  2s2.2p5.(2P*).3p  3S          1.0      2s2.2p5.(2P*).3d  3P*         2.0      3-5      E1    
1136.825  1360000000.0  0.263     83.27182-94.178    2s2.2p5.(2P*).3p  3S          1.0      2s2.2p5.(2P*).3d  3P*         1.0      3-3      E1    
1142.062  1440000000.0  0.0942    83.27182-94.12799  2s2.2p5.(2P*).3p  3S          1.0      2s2.2p5.(2P*).3d  3P*         0.0      3-1      E1    

1564.164  267000000.0   0.0979    77.4551-85.38164   2s2.2p5.(2P*).3s  1P*         1.0      2s2.2p5.(2P*).3p  3P          1.0      3-3      E1    
1572.522  28400000.0    0.00351   77.4551-85.33951   2s2.2p5.(2P*).3s  1P*         1.0      2s2.2p5.(2P*).3p  3P          0.0      3-1      E1    
1584.46   334000000.0   0.209     77.4551-85.28011   2s2.2p5.(2P*).3s  1P*         1.0      2s2.2p5.(2P*).3p  3P          2.0      3-5      E1    

1424.999  75700000.0    0.023     76.68099-85.38164  2s2.2p5.(2P*).3s  3P*         1.0      2s2.2p5.(2P*).3p  3P          1.0      3-3      E1    
1431.932  825000000.0   0.0845    76.68099-85.33951  2s2.2p5.(2P*).3s  3P*         1.0      2s2.2p5.(2P*).3p  3P          0.0      3-1      E1    
1441.824  192000000.0   0.0999    76.68099-85.28011  2s2.2p5.(2P*).3s  3P*         1.0      2s2.2p5.(2P*).3p  3P          2.0      3-5      E1    

1507.441  58300000.0    0.0119    76.45414-84.67895  2s2.2p5.(2P*).3s  3P*         2.0      2s2.2p5.(2P*).3p  3D          1.0      5-3      E1    
1537.537  253000000.0   0.0896    76.45414-84.51796  2s2.2p5.(2P*).3s  3P*         2.0      2s2.2p5.(2P*).3p  3D          2.0      5-5      E1    
1557.254  670000000.0   0.341     76.45414-84.41586  2s2.2p5.(2P*).3s  3P*         2.0      2s2.2p5.(2P*).3p  3D          3.0      5-7      E1    

