Ritz        Aud          fdu      E_d(eV)-E_u(eV)            lower_conf       lower_term  lower_J  upper_conf       upper_term  upper_J  g_d-g_u  type  
--------------------------------------------------------------------------------------------------------------------------------------------------------
3842.60804  26900000.0   0.0298   19.61030789-22.83687165    3s2.3p4.(3P).4p  4D*         1.5      3s2.3p4.(3P).4d  4D          0.5      4-2      E1    
3873.23464  15000000.0   0.034    19.61030789-22.81135843    3s2.3p4.(3P).4p  4D*         1.5      3s2.3p4.(3P).4d  4D          1.5      4-4      E1    
3901.7314   7200000.0    0.025    19.61030789-22.78797918    3s2.3p4.(3P).4p  4D*         1.5      3s2.3p4.(3P).4d  4D          2.5      4-6      E1    

3800.46057  17000000.0   0.025    19.549011775-22.81135843   3s2.3p4.(3P).4p  4D*         2.5      3s2.3p4.(3P).4d  4D          1.5      6-4      E1    
3827.89275  28100000.0   0.0617   19.549011775-22.78797918   3s2.3p4.(3P).4p  4D*         2.5      3s2.3p4.(3P).4d  4D          2.5      6-6      E1    
3845.82133  4800000.0    0.014    19.549011775-22.77287965   3s2.3p4.(3P).4p  4D*         2.5      3s2.3p4.(3P).4d  4D          3.5      6-8      E1    

3488.3135   2700000.0    0.0033   19.549011775-23.103285166  3s2.3p4.(3P).4p  4D*         2.5      3s2.3p4.(3P).4d  4F          1.5      6-4      E1    
3520.99979  52000000.0   0.097    19.549011775-23.070289982  3s2.3p4.(3P).4p  4D*         2.5      3s2.3p4.(3P).4d  4F          2.5      6-6      E1    
3577.63644  275000000.0  0.704    19.549011775-23.01454553   3s2.3p4.(3P).4p  4D*         2.5      3s2.3p4.(3P).4d  4F          3.5      6-8      E1    

3467.35614  3000000.0    0.0041   19.49453389-23.070289982   3s2.3p4.(3P).4p  4D*         3.5      3s2.3p4.(3P).4d  4F          2.5      8-6      E1    
3522.26671  22700000.0   0.0422   19.49453389-23.01454553    3s2.3p4.(3P).4p  4D*         3.5      3s2.3p4.(3P).4d  4F          3.5      8-8      E1    
3589.46432  303000000.0  0.732    19.49453389-22.94864813    3s2.3p4.(3P).4p  4D*         3.5      3s2.3p4.(3P).4d  4F          4.5      8-10     E1    

3170.58522  49000000.0   0.11     19.261084163-23.1715357    3s2.3p4.(3P).4p  4P*         1.5      3s2.3p4.(3P).4d  4P          2.5      4-6      E1    
3213.44612  5200000.0    0.0081   19.261084163-23.11937815   3s2.3p4.(3P).4p  4P*         1.5      3s2.3p4.(3P).4d  4P          1.5      4-4      E1    
3244.62397  105600000.0  0.08333  19.261084163-23.08230349   3s2.3p4.(3P).4p  4P*         1.5      3s2.3p4.(3P).4d  4P          0.5      4-2      E1    

3623.16999  64000000.0   0.063    19.261084163-22.683065435  3s2.3p4.(3P).4p  4P*         1.5      3s2.3p4.(3P).5s  4P          0.5      4-2      E1    
3721.48409  17000000.0   0.035    19.261084163-22.592663597  3s2.3p4.(3P).4p  4P*         1.5      3s2.3p4.(3P).5s  4P          1.5      4-4      E1    
3810.53708  44000000.0   0.14     19.261084163-22.514803938  3s2.3p4.(3P).4p  4P*         1.5      3s2.3p4.(3P).5s  4P          2.5      4-6      E1    

3455.08455  31400000.0   0.0375   19.222902151-22.81135843   3s2.3p4.(3P).4p  4P*         2.5      3s2.3p4.(3P).4d  4D          1.5      6-4      E1    
3477.74249  125000000.0  0.227    19.222902151-22.78797918   3s2.3p4.(3P).4p  4P*         2.5      3s2.3p4.(3P).4d  4D          2.5      6-6      E1    
3492.53477  231000000.0  0.563    19.222902151-22.77287965   3s2.3p4.(3P).4p  4P*         2.5      3s2.3p4.(3P).4d  4D          3.5      6-8      E1    

3869.62488  140000000.0  0.47     19.96749907-23.1715357     3s2.3p4.(3P).4p  4S*         1.5      3s2.3p4.(3P).4d  4P          2.5      4-6      E1    
3933.65974  93000000.0   0.22     19.96749907-23.11937815    3s2.3p4.(3P).4p  4S*         1.5      3s2.3p4.(3P).4d  4P          1.5      4-4      E1    
3980.48101  98000000.0   0.12     19.96749907-23.08230349    3s2.3p4.(3P).4p  4S*         1.5      3s2.3p4.(3P).4d  4P          0.5      4-2      E1    

4565.68472  29000000.0   0.045    19.96749907-22.683065435   3s2.3p4.(3P).4p  4S*         1.5      3s2.3p4.(3P).5s  4P          0.5      4-2      E1    
4722.91155  15000000.0   0.05     19.96749907-22.592663597   3s2.3p4.(3P).4p  4S*         1.5      3s2.3p4.(3P).5s  4P          1.5      4-4      E1    
4867.26972  15000000.0   0.08     19.96749907-22.514803938   3s2.3p4.(3P).4p  4S*         1.5      3s2.3p4.(3P).5s  4P          2.5      4-6      E1    

4284.10232  13200000.0   0.0182   16.74852891-19.64258207    3s2.3p4.(3P).4s  4P          1.5      3s2.3p4.(3P).4p  4D*         0.5      4-2      E1    
4332.41698  57400000.0   0.162    16.74852891-19.61030789    3s2.3p4.(3P).4s  4P          1.5      3s2.3p4.(3P).4p  4D*         1.5      4-4      E1    
4427.2436   81700000.0   0.36     16.74852891-19.549011775   3s2.3p4.(3P).4s  4P          1.5      3s2.3p4.(3P).4p  4D*         2.5      4-6      E1    

4849.16392  84900000.0   0.15     16.74852891-19.3053449     3s2.3p4.(3P).4s  4P          1.5      3s2.3p4.(3P).4p  4P*         0.5      4-2      E1    
4934.58594  14400000.0   0.0526   16.74852891-19.261084163   3s2.3p4.(3P).4s  4P          1.5      3s2.3p4.(3P).4p  4P*         1.5      4-4      E1    
5010.73146  15100000.0   0.0853   16.74852891-19.222902151   3s2.3p4.(3P).4s  4P          1.5      3s2.3p4.(3P).4p  4P*         2.5      4-6      E1    

