Ritz       Aud          fdu        E_d(eV)-E_u(eV)      lower_conf      lower_term  lower_J  upper_conf      upper_term  upper_J  g_d-g_u  type  
-------------------------------------------------------------------------------------------------------------------------------------------------
4077.083   31000000.0   0.08       24.3718-27.412802    2s.2p.(3P*).3d  4D*         2.5      2s.2p.(3P*).4f  4F          2.5      6-6      E1    
4077.291   135000000.0  0.449      24.3718-27.412647    2s.2p.(3P*).3d  4D*         2.5      2s.2p.(3P*).4f  4F          3.5      6-8      E1    
4077.951   4100000.0    0.0067     24.3718-27.412155    2s.2p.(3P*).3d  4D*         2.5      2s.2p.(3P*).4f  4F          1.5      6-4      E1    

2886.259   78200000.0   0.122      24.373054-28.668725  2s.2p.(3P*).3d  4D*         3.5      2s.2p.(3P*).5f  4F          4.5      8-10     E1    
2887.237   6300000.0    0.0079     24.373054-28.667271  2s.2p.(3P*).3d  4D*         3.5      2s.2p.(3P*).5f  4F          3.5      8-8      E1    
2887.264   420000.0     0.0004     24.373054-28.66723   2s.2p.(3P*).3d  4D*         3.5      2s.2p.(3P*).5f  4F          2.5      8-6      E1    

5251.367   259000.0     0.00161    24.270232-26.631221  2s.2p.(3P*).3d  4F*         1.5      2s.2p.(3P*).4p  4D          2.5      4-6      E1    
5257.566   5400000.0    0.0224     24.270232-26.628437  2s.2p.(3P*).3d  4F*         1.5      2s.2p.(3P*).4p  4D          1.5      4-4      E1    
5261.18    24800000.0   0.0515     24.270232-26.626817  2s.2p.(3P*).3d  4F*         1.5      2s.2p.(3P*).4p  4D          0.5      4-2      E1    

3080.8     101000.0     0.00022    24.270232-28.29464   2s.2p.(3P*).3d  4F*         1.5      2s.2p.(3P*).5p  4D          2.5      4-6      E1    
3082.68    2130000.0    0.00303    24.270232-28.29219   2s.2p.(3P*).3d  4F*         1.5      2s.2p.(3P*).5p  4D          1.5      4-4      E1    
3083.95    10600000.0   0.00756    24.270232-28.29054   2s.2p.(3P*).3d  4F*         1.5      2s.2p.(3P*).5p  4D          0.5      4-2      E1    

2545.97    53000.0      7.7e-05    24.270232-29.14006   2s.2p.(3P*).3d  4F*         1.5      2s.2p.(3P*).6p  4D          2.5      4-6      E1    
2547.25    1100000.0    0.00107    24.270232-29.1376    2s.2p.(3P*).3d  4F*         1.5      2s.2p.(3P*).6p  4D          1.5      4-4      E1    
2548.12    5500000.0    0.00268    24.270232-29.136     2s.2p.(3P*).3d  4F*         1.5      2s.2p.(3P*).6p  4D          0.5      4-2      E1    

5245.527   141000.0     0.000776   24.271876-26.635493  2s.2p.(3P*).3d  4F*         2.5      2s.2p.(3P*).4p  4D          3.5      6-8      E1    
5255.026   4700000.0    0.0195     24.271876-26.631221  2s.2p.(3P*).3d  4F*         2.5      2s.2p.(3P*).4p  4D          2.5      6-6      E1    
5261.233   20100000.0   0.0556     24.271876-26.628437  2s.2p.(3P*).3d  4F*         2.5      2s.2p.(3P*).4p  4D          1.5      6-4      E1    

3078.727   55000.0      0.000104   24.271876-28.299002  2s.2p.(3P*).3d  4F*         2.5      2s.2p.(3P*).5p  4D          3.5      6-8      E1    
3082.06    1850000.0    0.00263    24.271876-28.29464   2s.2p.(3P*).3d  4F*         2.5      2s.2p.(3P*).5p  4D          2.5      6-6      E1    
3083.94    8510000.0    0.00809    24.271876-28.29219   2s.2p.(3P*).3d  4F*         2.5      2s.2p.(3P*).5p  4D          1.5      6-4      E1    

2544.48    29000.0      3.7e-05    24.271876-29.14454   2s.2p.(3P*).3d  4F*         2.5      2s.2p.(3P*).6p  4D          3.5      6-8      E1    
2546.83    959000.0     0.000932   24.271876-29.14006   2s.2p.(3P*).3d  4F*         2.5      2s.2p.(3P*).6p  4D          2.5      6-6      E1    
2548.11    4410000.0    0.00286    24.271876-29.1376    2s.2p.(3P*).3d  4F*         2.5      2s.2p.(3P*).6p  4D          1.5      6-4      E1    

3877.285   263000000.0  0.711      24.277795-27.475501  2s.2p.(3P*).3d  4F*         4.5      2s.2p.(3P*).4f  4G          5.5      10-12    E1    
3881.695   22400000.0   0.0505     24.277795-27.471868  2s.2p.(3P*).3d  4F*         4.5      2s.2p.(3P*).4f  4G          4.5      10-10    E1    
