Ritz      Aud          fdu       E_d(eV)-E_u(eV)      lower_conf       lower_term  lower_J  upper_conf       upper_term  upper_J  g_d-g_u  type  
-------------------------------------------------------------------------------------------------------------------------------------------------
5859.96   13400000.0   0.023     40.056428-42.172212  1s2.2p.(2P*).3p  3D          1.0      1s2.2p.(2P*).3d  3P*         0.0      3-1      E1    
5864.88   3350000.0    0.0173    40.056428-42.170439  1s2.2p.(2P*).3p  3D          1.0      1s2.2p.(2P*).3d  3P*         1.0      3-3      E1    
5873.73   133000.0     0.00115   40.056428-42.167254  1s2.2p.(2P*).3p  3D          1.0      1s2.2p.(2P*).3d  3P*         2.0      3-5      E1    

4725.496  531000.0     0.000593  40.056428-42.680157  1s2.2p.(2P*).3p  3D          1.0      1s2.2s.5p        3P*         0.0      3-1      E1    
4726.03   133000.0     0.000445  40.056428-42.67986   1s2.2p.(2P*).3p  3D          1.0      1s2.2s.5p        3P*         1.0      3-3      E1    
4726.769  5310.0       2.96e-05  40.056428-42.67945   1s2.2p.(2P*).3p  3D          1.0      1s2.2s.5p        3P*         2.0      3-5      E1    

6855.57   564000.0     0.00556   40.059463-41.867981  1s2.2p.(2P*).3p  3D          2.0      1s2.2p.(2P*).3d  3D*         3.0      5-7      E1    
6864.58   3510000.0    0.0248    40.059463-41.865607  1s2.2p.(2P*).3p  3D          2.0      1s2.2p.(2P*).3d  3D*         2.0      5-5      E1    
6870.67   1260000.0    0.00535   40.059463-41.864006  1s2.2p.(2P*).3p  3D          2.0      1s2.2p.(2P*).3d  3D*         1.0      5-3      E1    

9702.23   847000.0     0.0154    40.064295-41.342189  1s2.2p.(2P*).3p  3D          3.0      1s2.2p.(2P*).3d  3F*         4.0      7-9      E1    
9735.94   93400.0      0.00133   40.064295-41.337764  1s2.2p.(2P*).3p  3D          3.0      1s2.2p.(2P*).3d  3F*         3.0      7-7      E1    
9759.26   3660.0       3.73e-05  40.064295-41.334721  1s2.2p.(2P*).3p  3D          3.0      1s2.2p.(2P*).3d  3F*         2.0      7-5      E1    

7773.9    17700000.0   0.0535    40.577334-42.172212  1s2.2p.(2P*).3p  3S          1.0      1s2.2p.(2P*).3d  3P*         0.0      3-1      E1    
7782.55   17600000.0   0.16      40.577334-42.170439  1s2.2p.(2P*).3p  3S          1.0      1s2.2p.(2P*).3d  3P*         1.0      3-3      E1    
7798.14   17500000.0   0.266     40.577334-42.167254  1s2.2p.(2P*).3p  3S          1.0      1s2.2p.(2P*).3d  3P*         2.0      3-5      E1    

4652.318  22800000.0   0.123     38.217994-40.882992  1s2.2p.(2P*).3s  3P*         1.0      1s2.2p.(2P*).3p  3P          2.0      3-5      E1    
4660.362  22700000.0   0.0739    38.217994-40.878392  1s2.2p.(2P*).3s  3P*         1.0      1s2.2p.(2P*).3p  3P          1.0      3-3      E1    
4664.947  90500000.0   0.0984    38.217994-40.875778  1s2.2p.(2P*).3s  3P*         1.0      1s2.2p.(2P*).3p  3P          0.0      3-1      E1    

1425.903  332000000.0  0.0337    33.477076-42.172212  1s2.2s.3d        3D          1.0      1s2.2p.(2P*).3d  3P*         0.0      3-1      E1    
1426.194  83100000.0   0.0253    33.477076-42.170439  1s2.2s.3d        3D          1.0      1s2.2p.(2P*).3d  3P*         1.0      3-3      E1    
1426.716  3320000.0    0.00169   33.477076-42.167254  1s2.2s.3d        3D          1.0      1s2.2p.(2P*).3d  3P*         2.0      3-5      E1    

1576.479  474000000.0  0.227     33.477561-41.342189  1s2.2s.3d        3D          3.0      1s2.2p.(2P*).3d  3F*         4.0      7-9      E1    
1577.366  52800000.0   0.0197    33.477561-41.337764  1s2.2s.3d        3D          3.0      1s2.2p.(2P*).3d  3F*         3.0      7-7      E1    
1577.977  2080000.0    0.000555  33.477561-41.334721  1s2.2s.3d        3D          3.0      1s2.2p.(2P*).3d  3F*         2.0      7-5      E1    

1427.912  88600000.0   0.0451    32.200087-40.882992  1s2.2s.3p        3P*         1.0      1s2.2p.(2P*).3p  3P          2.0      3-5      E1    
1428.668  88500000.0   0.0271    32.200087-40.878392  1s2.2s.3p        3P*         1.0      1s2.2p.(2P*).3p  3P          1.0      3-3      E1    
1429.099  354000000.0  0.0361    32.200087-40.875778  1s2.2s.3p        3P*         1.0      1s2.2p.(2P*).3p  3P          0.0      3-1      E1    

1576.888  20500000.0   0.0107    32.201709-40.064295  1s2.2s.3p        3P*         2.0      1s2.2p.(2P*).3p  3D          3.0      5-7      E1    
1577.858  5110000.0    0.00191   32.201709-40.059463  1s2.2s.3p        3P*         2.0      1s2.2p.(2P*).3p  3D          2.0      5-5      E1    
1578.468  567000.0     0.000127  32.201709-40.056428  1s2.2s.3p        3P*         2.0      1s2.2p.(2P*).3p  3D          1.0      5-3      E1    

9717.76   7880000.0    0.156     32.201709-33.477561  1s2.2s.3p        3P*         2.0      1s2.2s.3d        3D          3.0      5-7      E1    
9720.41   1970000.0    0.0279    32.201709-33.477213  1s2.2s.3p        3P*         2.0      1s2.2s.3d        3D          2.0      5-5      E1    
9721.45   219000.0     0.00186   32.201709-33.477076  1s2.2s.3p        3P*         2.0      1s2.2s.3d        3D          1.0      5-3      E1    

1620.069  832000000.0  0.458     32.201709-39.854727  1s2.2s.3p        3P*         2.0      1s2.2s.4d        3D          3.0      5-7      E1    
1620.681  208000000.0  0.0819    32.201709-39.851837  1s2.2s.3p        3P*         2.0      1s2.2s.4d        3D          2.0      5-5      E1    
1621.087  23100000.0   0.00546   32.201709-39.849924  1s2.2s.3p        3P*         2.0      1s2.2s.4d        3D          1.0      5-3      E1    

1426.446  321000000.0  0.163     29.534648-38.226472  1s2.2s.3s        3S          1.0      1s2.2p.(2P*).3s  3P*         2.0      3-5      E1    
1427.839  320000000.0  0.0978    29.534648-38.217994  1s2.2s.3s        3S          1.0      1s2.2p.(2P*).3s  3P*         1.0      3-3      E1    
1428.498  320000000.0  0.0326    29.534648-38.213986  1s2.2s.3s        3S          1.0      1s2.2p.(2P*).3s  3P*         0.0      3-1      E1    

4648.72   72600000.0   0.392     29.534648-32.201709  1s2.2s.3s        3S          1.0      1s2.2s.3p        3P*         2.0      3-5      E1    
4651.548  72500000.0   0.235     29.534648-32.200087  1s2.2s.3s        3S          1.0      1s2.2s.3p        3P*         1.0      3-3      E1    
4652.775  72400000.0   0.0783    29.534648-32.199384  1s2.2s.3s        3S          1.0      1s2.2s.3p        3P*         0.0      3-1      E1    

11984.47  16100000.0   0.578     38.367799-39.402339  1s2.2s.4s        3S          1.0      1s2.2s.4p        3P*         2.0      3-5      E1    
11991.36  16100000.0   0.347     38.367799-39.401746  1s2.2s.4s        3S          1.0      1s2.2s.4p        3P*         1.0      3-3      E1    
11994.59  16000000.0   0.115     38.367799-39.401467  1s2.2s.4s        3S          1.0      1s2.2s.4p        3P*         0.0      3-1      E1    

