Ritz      Aud          fdu    E_d(eV)-E_u(eV)       lower_conf  lower_term  lower_J  upper_conf  upper_term  upper_J  g_d-g_u  type  
-------------------------------------------------------------------------------------------------------------------------------------
1270.334  19000000.0   0.005  25.27442-35.034392    3s2.3p5.3d  3P*         1.0      3s2.3p5.4p  3P          1.0      3-3      E1    
1278.393  180000000.0  0.01   25.27442-34.972861    3s2.3p5.3d  3P*         1.0      3s2.3p5.4p  3P          0.0      3-1      E1    
1281.554  18000000.0   0.008  25.27442-34.948944    3s2.3p5.3d  3P*         1.0      3s2.3p5.4p  3P          2.0      3-5      E1    

2867.38   102000000.0  0.1    30.710438-35.034392   3s2.3p5.4s  1P*         1.0      3s2.3p5.4p  3P          1.0      3-3      E1    
2908.773  17000000.0   0.007  30.710438-34.972861   3s2.3p5.4s  1P*         1.0      3s2.3p5.4p  3P          0.0      3-1      E1    
2925.187  139000000.0  0.3    30.710438-34.948944   3s2.3p5.4s  1P*         1.0      3s2.3p5.4p  3P          2.0      3-5      E1    

2587.925  20000000.0   0.02   30.2435201-35.034392  3s2.3p5.4s  3P*         1.0      3s2.3p5.4p  3P          1.0      3-3      E1    
2621.595  310000000.0  0.1    30.2435201-34.972861  3s2.3p5.4s  3P*         1.0      3s2.3p5.4p  3P          0.0      3-1      E1    
2634.921  74000000.0   0.1    30.2435201-34.948944  3s2.3p5.4s  3P*         1.0      3s2.3p5.4p  3P          2.0      3-5      E1    

