Ritz       Aud          fdu      E_d(eV)-E_u(eV)      lower_conf        lower_term  lower_J  upper_conf        upper_term  upper_J  g_d-g_u  type  
---------------------------------------------------------------------------------------------------------------------------------------------------
3175.851   510000.0     0.0013   18.142826-22.046793  3s2.3p3.(2D*).4p  3D          1.0      3s2.3p3.(2D*).4d  3P*         2.0      3-5      E1    
3182.17    13000000.0   0.02     18.142826-22.039042  3s2.3p3.(2D*).4p  3D          1.0      3s2.3p3.(2D*).4d  3P*         1.0      3-3      E1    
3188.341   52000000.0   0.026    18.142826-22.0315    3s2.3p3.(2D*).4p  3D          1.0      3s2.3p3.(2D*).4d  3P*         0.0      3-1      E1    

3506.411   17000000.0   0.044    18.143296-21.679225  3s2.3p3.(2D*).4p  3D          2.0      3s2.3p3.(2D*).4d  3D*         3.0      5-7      E1    
3510.362   110000000.0  0.2      18.143296-21.675245  3s2.3p3.(2D*).4p  3D          2.0      3s2.3p3.(2D*).4d  3D*         2.0      5-5      E1    
3514.63    39000000.0   0.043    18.143296-21.670956  3s2.3p3.(2D*).4p  3D          2.0      3s2.3p3.(2D*).4d  3D*         1.0      5-3      E1    

4125.101   6600000.0    0.024    18.143296-21.1489    3s2.3p3.(2D*).4p  3D          2.0      3s2.3p3.(2D*).5s  3D*         3.0      5-7      E1    
4131.97    41000000.0   0.1      18.143296-21.143903  3s2.3p3.(2D*).4p  3D          2.0      3s2.3p3.(2D*).5s  3D*         2.0      5-5      E1    
4135.454   15000000.0   0.023    18.143296-21.141375  3s2.3p3.(2D*).4p  3D          2.0      3s2.3p3.(2D*).5s  3D*         1.0      5-3      E1    

3806.254   180000000.0  0.5      18.160045-21.417426  3s2.3p3.(2D*).4p  3D          3.0      3s2.3p3.(2D*).4d  3F*         4.0      7-9      E1    
3819.441   20000000.0   0.044    18.160045-21.406179  3s2.3p3.(2D*).4p  3D          3.0      3s2.3p3.(2D*).4d  3F*         3.0      7-7      E1    
3830.813   800000.0     0.0013   18.160045-21.396543  3s2.3p3.(2D*).4p  3D          3.0      3s2.3p3.(2D*).4d  3F*         2.0      7-5      E1    

3597.235   40000.0      0.00011  18.232572-21.679225  3s2.3p3.(2D*).4p  3F          2.0      3s2.3p3.(2D*).4d  3D*         3.0      5-7      E1    
3601.393   2000000.0    0.0039   18.232572-21.675245  3s2.3p3.(2D*).4p  3F          2.0      3s2.3p3.(2D*).4d  3D*         2.0      5-5      E1    
3605.885   18000000.0   0.021    18.232572-21.670956  3s2.3p3.(2D*).4p  3F          2.0      3s2.3p3.(2D*).4d  3D*         1.0      5-3      E1    

4251.381   190000.0     0.00072  18.232572-21.1489    3s2.3p3.(2D*).4p  3F          2.0      3s2.3p3.(2D*).5s  3D*         3.0      5-7      E1    
4258.677   9200000.0    0.025    18.232572-21.143903  3s2.3p3.(2D*).4p  3F          2.0      3s2.3p3.(2D*).5s  3D*         2.0      5-5      E1    
4262.378   83000000.0   0.14     18.232572-21.141375  3s2.3p3.(2D*).4p  3F          2.0      3s2.3p3.(2D*).5s  3D*         1.0      5-3      E1    

3903.868   5500000.0    0.016    18.241494-21.417426  3s2.3p3.(2D*).4p  3F          3.0      3s2.3p3.(2D*).4d  3F*         4.0      7-9      E1    
3917.742   74000000.0   0.17     18.241494-21.406179  3s2.3p3.(2D*).4p  3F          3.0      3s2.3p3.(2D*).4d  3F*         3.0      7-7      E1    
3929.707   9700000.0    0.016    18.241494-21.396543  3s2.3p3.(2D*).4p  3F          3.0      3s2.3p3.(2D*).4d  3F*         2.0      7-5      E1    

3588.706   39000000.0   0.13     18.591949-22.046793  3s2.3p3.(2D*).4p  3P          1.0      3s2.3p3.(2D*).4d  3P*         2.0      3-5      E1    
3596.776   39000000.0   0.076    18.591949-22.039042  3s2.3p3.(2D*).4p  3P          1.0      3s2.3p3.(2D*).4d  3P*         1.0      3-3      E1    
3604.662   160000000.0  0.1      18.591949-22.0315    3s2.3p3.(2D*).4p  3P          1.0      3s2.3p3.(2D*).4d  3P*         0.0      3-1      E1    

