Ritz      Aud          fdu      E_d(eV)-E_u(eV)      lower_conf       lower_term  lower_J  upper_conf       upper_term  upper_J  g_d-g_u  type  
------------------------------------------------------------------------------------------------------------------------------------------------
2478.06   43000000.0   0.059    24.961853-29.96513   3s2.3p2.(3P).4p  4D*         1.5      3s2.3p2.(3P).4d  4D          2.5      4-6      E1    
2485.0    73000000.0   0.068    24.961853-29.95116   3s2.3p2.(3P).4p  4D*         1.5      3s2.3p2.(3P).4d  4D          1.5      4-4      E1    
2485.8    91000000.0   0.042    24.961853-29.94955   3s2.3p2.(3P).4p  4D*         1.5      3s2.3p2.(3P).4d  4D          0.5      4-2      E1    

2387.99   11000000.0   0.0047   24.961853-30.15385   3s2.3p2.(3P).4p  4D*         1.5      3s2.3p2.(3P).4d  4P          0.5      4-2      E1    
2394.849  7000000.0    0.006    24.961853-30.138972  3s2.3p2.(3P).4p  4D*         1.5      3s2.3p2.(3P).4d  4P          1.5      4-4      E1    
2409.838  430000.0     0.00056  24.961853-30.10677   3s2.3p2.(3P).4p  4D*         1.5      3s2.3p2.(3P).4d  4P          2.5      4-6      E1    

2231.83   6700000.0    0.0075   24.961853-30.51712   3s2.3p2.(3P).4p  4D*         1.5      3s2.3p2.(3P).5s  4P          2.5      4-6      E1    
2269.56   110000000.0  0.085    24.961853-30.42478   3s2.3p2.(3P).4p  4D*         1.5      3s2.3p2.(3P).5s  4P          1.5      4-4      E1    
2292.5    180000000.0  0.071    24.961853-30.37012   3s2.3p2.(3P).4p  4D*         1.5      3s2.3p2.(3P).5s  4P          0.5      4-2      E1    

2482.48   26000000.0   0.032    25.01553-30.0099     3s2.3p2.(3P).4p  4D*         2.5      3s2.3p2.(3P).4d  4D          3.5      6-8      E1    
2504.93   100000000.0  0.094    25.01553-29.96513    3s2.3p2.(3P).4p  4D*         2.5      3s2.3p2.(3P).4d  4D          2.5      6-6      E1    
2512.02   63000000.0   0.04     25.01553-29.95116    3s2.3p2.(3P).4p  4D*         2.5      3s2.3p2.(3P).4d  4D          1.5      6-4      E1    

2610.19   570000000.0  0.78     25.01553-29.76553    3s2.3p2.(3P).4p  4D*         2.5      3s2.3p2.(3P).4d  4F          3.5      6-8      E1    
2633.93   160000000.0  0.17     25.01553-29.72272    3s2.3p2.(3P).4p  4D*         2.5      3s2.3p2.(3P).4d  4F          2.5      6-6      E1    
2649.54   13000000.0   0.0091   25.01553-29.695      3s2.3p2.(3P).4p  4D*         2.5      3s2.3p2.(3P).4d  4F          1.5      6-4      E1    

2617.68   660000000.0  0.85     25.090263-29.82668   3s2.3p2.(3P).4p  4D*         3.5      3s2.3p2.(3P).4d  4F          4.5      8-10     E1    
2651.92   92000000.0   0.097    25.090263-29.76553   3s2.3p2.(3P).4p  4D*         3.5      3s2.3p2.(3P).4d  4F          3.5      8-8      E1    
2676.42   6000000.0    0.0048   25.090263-29.72272   3s2.3p2.(3P).4p  4D*         3.5      3s2.3p2.(3P).4d  4F          2.5      8-6      E1    

2662.33   340000000.0  0.54     25.308155-29.96513   3s2.3p2.(3P).4p  4P*         1.5      3s2.3p2.(3P).4d  4D          2.5      4-6      E1    
2670.34   260000000.0  0.28     25.308155-29.95116   3s2.3p2.(3P).4p  4P*         1.5      3s2.3p2.(3P).4d  4D          1.5      4-4      E1    
2671.27   80000000.0   0.043    25.308155-29.94955   3s2.3p2.(3P).4p  4P*         1.5      3s2.3p2.(3P).4d  4D          0.5      4-2      E1    

2380.21   62000000.0   0.079    25.308155-30.51712   3s2.3p2.(3P).4p  4P*         1.5      3s2.3p2.(3P).5s  4P          2.5      4-6      E1    
2423.16   28000000.0   0.025    25.308155-30.42478   3s2.3p2.(3P).4p  4P*         1.5      3s2.3p2.(3P).5s  4P          1.5      4-4      E1    
2449.33   180000000.0  0.081    25.308155-30.37012   3s2.3p2.(3P).4p  4P*         1.5      3s2.3p2.(3P).5s  4P          0.5      4-2      E1    

2666.29   480000000.0  0.68     25.359846-30.0099    3s2.3p2.(3P).4p  4P*         2.5      3s2.3p2.(3P).4d  4D          3.5      6-8      E1    
2692.21   140000000.0  0.15     25.359846-29.96513   3s2.3p2.(3P).4p  4P*         2.5      3s2.3p2.(3P).4d  4D          2.5      6-6      E1    
2700.41   23000000.0   0.017    25.359846-29.95116   3s2.3p2.(3P).4p  4P*         2.5      3s2.3p2.(3P).4d  4D          1.5      6-4      E1    

2683.19   350000000.0  0.19     25.533065-30.15385   3s2.3p2.(3P).4p  4S*         1.5      3s2.3p2.(3P).4d  4P          0.5      4-2      E1    
2691.852  350000000.0  0.38     25.533065-30.138972  3s2.3p2.(3P).4p  4S*         1.5      3s2.3p2.(3P).4d  4P          1.5      4-4      E1    
2710.804  350000000.0  0.58     25.533065-30.10677   3s2.3p2.(3P).4p  4S*         1.5      3s2.3p2.(3P).4d  4P          2.5      4-6      E1    

2487.62   68000000.0   0.095    25.533065-30.51712   3s2.3p2.(3P).4p  4S*         1.5      3s2.3p2.(3P).5s  4P          2.5      4-6      E1    
2534.58   69000000.0   0.066    25.533065-30.42478   3s2.3p2.(3P).4p  4S*         1.5      3s2.3p2.(3P).5s  4P          1.5      4-4      E1    
2563.22   70000000.0   0.034    25.533065-30.37012   3s2.3p2.(3P).4p  4S*         1.5      3s2.3p2.(3P).5s  4P          0.5      4-2      E1    

