Ritz        Aud          fdu      E_d(eV)-E_u(eV)          lower_conf    lower_term  lower_J  upper_conf      upper_term  upper_J  g_d-g_u  type  
--------------------------------------------------------------------------------------------------------------------------------------------------
2211.5423   18000000.0   0.008    8.63389048-14.2401227    3d7.(2D2).4p  w 3D*       2.0      3d7.(2D2).4d    3D          1.0      5-3      E1    
2240.95803  48000000.0   0.036    8.63389048-14.1665331    3d7.(2D2).4p  w 3D*       2.0      3d7.(2D2).4d    3D          2.0      5-5      E1    
2278.6209   160000000.0  0.18     8.63389048-14.0750852    3d7.(2D2).4p  w 3D*       2.0      3d7.(2D2).4d    3D          3.0      5-7      E1    

2234.05886  46000000.0   0.024    8.5623404-14.1120688     3d7.(2D2).4p  w 3D*       3.0      3d7.(2D2).4d    3F          2.0      7-5      E1    
2257.55547  310000000.0  0.23     8.5623404-14.0543073     3d7.(2D2).4p  w 3D*       3.0      3d7.(2D2).4d    3F          3.0      7-7      E1    
2262.74993  290000000.0  0.28     8.5623404-14.0416997     3d7.(2D2).4p  w 3D*       3.0      3d7.(2D2).4d    3F          4.0      7-9      E1    

2325.15454  60000000.0   0.028    8.9078234-14.2401227     3d7.(2D2).4p  x 3P*       2.0      3d7.(2D2).4d    3D          1.0      5-3      E1    
2357.6924   100000000.0  0.08     8.9078234-14.1665331     3d7.(2D2).4p  x 3P*       2.0      3d7.(2D2).4d    3D          2.0      5-5      E1    
2399.4178   35000000.0   0.042    8.9078234-14.0750852     3d7.(2D2).4p  x 3P*       2.0      3d7.(2D2).4d    3D          3.0      5-7      E1    

2369.6566   37000000.0   0.019    9.0079637-14.2401227     3d7.(2D2).4p  y 1D*       2.0      3d7.(2D2).4d    3D          1.0      5-3      E1    
2403.4609   25000000.0   0.022    9.0079637-14.1665331     3d7.(2D2).4p  y 1D*       2.0      3d7.(2D2).4d    3D          2.0      5-5      E1    
2446.8369   132000000.0  0.17     9.0079637-14.0750852     3d7.(2D2).4p  y 1D*       2.0      3d7.(2D2).4d    3D          3.0      5-7      E1    

2234.24215  7000000.0    0.0038   7.87425876-13.4235319    3d7.(2G).4p   y 3F*       4.0      3d7.(2G).4d     3G          3.0      9-7      E1    
2258.3538   200000000.0  0.15     7.87425876-13.36428415   3d7.(2G).4p   y 3F*       4.0      3d7.(2G).4d     3G          4.0      9-9      E1    
2271.0042   118000000.0  0.111    7.87425876-13.33370258   3d7.(2G).4p   y 3F*       4.0      3d7.(2G).4d     3G          5.0      9-11     E1    

2596.71572  12000000.0   0.009    7.87425876-12.6489131    3d7.(2G).4p   y 3F*       4.0      3d7.(2G).5s     f 3G        3.0      9-7      E1    
2635.67854  22000000.0   0.023    7.87425876-12.57833009   3d7.(2G).4p   y 3F*       4.0      3d7.(2G).5s     f 3G        4.0      9-9      E1    
2650.87277  97000000.0   0.124    7.87425876-12.5513674    3d7.(2G).4p   y 3F*       4.0      3d7.(2G).5s     f 3G        5.0      9-11     E1    

2269.23116  120000000.0  0.06     8.0806281-13.5443376     3d7.(2G).4p   y 3G*       3.0      3d7.(2G).4d     3F          2.0      7-5      E1    
2290.6671   118000000.0  0.092    8.0806281-13.4932085     3d7.(2G).4p   y 3G*       3.0      3d7.(2G).4d     3F          3.0      7-7      E1    
2309.44434  210000000.0  0.21     8.0806281-13.4492008     3d7.(2G).4p   y 3G*       3.0      3d7.(2G).4d     3F          4.0      7-9      E1    

2283.7806   80000000.0   0.05     8.00959966-13.43850121   3d7.(2G).4p   y 3G*       5.0      3d7.(2G).4d     3H          4.0      11-9     E1    
2320.10255  430000000.0  0.41     8.00959966-13.3535099    3d7.(2G).4p   y 3G*       5.0      3d7.(2G).4d     3H          6.0      11-13    E1    
2323.16789  43000000.0   0.035    8.00959966-13.34645882   3d7.(2G).4p   y 3G*       5.0      3d7.(2G).4d     3H          5.0      11-11    E1    

2313.48654  160000000.0  0.089    8.18514505-13.5443376    3d7.(2G).4p   z 1F*       3.0      3d7.(2G).4d     3F          2.0      7-5      E1    
2335.77084  42000000.0   0.035    8.18514505-13.4932085    3d7.(2G).4p   z 1F*       3.0      3d7.(2G).4d     3F          3.0      7-7      E1    
2355.29797  310000.0     0.0003   8.18514505-13.4492008    3d7.(2G).4p   z 1F*       3.0      3d7.(2G).4d     3F          4.0      7-9      E1    

2279.6321   9000000.0    0.005    7.98475087-13.4235319    3d7.(2G).4p   z 1G*       4.0      3d7.(2G).4d     3G          3.0      9-7      E1    
2304.73894  50000000.0   0.043    7.98475087-13.36428415   3d7.(2G).4p   z 1G*       4.0      3d7.(2G).4d     3G          4.0      9-9      E1    
2317.91583  34000000.0   0.033    7.98475087-13.33370258   3d7.(2G).4p   z 1G*       4.0      3d7.(2G).4d     3G          5.0      9-11     E1    

2658.23086  4900000.0    0.004    7.98475087-12.6489131    3d7.(2G).4p   z 1G*       4.0      3d7.(2G).5s     f 3G        3.0      9-7      E1    
2699.07609  70000000.0   0.077    7.98475087-12.57833009   3d7.(2G).4p   z 1G*       4.0      3d7.(2G).5s     f 3G        4.0      9-9      E1    
2715.01227  19000000.0   0.026    7.98475087-12.5513674    3d7.(2G).4p   z 1G*       4.0      3d7.(2G).5s     f 3G        5.0      9-11     E1    

2248.4355   80000000.0   0.049    7.90928888-13.4235319    3d7.(2G).4p   z 3H*       4.0      3d7.(2G).4d     3G          3.0      9-7      E1    
2272.8562   4700000.0    0.0037   7.90928888-13.36428415   3d7.(2G).4p   z 3H*       4.0      3d7.(2G).4d     3G          4.0      9-9      E1    
2285.67004  9000000.0    0.009    7.90928888-13.33370258   3d7.(2G).4p   z 3H*       4.0      3d7.(2G).4d     3G          5.0      9-11     E1    

2615.9078   150000000.0  0.124    7.90928888-12.6489131    3d7.(2G).4p   z 3H*       4.0      3d7.(2G).5s     f 3G        3.0      9-7      E1    
2655.45308  13000000.0   0.014    7.90928888-12.57833009   3d7.(2G).4p   z 3H*       4.0      3d7.(2G).5s     f 3G        4.0      9-9      E1    
2670.87682  9000000.0    0.012    7.90928888-12.5513674    3d7.(2G).4p   z 3H*       4.0      3d7.(2G).5s     f 3G        5.0      9-11     E1    

2316.67475  4300000.0    0.0027   2.72881087-8.0806281     3d7.(2G).4s   a 3G        4.0      3d7.(2G).4p     y 3G*       3.0      9-7      E1    
2317.78195  190000000.0  0.15     2.72881087-8.07807155    3d7.(2G).4s   a 3G        4.0      3d7.(2G).4p     y 3G*       4.0      9-9      E1    
2347.83483  33000000.0   0.034    2.72881087-8.00959966    3d7.(2G).4s   a 3G        4.0      3d7.(2G).4p     y 3G*       5.0      9-11     E1    

2371.45589  24000000.0   0.017    2.68109977-7.90928888    3d7.(2G).4s   a 3G        5.0      3d7.(2G).4p     z 3H*       4.0      11-9     E1    
2382.49147  340000000.0  0.34     2.68109977-7.88507217    3d7.(2G).4s   a 3G        5.0      3d7.(2G).4p     z 3H*       6.0      11-13    E1    
2399.10803  65000000.0   0.056    2.68109977-7.84902872    3d7.(2G).4s   a 3G        5.0      3d7.(2G).4p     z 3H*       5.0      11-11    E1    

2498.28692  2500000.0    0.0018   3.11785953-8.0806281     3d7.(2G).4s   b 1G        4.0      3d7.(2G).4p     y 3G*       3.0      9-7      E1    
2499.57457  60000000.0   0.06     3.11785953-8.07807155    3d7.(2G).4s   b 1G        4.0      3d7.(2G).4p     y 3G*       4.0      9-9      E1    
2534.56224  41000000.0   0.048    3.11785953-8.00959966    3d7.(2G).4s   b 1G        4.0      3d7.(2G).4p     y 3G*       5.0      9-11     E1    

2435.07138  120000000.0  0.18     8.71186315-13.8034674    3d7.(2P).4p   y 3S*       1.0      3d7.(2P).4d     3P          2.0      3-5      E1    
2463.19895  220000000.0  0.07     8.71186315-13.7453258    3d7.(2P).4p   y 3S*       1.0      3d7.(2P).4d     3P          0.0      3-1      E1    
2463.44731  160000000.0  0.15     8.71186315-13.7448183    3d7.(2P).4p   y 3S*       1.0      3d7.(2P).4d     3P          1.0      3-3      E1    

2159.64245  50000000.0   0.06     8.06250794-13.8034674    3d7.(2P).4p   z 3P*       1.0      3d7.(2P).4d     3P          2.0      3-5      E1    
2181.738    390000000.0  0.09     8.06250794-13.7453258    3d7.(2P).4p   z 3P*       1.0      3d7.(2P).4d     3P          0.0      3-1      E1    
2181.93288  80000000.0   0.06     8.06250794-13.7448183    3d7.(2P).4p   z 3P*       1.0      3d7.(2P).4d     3P          1.0      3-3      E1    

