Ritz        Aud          fdu     E_d(eV)-E_u(eV)        lower_conf  lower_term  lower_J  upper_conf            upper_term  upper_J  g_d-g_u  type  
---------------------------------------------------------------------------------------------------------------------------------------------------
2229.5604   388000000.0  0.096   2.97541889-8.53634465  3d9.4s      3D          1.0      3d9.4p                3P*         0.0      3-1      E1    
2276.96111  63000000.0   0.049   2.97541889-8.4205799   3d9.4s      3D          1.0      3d9.4p                3P*         1.0      3-3      E1    
2357.3612   3000000.0    0.0042  2.97541889-8.23486741  3d9.4s      3D          1.0      3d9.4p                3P*         2.0      3-5      E1    

1050.15339  140000000.0  0.014   2.83268156-14.6389757  3d9.4s      3D          2.0      3d8.(3F).4s.4p.(3P*)  3D*         1.0      5-3      E1    
1060.63409  300000000.0  0.051   2.83268156-14.5223113  3d9.4s      3D          2.0      3d8.(3F).4s.4p.(3P*)  3D*         2.0      5-5      E1    
1069.19523  103000000.0  0.025   2.83268156-14.4287114  3d9.4s      3D          2.0      3d8.(3F).4s.4p.(3P*)  3D*         3.0      5-7      E1    

1979.95579  96000000.0   0.056   2.83268156-9.09464957  3d9.4s      3D          2.0      3d9.4p                3D*         2.0      5-5      E1    
1989.8548   98000000.0   0.035   2.83268156-9.06349793  3d9.4s      3D          2.0      3d9.4p                3D*         1.0      5-3      E1    
2037.78134  136000000.0  0.118   2.83268156-8.91695547  3d9.4s      3D          2.0      3d9.4p                3D*         3.0      5-7      E1    

