Ritz         Aud           fdu        E_d(eV)-E_u(eV)        lower_conf            lower_term  lower_J  upper_conf             upper_term  upper_J  g_d-g_u  type   
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
2238.13827   30000000.0    0.034      7.6839121-13.2235251   3d5.(6S).4s.4p.(3P*)  y 6P*       1.5      3d5.4s.(7S).4d         6D          2.5      4-6      E1     
2239.03935   80000000.0    0.03       7.6839121-13.2212958   3d5.(6S).4s.4p.(3P*)  y 6P*       1.5      3d5.4s.(7S).4d         6D          0.5      4-2      E1     
2239.26271   60000000.0    0.04       7.6839121-13.2207434   3d5.(6S).4s.4p.(3P*)  y 6P*       1.5      3d5.4s.(7S).4d         6D          1.5      4-4      E1     

2241.85685   40000000.0    0.034      7.6931007-13.2235251   3d5.(6S).4s.4p.(3P*)  y 6P*       2.5      3d5.4s.(7S).4d         6D          2.5      6-6      E1     
2242.98504   19000000.0    0.01       7.6931007-13.2207434   3d5.(6S).4s.4p.(3P*)  y 6P*       2.5      3d5.4s.(7S).4d         6D          1.5      6-4      E1     
2248.62761   60000000.0    0.06       7.6931007-13.2068727   3d5.(6S).4s.4p.(3P*)  y 6P*       2.5      3d5.4s.(7S).4d         6D          3.5      6-8      E1     

2248.03471   3500000.0     0.002      7.708299-13.2235251    3d5.(6S).4s.4p.(3P*)  y 6P*       3.5      3d5.4s.(7S).4d         6D          2.5      8-6      E1     
2254.84288   20000000.0    0.015      7.708299-13.2068727    3d5.(6S).4s.4p.(3P*)  y 6P*       3.5      3d5.4s.(7S).4d         6D          3.5      8-8      E1     
2255.83899   80000000.0    0.07       7.708299-13.2044447    3d5.(6S).4s.4p.(3P*)  y 6P*       3.5      3d5.4s.(7S).4d         6D          4.5      8-10     E1     

1508.10647   11000000.0    0.0025     2.8910183-11.1122017   3d5.4s2               a 6S        2.5      3d5.(4P).4s.4p.(3P*)   6P*         1.5      6-4      E1     
1512.24571   11000000.0    0.0036     2.8910183-11.0896991   3d5.4s2               a 6S        2.5      3d5.(4P).4s.4p.(3P*)   6P*         2.5      6-6      E1     
1519.50434   9000000.0     0.0042     2.8910183-11.0505342   3d5.4s2               a 6S        2.5      3d5.(4P).4s.4p.(3P*)   6P*         3.5      6-8      E1     

1785.2767    1090000000.0  0.7        2.8910183-9.8358352    3d5.4s2               a 6S        2.5      3d5.(6S).4s.4p.(1P*)   x 6P*       3.5      6-8      E1     
1786.75814   1100000000.0  0.53       2.8910183-9.8300771    3d5.4s2               a 6S        2.5      3d5.(6S).4s.4p.(1P*)   x 6P*       2.5      6-6      E1     
1788.00386   660000000.0   0.21       2.8910183-9.8252426    3d5.4s2               a 6S        2.5      3d5.(6S).4s.4p.(1P*)   x 6P*       1.5      6-4      E1     

2573.73832   7900000.0     0.0104     2.8910183-7.708299     3d5.4s2               a 6S        2.5      3d5.(6S).4s.4p.(3P*)   y 6P*       3.5      6-8      E1     
2581.88401   7600000.0     0.0076     2.8910183-7.6931007    3d5.4s2               a 6S        2.5      3d5.(6S).4s.4p.(3P*)   y 6P*       2.5      6-6      E1     
