Ritz       Aud           fdu      E_d(eV)-E_u(eV)      lower_conf     lower_term  lower_J  upper_conf     upper_term  upper_J  g_d-g_u  type   
-----------------------------------------------------------------------------------------------------------------------------------------------
1960.1582  27000000.0    0.012    10.992945-17.318159  3d5.(2H).4s    3H          4.0      3d5.(4F).4p    3G*         3.0      9-7      E1     
1962.2799  10000000.0    0.005    10.992945-17.31132   3d5.(2H).4s    3H          4.0      3d5.(4F).4p    3G*         4.0      9-9      E1     
1968.533   10000000.0    0.007    10.992945-17.291249  3d5.(2H).4s    3H          4.0      3d5.(4F).4p    3G*         5.0      9-11     E1     

2017.3606  75000000.0    0.054    10.996761-17.142623  3d5.(2H).4s    3H          5.0      3d5.(2H).4p    3H*         6.0      11-13    E1     
2037.9582  290000000.0   0.179    10.996761-17.080507  3d5.(2H).4s    3H          5.0      3d5.(2H).4p    3H*         5.0      11-11    E1     
2047.7872  17000000.0    0.009    10.996761-17.051306  3d5.(2H).4s    3H          5.0      3d5.(2H).4p    3H*         4.0      11-9     E1     

1830.6304  66000000.0    0.039    10.996761-17.769521  3d5.(2H).4s    3H          5.0      3d5.(a 2G).4p  3H*         6.0      11-13    E1     
1844.5614  280000000.0   0.141    10.996761-17.71837   3d5.(2H).4s    3H          5.0      3d5.(a 2G).4p  3H*         5.0      11-11    E1     
1846.3603  22000000.0    0.009    10.996761-17.711821  3d5.(2H).4s    3H          5.0      3d5.(a 2G).4p  3H*         4.0      11-9     E1     

1893.985   612000000.0   0.269    9.901471-16.447679   3d5.(2I).4s    3I          5.0      3d5.(2I).4p    3H*         4.0      11-9     E1     
1897.3834  34000000.0    0.019    9.901471-16.435954   3d5.(2I).4s    3I          5.0      3d5.(2I).4p    3H*         5.0      11-11    E1     
1908.3278  5000000.0     0.0034   9.901471-16.398479   3d5.(2I).4s    3I          5.0      3d5.(2I).4p    3H*         6.0      11-13    E1     

1953.503   291000000.0   0.192    9.899523-16.246287   3d5.(2I).4s    3I          6.0      3d5.(2I).4p    3I*         7.0      13-15    E1     
1964.1785  290000000.0   0.169    9.899523-16.211791   3d5.(2I).4s    3I          6.0      3d5.(2I).4p    3I*         6.0      13-13    E1     
1983.6791  64000000.0    0.032    9.899523-16.149738   3d5.(2I).4s    3I          6.0      3d5.(2I).4p    3I*         5.0      13-11    E1     

1960.325   609000000.0   0.398    9.898941-16.223616   3d5.(2I).4s    3I          7.0      3d5.(2I).4p    3K*         8.0      15-17    E1     
1992.022   260000000.0   0.158    9.898941-16.12298    3d5.(2I).4s    3I          7.0      3d5.(2I).4p    3K*         7.0      15-15    E1     
1999.415   14000000.0    0.007    9.898941-16.099966   3d5.(2I).4s    3I          7.0      3d5.(2I).4p    3K*         6.0      15-13    E1     

2066.146   80000000.0    0.08     16.22483-22.225576   3d5.(2P).4s    3P          1.0      3d5.(2P).4p    3P*         2.0      3-5      E1     
2084.894   80000000.0    0.053    16.22483-22.171617   3d5.(2P).4s    3P          1.0      3d5.(2P).4p    3P*         1.0      3-3      E1     
2092.336   380000000.0   0.08     16.22483-22.150464   3d5.(2P).4s    3P          1.0      3d5.(2P).4p    3P*         0.0      3-1      E1     

2137.6931  4300000.0     0.0023   8.641223-14.441129   3d5.(4D).4s    5D          4.0      3d5.(4G).4p    5F*         3.0      9-7      E1     
2138.057   23000000.0    0.015    8.641223-14.440141   3d5.(4D).4s    5D          4.0      3d5.(4G).4p    5F*         4.0      9-9      E1     
2144.97    21000000.0    0.018    8.641223-14.421451   3d5.(4D).4s    5D          4.0      3d5.(4G).4p    5F*         5.0      9-11     E1     

5931.261   18200000.0    0.134    23.326732-25.417083  3d5.(4D).5s    5D          2.0      3d5.(4D).5p    5F*         3.0      5-7      E1     
5952.172   15000000.0    0.077    23.326732-25.409739  3d5.(4D).5s    5D          2.0      3d5.(4D).5p    5F*         2.0      5-5      E1     
5964.986   2200000.0     0.007    23.326732-25.405265  3d5.(4D).5s    5D          2.0      3d5.(4D).5p    5F*         1.0      5-3      E1     

5672.825   8300000.0     0.028    23.322635-25.508216  3d5.(4D).5s    5D          3.0      3d5.(4D).5p    5D*         2.0      7-5      E1     
5674.47    40400000.0    0.195    23.322635-25.507583  3d5.(4D).5s    5D          3.0      3d5.(4D).5p    5D*         3.0      7-7      E1     
5694.002   31300000.0    0.196    23.322635-25.500088  3d5.(4D).5s    5D          3.0      3d5.(4D).5p    5D*         4.0      7-9      E1     

5888.286   17500000.0    0.117    23.322635-25.428243  3d5.(4D).5s    5D          3.0      3d5.(4D).5p    5F*         4.0      7-9      E1     
5919.661   16300000.0    0.086    23.322635-25.417083  3d5.(4D).5s    5D          3.0      3d5.(4D).5p    5F*         3.0      7-7      E1     
5940.489   1600000.0     0.006    23.322635-25.409739  3d5.(4D).5s    5D          3.0      3d5.(4D).5p    5F*         2.0      7-5      E1     

5820.102   56300000.0    0.35     23.310704-25.44098   3d5.(4D).5s    5D          4.0      3d5.(4D).5p    5F*         5.0      9-11     E1     
5855.109   31300000.0    0.161    23.310704-25.428243  3d5.(4D).5s    5D          4.0      3d5.(4D).5p    5F*         4.0      9-9      E1     
5886.13    4300000.0     0.017    23.310704-25.417083  3d5.(4D).5s    5D          4.0      3d5.(4D).5p    5F*         3.0      9-7      E1     

1844.9511  230000000.0   0.07     10.335224-17.055413  3d5.(4F).4s    5F          2.0      3d5.(4F).4p    5D*         1.0      5-3      E1     
1845.5122  250000000.0   0.13     10.335224-17.053369  3d5.(4F).4s    5F          2.0      3d5.(4F).4p    5D*         2.0      5-5      E1     
1849.6706  53000000.0    0.038    10.335224-17.038266  3d5.(4F).4s    5F          2.0      3d5.(4F).4p    5D*         3.0      5-7      E1     

1926.0486  35000000.0    0.019    10.335224-16.772455  3d5.(4F).4s    5F          2.0      3d5.(a 2D).4p  3D*         2.0      5-5      E1     
1928.3435  11000000.0    0.0035   10.335224-16.764794  3d5.(4F).4s    5F          2.0      3d5.(a 2D).4p  3D*         1.0      5-3      E1     
1937.3522  70000000.0    0.055    10.335224-16.734896  3d5.(4F).4s    5F          2.0      3d5.(a 2D).4p  3D*         3.0      5-7      E1     

1891.0827  370000000.0   0.14     10.32022-16.876475   3d5.(4F).4s    5F          3.0      3d5.(4F).4p    5F*         2.0      7-5      E1     
1894.9906  140000000.0   0.073    10.32022-16.862954   3d5.(4F).4s    5F          3.0      3d5.(4F).4p    5F*         3.0      7-7      E1     
1895.6394  150000000.0   0.11     10.32022-16.860715   3d5.(4F).4s    5F          3.0      3d5.(4F).4p    5F*         4.0      7-9      E1     

1923.0159  340000000.0   0.24     10.32022-16.767603   3d5.(4F).4s    5F          3.0      3d5.(4F).4p    5G*         4.0      7-9      E1     
1928.3123  100000000.0   0.054    10.32022-16.749894   3d5.(4F).4s    5F          3.0      3d5.(4F).4p    5G*         3.0      7-7      E1     
1934.2367  6000000.0     0.0024   10.32022-16.730201   3d5.(4F).4s    5F          3.0      3d5.(4F).4p    5G*         2.0      7-5      E1     

1885.9612  170000000.0   0.108    10.310749-16.884808  3d5.(4F).4s    5F          4.0      3d5.(4F).4p    5F*         5.0      9-11     E1     
1892.2514  320000000.0   0.13     10.310749-16.862954  3d5.(4F).4s    5F          4.0      3d5.(4F).4p    5F*         3.0      9-7      E1     
1892.8983  180000000.0   0.098    10.310749-16.860715  3d5.(4F).4s    5F          4.0      3d5.(4F).4p    5F*         4.0      9-9      E1     

1902.094   140000000.0   0.094    10.310749-16.829048  3d5.(4F).4s    5F          4.0      3d5.(4F).4p    5G*         5.0      9-11     E1     
1920.1952  180000000.0   0.099    10.310749-16.767603  3d5.(4F).4s    5F          4.0      3d5.(4F).4p    5G*         4.0      9-9      E1     
1925.476   31000000.0    0.014    10.310749-16.749894  3d5.(4F).4s    5F          4.0      3d5.(4F).4p    5G*         3.0      9-7      E1     

5666.83    17000000.0    0.064    25.034852-27.222746  3d5.(4F).5s    5F          4.0      3d5.(4F).5p    5F*         3.0      9-7      E1     
5697.22    38900000.0    0.189    25.034852-27.211075  3d5.(4F).5s    5F          4.0      3d5.(4F).5p    5F*         4.0      9-9      E1     
5715.569   900000.0      0.006    25.034852-27.204088  3d5.(4F).5s    5F          4.0      3d5.(4F).5p    5F*         5.0      9-11     E1     

5091.989   2600000.0     0.007    22.275198-24.710085  3d5.(4G).4d    5F          3.0      3d5.(4G).5p    5F*         2.0      7-5      E1     
5101.791   20000000.0    0.08     22.275198-24.705408  3d5.(4G).4d    5F          3.0      3d5.(4G).5p    5F*         3.0      7-7      E1     
5114.757   4100000.0     0.021    22.275198-24.699247  3d5.(4G).4d    5F          3.0      3d5.(4G).5p    5F*         4.0      7-9      E1     

5093.823   1800000.0     0.006    22.271397-24.705408  3d5.(4G).4d    5F          4.0      3d5.(4G).5p    5F*         3.0      9-7      E1     
5106.749   24000000.0    0.095    22.271397-24.699247  3d5.(4G).4d    5F          4.0      3d5.(4G).5p    5F*         4.0      9-9      E1     
5125.839   2100000.0     0.01     22.271397-24.690205  3d5.(4G).4d    5F          4.0      3d5.(4G).5p    5F*         5.0      9-11     E1     

1952.3372  21000000.0    0.015    8.769293-15.119846   3d5.(4G).4s    3G          4.0      3d5.(4G).4p    3G*         5.0      9-11     E1     
1952.654   523000000.0   0.299    8.769293-15.118815   3d5.(4G).4s    3G          4.0      3d5.(4G).4p    3G*         4.0      9-9      E1     
1953.4791  49000000.0    0.022    8.769293-15.116134   3d5.(4G).4s    3G          4.0      3d5.(4G).4p    3G*         3.0      9-7      E1     

1887.2112  270000000.0   0.113    7.871424-14.441129   3d5.(4G).4s    5G          4.0      3d5.(4G).4p    5F*         3.0      9-7      E1     
1887.4951  100000000.0   0.055    7.871424-14.440141   3d5.(4G).4s    5G          4.0      3d5.(4G).4p    5F*         4.0      9-9      E1     
1892.8807  11000000.0    0.007    7.871424-14.421451   3d5.(4G).4s    5G          4.0      3d5.(4G).4p    5F*         5.0      9-11     E1     

1930.391   614000000.0   0.419    7.871424-14.294177   3d5.(4G).4s    5G          4.0      3d5.(4G).4p    5H*         5.0      9-11     E1     
1937.082   9000000.0     0.005    7.871424-14.271991   3d5.(4G).4s    5G          4.0      3d5.(4G).4p    5H*         4.0      9-9      E1     
1943.1999  2300000.0     0.001    7.871424-14.251839   3d5.(4G).4s    5G          4.0      3d5.(4G).4p    5H*         3.0      9-7      E1     

4259.532   50000000.0    0.081    24.710085-27.620833  3d5.(4G).5p    5F*         2.0      3d5.(4G).5d    5F          1.0      5-3      E1     
4260.025   108000000.0   0.293    24.710085-27.620495  3d5.(4G).5p    5F*         2.0      3d5.(4G).5d    5F          2.0      5-5      E1     
4264.385   19000000.0    0.071    24.710085-27.61752   3d5.(4G).5p    5F*         2.0      3d5.(4G).5d    5F          3.0      5-7      E1     

4253.189   43000000.0    0.084    24.705408-27.620495  3d5.(4G).5p    5F*         3.0      3d5.(4G).5d    5F          2.0      7-5      E1     
4257.535   115000000.0   0.313    24.705408-27.61752   3d5.(4G).5p    5F*         3.0      3d5.(4G).5d    5F          3.0      7-7      E1     
4260.399   21000000.0    0.074    24.705408-27.615562  3d5.(4G).5p    5F*         3.0      3d5.(4G).5d    5F          4.0      7-9      E1     

2015.864   38000000.0    0.008    9.156152-15.306577   3d5.(4P).4s    3P          1.0      3d5.(4D).4p    5D*         0.0      3-1      E1     
2041.0667  120000000.0   0.08     9.156152-15.230633   3d5.(4P).4s    3P          1.0      3d5.(4D).4p    5D*         1.0      3-3      E1     
