Ritz       Aud           fdu      E_d(eV)-E_u(eV)        lower_conf  lower_term  lower_J  upper_conf  upper_term  upper_J  g_d-g_u  type  
------------------------------------------------------------------------------------------------------------------------------------------
4682.425   200000000.0   0.85     12.6846246-15.332487   5s.5d       3D          3.0      5s.4f       3F*         4.0      7-9      E1    
4686.102   18000000.0    0.059    12.6846246-15.33041    5s.5d       3D          3.0      5s.4f       3F*         3.0      7-7      E1    
4687.232   900000.0      0.0022   12.6846246-15.329772   5s.5d       3D          3.0      5s.4f       3F*         2.0      7-5      E1    

3159.311   42000000.0    0.08     12.6846246-16.609031   5s.5d       3D          3.0      5s.5f       3F*         4.0      7-9      E1    
3160.924   4200000.0     0.006    12.6846246-16.607029   5s.5d       3D          3.0      5s.5f       3F*         3.0      7-7      E1    
3161.321   170000.0      0.00019  12.6846246-16.606535   5s.5d       3D          3.0      5s.5f       3F*         2.0      7-5      E1    

2683.917   22000000.0    0.03     12.6846246-17.304148   5s.5d       3D          3.0      5s.6f       3F*         4.0      7-9      E1    
2684.971   2400000.0     0.0026   12.6846246-17.302336   5s.5d       3D          3.0      5s.6f       3F*         3.0      7-7      E1    
2685.211   110000.0      8e-05    12.6846246-17.301923   5s.5d       3D          3.0      5s.6f       3F*         2.0      7-5      E1    

2351.4619  17000000.0    0.023    7.8157836-13.088427    5s.5p       1P*         1.0      5p2         3P          2.0      3-5      E1    
2486.891   500000.0      0.00046  7.8157836-12.801293    5s.5p       1P*         1.0      5p2         3P          1.0      3-3      E1    
2592.721   1400000.0     0.00048  7.8157836-12.597794    5s.5p       1P*         1.0      5p2         3P          0.0      3-1      E1    

1607.3371  320000000.0   0.206    5.37478712-13.088427   5s.5p       3P*         1.0      5p2         3P          2.0      3-5      E1    
1669.482   350000000.0   0.15     5.37478712-12.801293   5s.5p       3P*         1.0      5p2         3P          1.0      3-3      E1    
1716.518   1100000000.0  0.17     5.37478712-12.597794   5s.5p       3P*         1.0      5p2         3P          0.0      3-1      E1    

2705.291   13000000.0    0.02     13.4436484-18.026675   5s.6p       3P*         2.0      5s.10d      3D          3.0      5-7      E1    
2705.821   3300000.0     0.0036   13.4436484-18.025777   5s.6p       3P*         2.0      5s.10d      3D          2.0      5-5      E1    
