Ritz      Aud          fdu     E_d(eV)-E_u(eV)      lower_conf  lower_term  lower_J  upper_conf  upper_term  upper_J  g_d-g_u  type  
-------------------------------------------------------------------------------------------------------------------------------------
3900.354  5160000.0    0.0118  20.394409-23.573202  3p5.3d      3P*         1.0      3p5.4p      3P          1.0      3-3      E1    
3956.322  88600000.0   0.0693  20.394409-23.528233  3p5.3d      3P*         1.0      3p5.4p      3P          0.0      3-1      E1    
3973.71   44300000.0   0.175   20.394409-23.514521  3p5.3d      3P*         1.0      3p5.4p      3P          2.0      3-5      E1    

4224.15   230000000.0  0.615   20.638075-23.573202  3p5.4s      1P*         1.0      3p5.4p      3P          1.0      3-3      E1    
4289.88   11600000.0   0.0107  20.638075-23.528233  3p5.4s      1P*         1.0      3p5.4p      3P          0.0      3-1      E1    
4310.33   419000000.0  1.95    20.638075-23.514521  3p5.4s      1P*         1.0      3p5.4p      3P          2.0      3-5      E1    

3717.679  14800000.0   0.0307  20.238213-23.573202  3p5.4s      3P*         1.0      3p5.4p      3P          1.0      3-3      E1    
3768.494  101000000.0  0.0717  20.238213-23.528233  3p5.4s      3P*         1.0      3p5.4p      3P          0.0      3-1      E1    
3784.267  149000000.0  0.533   20.238213-23.514521  3p5.4s      3P*         1.0      3p5.4p      3P          2.0      3-5      E1    

