Ritz      Aud          fdu      E_d(eV)-E_u(eV)      lower_conf  lower_term  lower_J  upper_conf  upper_term  upper_J  g_d-g_u  type  
--------------------------------------------------------------------------------------------------------------------------------------
3896.676  235000000.0  0.75     7.175454-10.357248   3p2         3P          2.0      3p.3d       3D*         3.0      5-7      E1    
3899.163  58800000.0   0.134    7.175454-10.355219   3p2         3P          2.0      3p.3d       3D*         2.0      5-5      E1    
3900.565  6520000.0    0.00892  7.175454-10.354075   3p2         3P          2.0      3p.3d       3D*         1.0      5-3      E1    

2810.583  31400000.0   0.052    5.9459136-10.357248  3s.3d       3D          2.0      3p.3d       3D*         3.0      5-7      E1    
2811.876  196000000.0  0.232    5.9459136-10.355219  3s.3d       3D          2.0      3p.3d       3D*         2.0      5-5      E1    
2812.605  70300000.0   0.05     5.9459136-10.354075  3s.3d       3D          2.0      3p.3d       3D*         1.0      5-3      E1    

2777.51   132000000.0  0.254    2.7115919-7.175454   3s.3p       3P*         1.0      3p2         3P          2.0      3-5      E1    
2780.641  136000000.0  0.158    2.7115919-7.170428   3s.3p       3P*         1.0      3p2         3P          1.0      3-3      E1    
2782.237  543000000.0  0.21     2.7115919-7.16787    3s.3p       3P*         1.0      3p2         3P          0.0      3-1      E1    

7659.711  1230000.0    0.018    5.107827-6.7264807   3s.4s       3S          1.0      3s.5p       3P*         2.0      3-5      E1    
7661.26   1230000.0    0.0108   5.107827-6.7261534   3s.4s       3S          1.0      3s.5p       3P*         1.0      3-3      E1    
7662.01   1230000.0    0.00361  5.107827-6.7259951   3s.4s       3S          1.0      3s.5p       3P*         0.0      3-1      E1    

