Ritz      Aud           fdu       E_d(eV)-E_u(eV)    lower_conf  lower_term  lower_J  upper_conf  upper_term  upper_J  g_d-g_u  type  
--------------------------------------------------------------------------------------------------------------------------------------
1731.785  160000000.0   0.0721    59.19448-66.35381  2s2.2p5.3p  1D          2.0      2s2.2p5.3d  3D*         2.0      5-5      E1    
1739.496  32600.0       2.07e-05  59.19448-66.32207  2s2.2p5.3p  1D          2.0      2s2.2p5.3d  3D*         3.0      5-7      E1    
1761.742  316000.0      8.82e-05  59.19448-66.23207  2s2.2p5.3p  1D          2.0      2s2.2p5.3d  3D*         1.0      5-3      E1    

1901.56   37800000.0    0.0341    59.31088-65.83101  2s2.2p5.3p  1P          1.0      2s2.2p5.3d  3P*         2.0      3-5      E1    
1921.374  22600000.0    0.0125    59.31088-65.76377  2s2.2p5.3p  1P          1.0      2s2.2p5.3d  3P*         1.0      3-3      E1    
1930.364  83000000.0    0.0155    59.31088-65.73372  2s2.2p5.3p  1P          1.0      2s2.2p5.3d  3P*         0.0      3-1      E1    

1803.101  10300000.0    0.00836   58.95485-65.83101  2s2.2p5.3p  3D          1.0      2s2.2p5.3d  3P*         2.0      3-5      E1    
1820.907  3050000.0     0.00152   58.95485-65.76377  2s2.2p5.3p  3D          1.0      2s2.2p5.3d  3P*         1.0      3-3      E1    
1828.979  49700000.0    0.0083    58.95485-65.73372  2s2.2p5.3p  3D          1.0      2s2.2p5.3d  3P*         0.0      3-1      E1    

1652.221  91000000.0    0.0372    58.84972-66.35381  2s2.2p5.3p  3D          2.0      2s2.2p5.3d  3D*         2.0      5-5      E1    
1659.239  84800000.0    0.049     58.84972-66.32207  2s2.2p5.3p  3D          2.0      2s2.2p5.3d  3D*         3.0      5-7      E1    
1679.467  58800000.0    0.0149    58.84972-66.23207  2s2.2p5.3p  3D          2.0      2s2.2p5.3d  3D*         1.0      5-3      E1    

1704.376  17900000.0    0.00556   58.77511-66.04957  2s2.2p5.3p  3D          3.0      2s2.2p5.3d  3F*         2.0      7-5      E1    
1730.706  103000000.0   0.0462    58.77511-65.9389   2s2.2p5.3p  3D          3.0      2s2.2p5.3d  3F*         3.0      7-7      E1    
1738.834  1140000000.0  0.663     58.77511-65.90541  2s2.2p5.3p  3D          3.0      2s2.2p5.3d  3F*         4.0      7-9      E1    

1941.487  12300000.0    0.0116    59.44497-65.83101  2s2.2p5.3p  3P          1.0      2s2.2p5.3d  3P*         2.0      3-5      E1    
1962.146  77600000.0    0.0448    59.44497-65.76377  2s2.2p5.3p  3P          1.0      2s2.2p5.3d  3P*         1.0      3-3      E1    
1971.523  206000000.0   0.0399    59.44497-65.73372  2s2.2p5.3p  3P          1.0      2s2.2p5.3d  3P*         0.0      3-1      E1    

1775.143  4530000.0     0.00214   59.36935-66.35381  2s2.2p5.3p  3P          2.0      2s2.2p5.3d  3D*         2.0      5-5      E1    
1783.246  939000000.0   0.627     59.36935-66.32207  2s2.2p5.3p  3P          2.0      2s2.2p5.3d  3D*         3.0      5-7      E1    
1806.63   4420000.0     0.0013    59.36935-66.23207  2s2.2p5.3p  3P          2.0      2s2.2p5.3d  3D*         1.0      5-3      E1    

1572.713  692000000.0   0.428     57.94755-65.83101  2s2.2p5.3p  3S          1.0      2s2.2p5.3d  3P*         2.0      3-5      E1    
1586.242  802000000.0   0.302     57.94755-65.76377  2s2.2p5.3p  3S          1.0      2s2.2p5.3d  3P*         1.0      3-3      E1    
1592.364  853000000.0   0.108     57.94755-65.73372  2s2.2p5.3p  3S          1.0      2s2.2p5.3d  3P*         0.0      3-1      E1    

2086.55   161000000.0   0.105     53.5029-59.44497   2s2.2p5.3s  1P*         1.0      2s2.2p5.3p  3P          1.0      3-3      E1    
2094.886  12100000.0    0.00265   53.5029-59.42132   2s2.2p5.3s  1P*         1.0      2s2.2p5.3p  3P          0.0      3-1      E1    
2113.446  169000000.0   0.188     53.5029-59.36935   2s2.2p5.3s  1P*         1.0      2s2.2p5.3p  3P          2.0      3-5      E1    

1901.578  54700000.0    0.0296    52.9249-59.44497   2s2.2p5.3s  3P*         1.0      2s2.2p5.3p  3P          1.0      3-3      E1    
1908.499  515000000.0   0.0937    52.9249-59.42132   2s2.2p5.3s  3P*         1.0      2s2.2p5.3p  3P          0.0      3-1      E1    
1923.891  137000000.0   0.126     52.9249-59.36935   2s2.2p5.3s  3P*         1.0      2s2.2p5.3p  3P          2.0      3-5      E1    

