Ritz      Aud           fdu       E_d(eV)-E_u(eV)    lower_conf       lower_term  lower_J  upper_conf       upper_term  upper_J  g_d-g_u  type  
------------------------------------------------------------------------------------------------------------------------------------------------
1432.767  99100000.0    0.0458    75.54429-84.19777  2s2.2p4.(3P).3p  2D*         1.5      2s2.2p4.(3P).3d  4P          2.5      4-6      E1    
1446.707  5740000.0     0.0018    75.54429-84.11439  2s2.2p4.(3P).3p  2D*         1.5      2s2.2p4.(3P).3d  4P          1.5      4-4      E1    
1456.151  1140000.0     0.000182  75.54429-84.05881  2s2.2p4.(3P).3p  2D*         1.5      2s2.2p4.(3P).3d  4P          0.5      4-2      E1    

1439.425  86200.0       1.79e-05  75.36897-83.98242  2s2.2p4.(3P).3p  2D*         2.5      2s2.2p4.(3P).3d  4F          1.5      6-4      E1    
1450.648  6030000.0     0.0019    75.36897-83.91578  2s2.2p4.(3P).3p  2D*         2.5      2s2.2p4.(3P).3d  4F          2.5      6-6      E1    
1466.628  109000000.0   0.0468    75.36897-83.82265  2s2.2p4.(3P).3p  2D*         2.5      2s2.2p4.(3P).3d  4F          3.5      6-8      E1    

1501.52   79200000.0    0.0402    75.94052-84.19777  2s2.2p4.(3P).3p  2P*         1.5      2s2.2p4.(3P).3d  4P          2.5      4-6      E1    
1516.836  25100000.0    0.00867   75.94052-84.11439  2s2.2p4.(3P).3p  2P*         1.5      2s2.2p4.(3P).3d  4P          1.5      4-4      E1    
1527.221  10900000.0    0.0019    75.94052-84.05881  2s2.2p4.(3P).3p  2P*         1.5      2s2.2p4.(3P).3d  4P          0.5      4-2      E1    

1494.623  119000000.0   0.02      74.96864-83.26399  2s2.2p4.(3P).3p  4D*         1.5      2s2.2p4.(3P).3d  4D          0.5      4-2      E1    
1500.123  90100000.0    0.0304    74.96864-83.23358  2s2.2p4.(3P).3p  4D*         1.5      2s2.2p4.(3P).3d  4D          1.5      4-4      E1    
1506.798  39100000.0    0.02      74.96864-83.19697  2s2.2p4.(3P).3p  4D*         1.5      2s2.2p4.(3P).3d  4D          2.5      4-6      E1    

1343.402  13900000.0    0.00565   74.96864-84.19777  2s2.2p4.(3P).3p  4D*         1.5      2s2.2p4.(3P).3d  4P          2.5      4-6      E1    
1355.649  25600000.0    0.00705   74.96864-84.11439  2s2.2p4.(3P).3p  4D*         1.5      2s2.2p4.(3P).3d  4P          1.5      4-4      E1    
1363.938  8550000.0     0.00119   74.96864-84.05881  2s2.2p4.(3P).3p  4D*         1.5      2s2.2p4.(3P).3d  4P          0.5      4-2      E1    

1485.421  98600000.0    0.0218    74.88684-83.23358  2s2.2p4.(3P).3p  4D*         2.5      2s2.2p4.(3P).3d  4D          1.5      6-4      E1    
1491.965  150000000.0   0.0499    74.88684-83.19697  2s2.2p4.(3P).3p  4D*         2.5      2s2.2p4.(3P).3d  4D          2.5      6-6      E1    
1497.387  26500000.0    0.0119    74.88684-83.16688  2s2.2p4.(3P).3p  4D*         2.5      2s2.2p4.(3P).3d  4D          3.5      6-8      E1    

1363.126  19200000.0    0.00357   74.88684-83.98242  2s2.2p4.(3P).3p  4D*         2.5      2s2.2p4.(3P).3d  4F          1.5      6-4      E1    
1373.187  308000000.0   0.087     74.88684-83.91578  2s2.2p4.(3P).3p  4D*         2.5      2s2.2p4.(3P).3d  4F          2.5      6-6      E1    
1387.498  1190000000.0  0.458     74.88684-83.82265  2s2.2p4.(3P).3p  4D*         2.5      2s2.2p4.(3P).3d  4F          3.5      6-8      E1    

1357.068  5320000.0     0.0011    74.77959-83.91578  2s2.2p4.(3P).3p  4D*         3.5      2s2.2p4.(3P).3d  4F          2.5      8-6      E1    
1371.042  131000000.0   0.0371    74.77959-83.82265  2s2.2p4.(3P).3p  4D*         3.5      2s2.2p4.(3P).3d  4F          3.5      8-8      E1    
