Ritz      Aud           fdu       E_d(eV)-E_u(eV)    lower_conf      lower_term  lower_J  upper_conf      upper_term  upper_J  g_d-g_u  type  
----------------------------------------------------------------------------------------------------------------------------------------------
1799.16   101000000.0   0.0245    41.26249-48.1537   2s.2p.(3P*).3d  4D*         1.5      2s.2p.(3P*).4f  4D          0.5      4-2      E1    
1800.1    80800000.0    0.0393    41.26249-48.15011  2s.2p.(3P*).3d  4D*         1.5      2s.2p.(3P*).4f  4D          1.5      4-4      E1    
1801.64   47000000.0    0.0343    41.26249-48.14422  2s.2p.(3P*).3d  4D*         1.5      2s.2p.(3P*).4f  4D          2.5      4-6      E1    

1800.8    70600000.0    0.0229    41.26516-48.15011  2s.2p.(3P*).3d  4D*         2.5      2s.2p.(3P*).4f  4D          1.5      6-4      E1    
1802.34   115000000.0   0.056     41.26516-48.14422  2s.2p.(3P*).3d  4D*         2.5      2s.2p.(3P*).4f  4D          2.5      6-6      E1    
1803.53   28600000.0    0.0186    41.26516-48.13969  2s.2p.(3P*).3d  4D*         2.5      2s.2p.(3P*).4f  4D          3.5      6-8      E1    

1845.87   947000000.0   0.645     41.26516-47.982    2s.2p.(3P*).3d  4D*         2.5      2s.2p.(3P*).4f  4F          3.5      6-8      E1    
1846.49   268000000.0   0.137     41.26516-47.97975  2s.2p.(3P*).3d  4D*         2.5      2s.2p.(3P*).4f  4F          2.5      6-6      E1    
1846.87   22000000.0    0.0075    41.26516-47.97836  2s.2p.(3P*).3d  4D*         2.5      2s.2p.(3P*).4f  4F          1.5      6-4      E1    

1846.41   1100000000.0  0.703     41.26864-47.98351  2s.2p.(3P*).3d  4D*         3.5      2s.2p.(3P*).4f  4F          4.5      8-10     E1    
1846.83   157000000.0   0.0803    41.26864-47.982    2s.2p.(3P*).3d  4D*         3.5      2s.2p.(3P*).4f  4F          3.5      8-8      E1    
1847.45   10600000.0    0.00407   41.26864-47.97975  2s.2p.(3P*).3d  4D*         3.5      2s.2p.(3P*).4f  4F          2.5      8-6      E1    

1719.581  12900000.0    0.00286   40.94356-48.1537   2s.2p.(3P*).3d  4F*         1.5      2s.2p.(3P*).4f  4D          0.5      4-2      E1    
1720.439  2570000.0     0.00114   40.94356-48.15011  2s.2p.(3P*).3d  4F*         1.5      2s.2p.(3P*).4f  4D          1.5      4-4      E1    
1721.846  122000.0      8.13e-05  40.94356-48.14422  2s.2p.(3P*).3d  4F*         1.5      2s.2p.(3P*).4f  4D          2.5      4-6      E1    

2144.79   1050000.0     0.00109   40.94356-46.72429  2s.2p.(3P*).3d  4F*         1.5      2s.2p.(3P*).4p  4D          2.5      4-6      E1    
2147.6    22100000.0    0.0153    40.94356-46.71671  2s.2p.(3P*).3d  4F*         1.5      2s.2p.(3P*).4p  4D          1.5      4-4      E1    
2149.69   110000000.0   0.0381    40.94356-46.7111   2s.2p.(3P*).3d  4F*         1.5      2s.2p.(3P*).4p  4D          0.5      4-2      E1    

1721.458  10300000.0    0.00305   40.94783-48.15011  2s.2p.(3P*).3d  4F*         2.5      2s.2p.(3P*).4f  4D          1.5      6-4      E1    
1722.867  2230000.0     0.000992  40.94783-48.14422  2s.2p.(3P*).3d  4F*         2.5      2s.2p.(3P*).4f  4D          2.5      6-6      E1    
1723.951  66200.0       3.93e-05  40.94783-48.13969  2s.2p.(3P*).3d  4F*         2.5      2s.2p.(3P*).4f  4D          3.5      6-8      E1    

1762.599  16000000.0    0.00994   40.94783-47.982    2s.2p.(3P*).3d  4F*         2.5      2s.2p.(3P*).4f  4F          3.5      6-8      E1    
1763.162  82000000.0    0.0382    40.94783-47.97975  2s.2p.(3P*).3d  4F*         2.5      2s.2p.(3P*).4f  4F          2.5      6-6      E1    
