Ritz      Aud          fdu       E_d(eV)-E_u(eV)    lower_conf       lower_term  lower_J  upper_conf       upper_term  upper_J  g_d-g_u  type  
-----------------------------------------------------------------------------------------------------------------------------------------------
3142.1    33100000.0   0.063     60.10087-64.04677  1s2.2p.(2P*).3p  3D          3.0      1s2.2s.4f        3F*         4.0      7-9      E1    
3143.21   3690000.0    0.00547   60.10087-64.04538  1s2.2p.(2P*).3p  3D          3.0      1s2.2s.4f        3F*         3.0      7-7      E1    
3144.02   146000.0     0.000155  60.10087-64.04436  1s2.2p.(2P*).3p  3D          3.0      1s2.2s.4f        3F*         2.0      7-5      E1    

3444.59   34600000.0   0.103     57.69865-61.29804  1s2.2p.(2P*).3s  3P*         1.0      1s2.2p.(2P*).3p  3P          2.0      3-5      E1    
3455.64   34200000.0   0.0612    57.69865-61.28653  1s2.2p.(2P*).3s  3P*         1.0      1s2.2p.(2P*).3p  3P          1.0      3-3      E1    
3462.35   136000000.0  0.0815    57.69865-61.27957  1s2.2p.(2P*).3s  3P*         1.0      1s2.2p.(2P*).3p  3P          0.0      3-1      E1    

1168.484  55900000.0   0.016     52.07951-62.6902   1s2.2s.3d        3D          2.0      1s2.2p.(2P*).3d  3D*         3.0      5-7      E1    
1169.063  349000000.0  0.0715    52.07951-62.68495  1s2.2s.3d        3D          2.0      1s2.2p.(2P*).3d  3D*         2.0      5-5      E1    
1169.53   125000000.0  0.0154    52.07951-62.68071  1s2.2s.3d        3D          2.0      1s2.2p.(2P*).3d  3D*         1.0      5-3      E1    

1131.036  117000000.0  0.0374    50.33603-61.29804  1s2.2s.3p        3P*         1.0      1s2.2p.(2P*).3p  3P          2.0      3-5      E1    
1132.225  116000000.0  0.0223    50.33603-61.28653  1s2.2s.3p        3P*         1.0      1s2.2p.(2P*).3p  3P          1.0      3-3      E1    
1132.944  464000000.0  0.0298    50.33603-61.27957  1s2.2s.3p        3P*         1.0      1s2.2p.(2P*).3p  3P          0.0      3-1      E1    

1270.27   409000000.0  0.139     50.34041-60.10087  1s2.2s.3p        3P*         2.0      1s2.2p.(2P*).3p  3D          3.0      5-7      E1    
1272.716  102000000.0  0.0248    50.34041-60.08211  1s2.2s.3p        3P*         2.0      1s2.2p.(2P*).3p  3D          2.0      5-5      E1    
1274.285  11300000.0   0.00165   50.34041-60.07012  1s2.2s.3p        3P*         2.0      1s2.2p.(2P*).3p  3D          1.0      5-3      E1    

7124.94   11200000.0   0.119     50.34041-52.08055  1s2.2s.3p        3P*         2.0      1s2.2s.3d        3D          3.0      5-7      E1    
7129.21   2800000.0    0.0213    50.34041-52.07951  1s2.2s.3p        3P*         2.0      1s2.2s.3d        3D          2.0      5-5      E1    
7131.14   311000.0     0.00142   50.34041-52.07904  1s2.2s.3p        3P*         2.0      1s2.2s.3d        3D          1.0      5-3      E1    

1133.121  407000000.0  0.131     46.77735-57.71918  1s2.2s.3s        3S          1.0      1s2.2p.(2P*).3s  3P*         2.0      3-5      E1    
1135.252  405000000.0  0.0783    46.77735-57.69865  1s2.2s.3s        3S          1.0      1s2.2p.(2P*).3s  3P*         1.0      3-3      E1    
1136.273  404000000.0  0.0261    46.77735-57.68883  1s2.2s.3s        3S          1.0      1s2.2p.(2P*).3s  3P*         0.0      3-1      E1    

3479.71   106000000.0  0.321     46.77735-50.34041  1s2.2s.3s        3S          1.0      1s2.2s.3p        3P*         2.0      3-5      E1    
3483.99   106000000.0  0.193     46.77735-50.33603  1s2.2s.3s        3S          1.0      1s2.2s.3p        3P*         1.0      3-3      E1    
3485.92   106000000.0  0.0644    46.77735-50.33406  1s2.2s.3s        3S          1.0      1s2.2s.3p        3P*         0.0      3-1      E1    

