Ritz      Aud          fdu       E_d(eV)-E_u(eV)      lower_conf       lower_term  lower_J  upper_conf       upper_term  upper_J  g_d-g_u  type  
-------------------------------------------------------------------------------------------------------------------------------------------------
2009.118  145000000.0  0.132     51.474802-57.645879  2s2.2p4.(3P).3p  2D*         1.5      2s2.2p4.(3P).3d  4P          2.5      4-6      E1    
2021.876  29700000.0   0.0182    51.474802-57.606938  2s2.2p4.(3P).3p  2D*         1.5      2s2.2p4.(3P).3d  4P          1.5      4-4      E1    
2030.883  648000.0     0.0002    51.474802-57.579742  2s2.2p4.(3P).3p  2D*         1.5      2s2.2p4.(3P).3d  4P          0.5      4-2      E1    

2008.221  1930000.0    0.000779  51.364403-57.538235  2s2.2p4.(3P).3p  2D*         2.5      2s2.2p4.(3P).3d  4F          1.5      6-4      E1    
2023.88   32900000.0   0.0202    51.364403-57.490469  2s2.2p4.(3P).3p  2D*         2.5      2s2.2p4.(3P).3d  4F          2.5      6-6      E1    
2042.321  164000000.0  0.136     51.364403-57.435154  2s2.2p4.(3P).3p  2D*         2.5      2s2.2p4.(3P).3d  4F          3.5      6-8      E1    

2149.249  154000000.0  0.16      51.877158-57.645879  2s2.2p4.(3P).3p  2P*         1.5      2s2.2p4.(3P).3d  4P          2.5      4-6      E1    
2163.856  23700000.0   0.0166    51.877158-57.606938  2s2.2p4.(3P).3p  2P*         1.5      2s2.2p4.(3P).3d  4P          1.5      4-4      E1    
2174.176  445000.0     0.000158  51.877158-57.579742  2s2.2p4.(3P).3p  2P*         1.5      2s2.2p4.(3P).3d  4P          0.5      4-2      E1    

2049.382  81100000.0   0.0255    51.075511-57.125345  2s2.2p4.(3P).3p  4D*         1.5      2s2.2p4.(3P).3d  4D          0.5      4-2      E1    
2055.843  63900000.0   0.0405    51.075511-57.106331  2s2.2p4.(3P).3p  4D*         1.5      2s2.2p4.(3P).3d  4D          1.5      4-4      E1    
2063.646  22100000.0   0.0212    51.075511-57.083528  2s2.2p4.(3P).3p  4D*         1.5      2s2.2p4.(3P).3d  4D          2.5      4-6      E1    

1887.021  3550000.0    0.00284   51.075511-57.645879  2s2.2p4.(3P).3p  4D*         1.5      2s2.2p4.(3P).3d  4P          2.5      4-6      E1    
1898.271  612000.0     0.000331  51.075511-57.606938  2s2.2p4.(3P).3p  4D*         1.5      2s2.2p4.(3P).3d  4P          1.5      4-4      E1    
1906.208  5380000.0    0.00147   51.075511-57.579742  2s2.2p4.(3P).3p  4D*         1.5      2s2.2p4.(3P).3d  4P          0.5      4-2      E1    

1440.78   326000000.0  0.0507    51.075511-59.680866  2s2.2p4.(3P).3p  4D*         1.5      2s2.2p4.(3P).4s  4P          0.5      4-2      E1    
1452.909  203000000.0  0.0643    51.075511-59.609025  2s2.2p4.(3P).3p  4D*         1.5      2s2.2p4.(3P).4s  4P          1.5      4-4      E1    
1470.079  12300000.0   0.00596   51.075511-59.509358  2s2.2p4.(3P).3p  4D*         1.5      2s2.2p4.(3P).4s  4P          2.5      4-6      E1    

2038.435  67300000.0   0.0279    51.024008-57.106331  2s2.2p4.(3P).3p  4D*         2.5      2s2.2p4.(3P).3d  4D          1.5      6-4      E1    
2046.106  105000000.0  0.0659    51.024008-57.083528  2s2.2p4.(3P).3p  4D*         2.5      2s2.2p4.(3P).3d  4D          2.5      6-6      E1    
2052.51   13700000.0   0.0115    51.024008-57.064621  2s2.2p4.(3P).3p  4D*         2.5      2s2.2p4.(3P).3d  4D          3.5      6-8      E1    

1903.284  9390000.0    0.0034    51.024008-57.538235  2s2.2p4.(3P).3p  4D*         2.5      2s2.2p4.(3P).3d  4F          1.5      6-4      E1    
1917.343  165000000.0  0.0907    51.024008-57.490469  2s2.2p4.(3P).3p  4D*         2.5      2s2.2p4.(3P).3d  4F          2.5      6-6      E1    
1933.885  633000000.0  0.473     51.024008-57.435154  2s2.2p4.(3P).3p  4D*         2.5      2s2.2p4.(3P).3d  4F          3.5      6-8      E1    

1896.995  1830000.0    0.000742  50.954646-57.490469  2s2.2p4.(3P).3p  4D*         3.5      2s2.2p4.(3P).3d  4F          2.5      8-6      E1    
1913.186  68900000.0   0.0378    50.954646-57.435154  2s2.2p4.(3P).3p  4D*         3.5      2s2.2p4.(3P).3d  4F          3.5      8-8      E1    
1926.259  894000000.0  0.621     50.954646-57.391175  2s2.2p4.(3P).3p  4D*         3.5      2s2.2p4.(3P).3d  4F          4.5      8-10     E1    

1845.143  169000000.0  0.0431    50.405854-57.125345  2s2.2p4.(3P).3p  4P*         1.5      2s2.2p4.(3P).3d  4D          0.5      4-2      E1    
1850.379  437000000.0  0.224     50.405854-57.106331  2s2.2p4.(3P).3p  4P*         1.5      2s2.2p4.(3P).3d  4D          1.5      4-4      E1    
1856.697  422000000.0  0.327     50.405854-57.083528  2s2.2p4.(3P).3p  4P*         1.5      2s2.2p4.(3P).3d  4D          2.5      4-6      E1    

1712.483  89100000.0   0.0588    50.405854-57.645879  2s2.2p4.(3P).3p  4P*         1.5      2s2.2p4.(3P).3d  4P          2.5      4-6      E1    
1721.744  32600000.0   0.0145    50.405854-57.606938  2s2.2p4.(3P).3p  4P*         1.5      2s2.2p4.(3P).3d  4P          1.5      4-4      E1    
1728.271  410000000.0  0.0919    50.405854-57.579742  2s2.2p4.(3P).3p  4P*         1.5      2s2.2p4.(3P).3d  4P          0.5      4-2      E1    

1336.755  427000000.0  0.0572    50.405854-59.680866  2s2.2p4.(3P).3p  4P*         1.5      2s2.2p4.(3P).4s  4P          0.5      4-2      E1    
1347.19   66900000.0   0.0182    50.405854-59.609025  2s2.2p4.(3P).3p  4P*         1.5      2s2.2p4.(3P).4s  4P          1.5      4-4      E1    
1361.939  145000000.0  0.0606    50.405854-59.509358  2s2.2p4.(3P).3p  4P*         1.5      2s2.2p4.(3P).4s  4P          2.5      4-6      E1    

1838.118  67700000.0   0.0229    50.36116-57.106331   2s2.2p4.(3P).3p  4P*         2.5      2s2.2p4.(3P).3d  4D          1.5      6-4      E1    
1844.353  300000000.0  0.153     50.36116-57.083528   2s2.2p4.(3P).3p  4P*         2.5      2s2.2p4.(3P).3d  4D          2.5      6-6      E1    
1849.555  687000000.0  0.47      50.36116-57.064621   2s2.2p4.(3P).3p  4P*         2.5      2s2.2p4.(3P).3d  4D          3.5      6-8      E1    

2103.43   231000000.0  0.23      51.751498-57.645879  2s2.2p4.(3P).3p  4S*         1.5      2s2.2p4.(3P).3d  4P          2.5      4-6      E1    
2117.419  303000000.0  0.204     51.751498-57.606938  2s2.2p4.(3P).3p  4S*         1.5      2s2.2p4.(3P).3d  4P          1.5      4-4      E1    
2127.299  371000000.0  0.126     51.751498-57.579742  2s2.2p4.(3P).3p  4S*         1.5      2s2.2p4.(3P).3d  4P          0.5      4-2      E1    

1563.607  85100000.0   0.0156    51.751498-59.680866  2s2.2p4.(3P).3p  4S*         1.5      2s2.2p4.(3P).4s  4P          0.5      4-2      E1    
1577.904  82500000.0   0.0308    51.751498-59.609025  2s2.2p4.(3P).3p  4S*         1.5      2s2.2p4.(3P).4s  4P          1.5      4-4      E1    
1598.175  79600000.0   0.0457    51.751498-59.509358  2s2.2p4.(3P).3p  4S*         1.5      2s2.2p4.(3P).4s  4P          2.5      4-6      E1    

2214.898  51400000.0   0.0189    45.507242-51.10498   2s2.2p4.(3P).3s  4P          1.5      2s2.2p4.(3P).3p  4D*         0.5      4-2      E1    
2226.62   182000000.0  0.135     45.507242-51.075511  2s2.2p4.(3P).3s  4P          1.5      2s2.2p4.(3P).3p  4D*         1.5      4-4      E1    
2247.407  272000000.0  0.309     45.507242-51.024008  2s2.2p4.(3P).3s  4P          1.5      2s2.2p4.(3P).3p  4D*         2.5      4-6      E1    

2511.02   219000000.0  0.103     45.507242-50.444845  2s2.2p4.(3P).3s  4P          1.5      2s2.2p4.(3P).3p  4P*         0.5      4-2      E1    
2531.007  36500000.0   0.0351    45.507242-50.405854  2s2.2p4.(3P).3s  4P          1.5      2s2.2p4.(3P).3p  4P*         1.5      4-4      E1    
2554.312  55200000.0   0.081     45.507242-50.36116   2s2.2p4.(3P).3s  4P          1.5      2s2.2p4.(3P).3p  4P*         2.5      4-6      E1    

2183.531  11400000.0   0.00545   45.397361-51.075511  2s2.2p4.(3P).3s  4P          2.5      2s2.2p4.(3P).3p  4D*         1.5      6-4      E1    
2203.518  85300000.0   0.0621    45.397361-51.024008  2s2.2p4.(3P).3s  4P          2.5      2s2.2p4.(3P).3p  4D*         2.5      6-6      E1    
2231.021  364000000.0  0.362     45.397361-50.954646  2s2.2p4.(3P).3s  4P          2.5      2s2.2p4.(3P).3p  4D*         3.5      6-8      E1    

