Ritz      Aud          fdu       E_d(eV)-E_u(eV)    lower_conf        lower_term  lower_J  upper_conf        upper_term  upper_J  g_d-g_u  type  
-------------------------------------------------------------------------------------------------------------------------------------------------
1407.6    301000000.0  0.0298    70.966-79.7739     2s2.2p3.(2D*).3p  3D          1.0      2s2.2p3.(2D*).3d  3P*         0.0      3-1      E1    
1409.8    79400000.0   0.0237    70.966-79.7604     2s2.2p3.(2D*).3p  3D          1.0      2s2.2p3.(2D*).3d  3P*         1.0      3-3      E1    
1415.0    1610000.0    0.000806  70.966-79.7283     2s2.2p3.(2D*).3p  3D          1.0      2s2.2p3.(2D*).3d  3P*         2.0      3-5      E1    

1095.97   368000.0     0.00011   70.966-82.2788     2s2.2p3.(2D*).3p  3D          1.0      2s2.2p3.(2P*).3d  3P*         2.0      3-5      E1    
1097.34   5440000.0    0.000983  70.966-82.2646     2s2.2p3.(2D*).3p  3D          1.0      2s2.2p3.(2P*).3d  3P*         1.0      3-3      E1    
1101.84   18600000.0   0.00113   70.966-82.2185     2s2.2p3.(2D*).3p  3D          1.0      2s2.2p3.(2P*).3d  3P*         0.0      3-1      E1    

1501.2    169000000.0  0.0343    70.9678-79.2268    2s2.2p3.(2D*).3p  3D          2.0      2s2.2p3.(2D*).3d  3D*         1.0      5-3      E1    
1502.6    436000000.0  0.148     70.9678-79.2188    2s2.2p3.(2D*).3p  3D          2.0      2s2.2p3.(2D*).3d  3D*         2.0      5-5      E1    
1505.3    60700000.0   0.0289    70.9678-79.2042    2s2.2p3.(2D*).3p  3D          2.0      2s2.2p3.(2D*).3d  3D*         3.0      5-7      E1    

1580.5    627000000.0  0.302     70.9867-78.8313    2s2.2p3.(2D*).3p  3D          3.0      2s2.2p3.(2D*).3d  3F*         4.0      7-9      E1    
1584.0    84800000.0   0.0319    70.9867-78.8137    2s2.2p3.(2D*).3p  3D          3.0      2s2.2p3.(2D*).3d  3F*         3.0      7-7      E1    
1586.8    3880000.0    0.00105   70.9867-78.8001    2s2.2p3.(2D*).3p  3D          3.0      2s2.2p3.(2D*).3d  3F*         2.0      7-5      E1    

1581.3    53100000.0   0.0119    71.3861-79.2268    2s2.2p3.(2D*).3p  3F          2.0      2s2.2p3.(2D*).3d  3D*         1.0      5-3      E1    
1582.9    12900000.0   0.00486   71.3861-79.2188    2s2.2p3.(2D*).3p  3F          2.0      2s2.2p3.(2D*).3d  3D*         2.0      5-5      E1    
1585.9    310000.0     0.000164  71.3861-79.2042    2s2.2p3.(2D*).3p  3F          2.0      2s2.2p3.(2D*).3d  3D*         3.0      5-7      E1    

1666.8    11400000.0   0.0061    71.3927-78.8313    2s2.2p3.(2D*).3p  3F          3.0      2s2.2p3.(2D*).3d  3F*         4.0      7-9      E1    
1670.7    220000000.0  0.0921    71.3927-78.8137    2s2.2p3.(2D*).3p  3F          3.0      2s2.2p3.(2D*).3d  3F*         3.0      7-7      E1    
1673.8    27200000.0   0.00815   71.3927-78.8001    2s2.2p3.(2D*).3p  3F          3.0      2s2.2p3.(2D*).3d  3F*         2.0      7-5      E1    

1144.28   3930000.0    0.000551  71.3927-82.2279    2s2.2p3.(2D*).3p  3F          3.0      2s2.2p3.(2P*).3d  3F*         2.0      7-5      E1    
1144.75   22500000.0   0.00443   71.3927-82.2234    2s2.2p3.(2D*).3p  3F          3.0      2s2.2p3.(2P*).3d  3F*         3.0      7-7      E1    
1145.09   1680000.0    0.000424  71.3927-82.2202    2s2.2p3.(2D*).3p  3F          3.0      2s2.2p3.(2P*).3d  3F*         4.0      7-9      E1    

1617.0    613000.0     0.000187  71.4008-79.0682    2s2.2p3.(2D*).3p  3F          4.0      2s2.2p3.(2D*).3d  3G*         3.0      9-7      E1    
1617.6    38100000.0   0.0149    71.4008-79.0654    2s2.2p3.(2D*).3p  3F          4.0      2s2.2p3.(2D*).3d  3G*         4.0      9-9      E1    
1618.6    923000000.0  0.443     71.4008-79.061     2s2.2p3.(2D*).3p  3F          4.0      2s2.2p3.(2D*).3d  3G*         5.0      9-11     E1    

2108.4    19900000.0   0.0186    65.1062-70.9867    2s2.2p3.(2D*).3s  3D*         2.0      2s2.2p3.(2D*).3p  3D          3.0      5-7      E1    
2115.2    210000000.0  0.141     65.1062-70.9678    2s2.2p3.(2D*).3s  3D*         2.0      2s2.2p3.(2D*).3p  3D          2.0      5-5      E1    
2115.8    70300000.0   0.0283    65.1062-70.966     2s2.2p3.(2D*).3s  3D*         2.0      2s2.2p3.(2D*).3p  3D          1.0      5-3      E1    

1968.4    382000000.0  0.285     65.1022-71.4008    2s2.2p3.(2D*).3s  3D*         3.0      2s2.2p3.(2D*).3p  3F          4.0      7-9      E1    
1971.0    27000000.0   0.0157    65.1022-71.3927    2s2.2p3.(2D*).3s  3D*         3.0      2s2.2p3.(2D*).3p  3F          3.0      7-7      E1    
1973.0    744000.0     0.00031   65.1022-71.3861    2s2.2p3.(2D*).3s  3D*         3.0      2s2.2p3.(2D*).3p  3F          2.0      7-5      E1    

