Ritz       Aud           fdu    E_d(eV)-E_u(eV)        lower_conf  lower_term  lower_J  upper_conf  upper_term  upper_J  g_d-g_u  type  
----------------------------------------------------------------------------------------------------------------------------------------
3521.315   15000000.0    2.3    20.5802586-24.1012214  4d.5d       3D          2.0      4d.6p       3D*         3.0      5-7      E1    
3571.281   37000000.0    4.2    20.5802586-24.05196    4d.5d       3D          2.0      4d.6p       3D*         2.0      5-5      E1    
3715.076   50000000.0    3.8    20.5802586-23.9175847  4d.5d       3D          2.0      4d.6p       3D*         1.0      5-3      E1    

1487.2042  290000000.0   3.3    12.364332-20.7010614   4d.5p       3F*         2.0      4d.5d       3D          3.0      5-7      E1    
1509.0713  100000000.0   0.85   12.364332-20.5802586   4d.5p       3F*         2.0      4d.5d       3D          2.0      5-5      E1    
1525.5826  68000000.0    0.36   12.364332-20.4913384   4d.5p       3F*         2.0      4d.5d       3D          1.0      5-3      E1    

1418.8885  270000000.0   3.4    12.446315-21.184436    4d.5p       3F*         3.0      4d.5d       3F          4.0      7-9      E1    
1434.1357  1100000000.0  11.2   12.446315-21.091536    4d.5p       3F*         3.0      4d.5d       3F          3.0      7-7      E1    
1453.2203  110000000.0   0.83   12.446315-20.9780012   4d.5p       3F*         3.0      4d.5d       3F          2.0      7-5      E1    

1454.2132  170000000.0   1.3    13.014254-21.540116    4d.5p       3P*         1.0      4d.5d       3P          2.0      3-5      E1    
1468.451   220000000.0   1.03   13.014254-21.457453    4d.5p       3P*         1.0      4d.5d       3P          1.0      3-3      E1    
1480.848   1210000000.0  1.9    13.014254-21.38677     4d.5p       3P*         1.0      4d.5d       3P          0.0      3-1      E1    

3404.642   310000000.0   54.0   24.1012214-27.742843   4d.6p       3D*         3.0      4d.6d       3F          4.0      7-9      E1    
3458.52    200000000.0   28.0   24.1012214-27.686113   4d.6p       3D*         3.0      4d.6d       3F          3.0      7-7      E1    
3594.08    8100000.0     0.92   24.1012214-27.5508994  4d.6p       3D*         3.0      4d.6d       3F          2.0      7-5      E1    

3292.217   64000000.0    5.6    24.2292909-27.99527    4d.6p       3P*         1.0      4d.6d       3P          2.0      3-5      E1    
3356.013   26000000.0    1.5    24.2292909-27.92368    4d.6p       3P*         1.0      4d.6d       3P          1.0      3-3      E1    
3471.68    200000000.0   4.2    24.2292909-27.800594   4d.6p       3P*         1.0      4d.6d       3P          0.0      3-1      E1    

3826.96    135000000.0   26.0   24.3490398-27.5887965  4d.6p       3P*         2.0      4d.6d       3D          3.0      5-7      E1    
4002.97    10700000.0    1.7    24.3490398-27.446345   4d.6p       3P*         2.0      4d.6d       3D          2.0      5-5      E1    
4097.686   50000.0       0.005  24.3490398-27.3747526  4d.6p       3P*         2.0      4d.6d       3D          1.0      5-3      E1    

1655.651   290000000.0   3.2    19.60776-27.096308     5s.5p       3P*         1.0      5p2         3P          2.0      3-5      E1    
1740.259   440000000.0   3.4    19.60776-26.732229     5s.5p       3P*         1.0      5p2         3P          1.0      3-3      E1    
1784.164   1640000000.0  4.6    19.60776-26.556909     5s.5p       3P*         1.0      5p2         3P          0.0      3-1      E1    

