Ritz        Aud          fdu      E_d(eV)-E_u(eV)          lower_conf       lower_term  lower_J  upper_conf       upper_term  upper_J  g_d-g_u  type  
------------------------------------------------------------------------------------------------------------------------------------------------------
3363.9041   35000000.0   0.03     30.95829705-34.6440204   2s2.2p4.(3P).3p  4D*         1.5      2s2.2p4.(3P).3d  4D          0.5      4-2      E1    
3375.02978  30000000.0   0.051    30.95829705-34.63187052  2s2.2p4.(3P).3p  4D*         1.5      2s2.2p4.(3P).3d  4D          1.5      4-4      E1    
3387.17399  5500000.0    0.014    30.95829705-34.61869947  2s2.2p4.(3P).3p  4D*         1.5      2s2.2p4.(3P).3d  4D          2.5      4-6      E1    

3177.03875  6000000.0    0.014    30.95829705-34.86080527  2s2.2p4.(3P).3p  4D*         1.5      2s2.2p4.(3P).3d  4P          2.5      4-6      E1    
3195.49892  52000000.0   0.08     30.95829705-34.83826076  2s2.2p4.(3P).3p  4D*         1.5      2s2.2p4.(3P).3d  4P          1.5      4-4      E1    
3218.22774  13000000.0   0.01     30.95829705-34.81085841  2s2.2p4.(3P).3p  4D*         1.5      2s2.2p4.(3P).3d  4P          0.5      4-2      E1    

3346.84229  22000000.0   0.025    30.9273578-34.63187052   2s2.2p4.(3P).3p  4D*         2.5      2s2.2p4.(3P).3d  4D          1.5      6-4      E1    
3358.78414  50000000.0   0.085    30.9273578-34.61869947   2s2.2p4.(3P).3p  4D*         2.5      2s2.2p4.(3P).3d  4D          2.5      6-6      E1    
3367.95114  3500000.0    0.0079   30.9273578-34.6086522    2s2.2p4.(3P).3p  4D*         2.5      2s2.2p4.(3P).3d  4D          3.5      6-8      E1    

3174.49095  4500000.0    0.0045   30.9273578-34.83299812   2s2.2p4.(3P).3p  4D*         2.5      2s2.2p4.(3P).3d  4F          1.5      6-4      E1    
3189.66289  39000000.0   0.059    30.9273578-34.81442056   2s2.2p4.(3P).3p  4D*         2.5      2s2.2p4.(3P).3d  4F          2.5      6-6      E1    
3199.51066  170000000.0  0.35     30.9273578-34.80245657   2s2.2p4.(3P).3p  4D*         2.5      2s2.2p4.(3P).3d  4F          3.5      6-8      E1    

3155.70651  1800000.0    0.002    30.8855318-34.81442056   2s2.2p4.(3P).3p  4D*         3.5      2s2.2p4.(3P).3d  4F          2.5      8-6      E1    
3165.34541  16000000.0   0.024    30.8855318-34.80245657   2s2.2p4.(3P).3p  4D*         3.5      2s2.2p4.(3P).3d  4F          3.5      8-8      E1    
3219.12193  360000000.0  0.7      30.8855318-34.737023     2s2.2p4.(3P).3p  4D*         3.5      2s2.2p4.(3P).3d  4F          4.5      8-10     E1    

3029.5819   85000000.0   0.058    30.55156804-34.6440204   2s2.2p4.(3P).3p  4P*         1.5      2s2.2p4.(3P).3d  4D          0.5      4-2      E1    
3038.60312  210000000.0  0.29     30.55156804-34.63187052  2s2.2p4.(3P).3p  4P*         1.5      2s2.2p4.(3P).3d  4D          1.5      4-4      E1    
3048.44337  180000000.0  0.38     30.55156804-34.61869947  2s2.2p4.(3P).3p  4P*         1.5      2s2.2p4.(3P).3d  4D          2.5      4-6      E1    

2877.17273  78000000.0   0.15     30.55156804-34.86080527  2s2.2p4.(3P).3p  4P*         1.5      2s2.2p4.(3P).3d  4P          2.5      4-6      E1    
2892.30431  6100000.0    0.0077   30.55156804-34.83826076  2s2.2p4.(3P).3p  4P*         1.5      2s2.2p4.(3P).3d  4P          1.5      4-4      E1    
2910.91209  170000000.0  0.11     30.55156804-34.81085841  2s2.2p4.(3P).3p  4P*         1.5      2s2.2p4.(3P).3d  4P          0.5      4-2      E1    

3018.18818  35000000.0   0.032    30.52396899-34.63187052  2s2.2p4.(3P).3p  4P*         2.5      2s2.2p4.(3P).3d  4D          1.5      6-4      E1    
3027.89644  140000000.0  0.19     30.52396899-34.61869947  2s2.2p4.(3P).3p  4P*         2.5      2s2.2p4.(3P).3d  4D          2.5      6-6      E1    
3035.34425  310000000.0  0.57     30.52396899-34.6086522   2s2.2p4.(3P).3p  4P*         2.5      2s2.2p4.(3P).3d  4D          3.5      6-8      E1    

2877.31168  33000000.0   0.027    30.52396899-34.83299812  2s2.2p4.(3P).3p  4P*         2.5      2s2.2p4.(3P).3d  4F          1.5      6-4      E1    
2889.77037  17000000.0   0.021    30.52396899-34.81442056  2s2.2p4.(3P).3p  4P*         2.5      2s2.2p4.(3P).3d  4F          2.5      6-6      E1    
2897.85107  300000.0     0.0005   30.52396899-34.80245657  2s2.2p4.(3P).3p  4P*         2.5      2s2.2p4.(3P).3d  4F          3.5      6-8      E1    

3777.9546   740000.0     0.00079  31.36223939-34.6440204   2s2.2p4.(3P).3p  4S*         1.5      2s2.2p4.(3P).3d  4D          0.5      4-2      E1    
3791.9935   1700000.0    0.0037   31.36223939-34.63187052  2s2.2p4.(3P).3p  4S*         1.5      2s2.2p4.(3P).3d  4D          1.5      4-4      E1    
3807.33053  1300000.0    0.0042   31.36223939-34.61869947  2s2.2p4.(3P).3p  4S*         1.5      2s2.2p4.(3P).3d  4D          2.5      4-6      E1    

3543.85776  120000000.0  0.34     31.36223939-34.86080527  2s2.2p4.(3P).3p  4S*         1.5      2s2.2p4.(3P).3d  4P          2.5      4-6      E1    
3566.8422   62000000.0   0.12     31.36223939-34.83826076  2s2.2p4.(3P).3p  4S*         1.5      2s2.2p4.(3P).3d  4P          1.5      4-4      E1    
3595.184    130000000.0  0.13     31.36223939-34.81085841  2s2.2p4.(3P).3p  4S*         1.5      2s2.2p4.(3P).3d  4P          0.5      4-2      E1    

