Ritz       Aud          fdu      E_d(eV)-E_u(eV)        lower_conf        lower_term  lower_J  upper_conf        upper_term  upper_J  g_d-g_u  type  
-----------------------------------------------------------------------------------------------------------------------------------------------------
1953.117   83000000.0   0.079    54.515205-60.863221    2s2.2p3.(2D*).3d  3P*         1.0      2s2.2p3.(2D*).4f  3P          2.0      3-5      E1    
1955.19    560000000.0  0.11     54.515205-60.856491    2s2.2p3.(2D*).3d  3P*         1.0      2s2.2p3.(2D*).4f  3P          0.0      3-1      E1    
1955.393   63000000.0   0.036    54.515205-60.855834    2s2.2p3.(2D*).3d  3P*         1.0      2s2.2p3.(2D*).4f  3P          1.0      3-3      E1    

1966.824   530000000.0  0.51     54.559442-60.863221    2s2.2p3.(2D*).3d  3S*         1.0      2s2.2p3.(2D*).4f  3P          2.0      3-5      E1    
1968.926   510000000.0  0.099    54.559442-60.856491    2s2.2p3.(2D*).3d  3S*         1.0      2s2.2p3.(2D*).4f  3P          0.0      3-1      E1    
1969.131   450000000.0  0.26     54.559442-60.855834    2s2.2p3.(2D*).3d  3S*         1.0      2s2.2p3.(2D*).4f  3P          1.0      3-3      E1    

2088.053   110000000.0  0.043    48.23674-54.17453      2s2.2p3.(2D*).3p  3D          2.0      2s2.2p3.(2D*).3d  3D*         1.0      5-3      E1    
2090.035   280000000.0  0.18     48.23674-54.168898     2s2.2p3.(2D*).3p  3D          2.0      2s2.2p3.(2D*).3d  3D*         2.0      5-5      E1    
2093.078   38000000.0   0.035    48.23674-54.160274     2s2.2p3.(2D*).3p  3D          2.0      2s2.2p3.(2D*).3d  3D*         3.0      5-7      E1    

2262.813   7300000.0    0.0072   48.52936-54.008567     2s2.2p3.(2D*).3p  3F          3.0      2s2.2p3.(2D*).3d  3F*         4.0      7-9      E1    
2265.536   160000000.0  0.12     48.52936-54.001982     2s2.2p3.(2D*).3p  3F          3.0      2s2.2p3.(2D*).3d  3F*         3.0      7-7      E1    
2267.578   19000000.0   0.01     48.52936-53.997052     2s2.2p3.(2D*).3p  3F          3.0      2s2.2p3.(2D*).3d  3F*         2.0      7-5      E1    

2458.264   330000000.0  0.1      49.478211-54.521778    2s2.2p3.(2D*).3p  3P          1.0      2s2.2p3.(2D*).3d  3P*         0.0      3-1      E1    
2461.472   45000000.0   0.041    49.478211-54.515205    2s2.2p3.(2D*).3p  3P          1.0      2s2.2p3.(2D*).3d  3P*         1.0      3-3      E1    
2468.87    82000000.0   0.12     49.478211-54.500112    2s2.2p3.(2D*).3p  3P          1.0      2s2.2p3.(2D*).3d  3P*         2.0      3-5      E1    

2177.311   410000000.0  0.097    43.78913-49.483502     2s2.2p3.(2D*).3s  3D*         1.0      2s2.2p3.(2D*).3p  3P          0.0      3-1      E1    
2179.336   100000000.0  0.071    43.78913-49.478211     2s2.2p3.(2D*).3s  3D*         1.0      2s2.2p3.(2D*).3p  3P          1.0      3-3      E1    
2183.907   4100000.0    0.0049   43.78913-49.466305     2s2.2p3.(2D*).3s  3D*         1.0      2s2.2p3.(2D*).3p  3P          2.0      3-5      E1    

2780.721   15000000.0   0.024    43.786633-48.24534     2s2.2p3.(2D*).3s  3D*         2.0      2s2.2p3.(2D*).3p  3D          3.0      5-7      E1    
2786.095   140000000.0  0.16     43.786633-48.23674     2s2.2p3.(2D*).3s  3D*         2.0      2s2.2p3.(2D*).3p  3D          2.0      5-5      E1    
2786.949   48000000.0   0.034    43.786633-48.235376    2s2.2p3.(2D*).3s  3D*         2.0      2s2.2p3.(2D*).3p  3D          1.0      5-3      E1    

2610.786   250000000.0  0.33     43.782987-48.53191     2s2.2p3.(2D*).3s  3D*         3.0      2s2.2p3.(2D*).3p  3F          4.0      7-9      E1    
2612.188   20000000.0   0.02     43.782987-48.52936     2s2.2p3.(2D*).3s  3D*         3.0      2s2.2p3.(2D*).3p  3F          3.0      7-7      E1    
2613.243   600000.0     0.00044  43.782987-48.527445    2s2.2p3.(2D*).3s  3D*         3.0      2s2.2p3.(2D*).3p  3F          2.0      7-5      E1    

2398.69    52000000.0   0.075    51.670794-56.839623    2s2.2p3.(2P*).3p  3P          1.0      2s2.2p3.(2P*).3d  3P*         2.0      3-5      E1    
2404.861   48000000.0   0.042    51.670794-56.82636     2s2.2p3.(2P*).3p  3P          1.0      2s2.2p3.(2P*).3d  3P*         1.0      3-3      E1    
2407.739   200000000.0  0.058    51.670794-56.820198    2s2.2p3.(2P*).3p  3P          1.0      2s2.2p3.(2P*).3d  3P*         0.0      3-1      E1    

2058.925   400000000.0  0.42     50.817831-56.839623    2s2.2p3.(2P*).3p  3S          1.0      2s2.2p3.(2P*).3d  3P*         2.0      3-5      E1    
2063.47    410000000.0  0.26     50.817831-56.82636     2s2.2p3.(2P*).3p  3S          1.0      2s2.2p3.(2P*).3d  3P*         1.0      3-3      E1    
2065.589   410000000.0  0.087    50.817831-56.820198    2s2.2p3.(2P*).3p  3S          1.0      2s2.2p3.(2P*).3d  3P*         0.0      3-1      E1    

2363.587   79000000.0   0.11     46.430781-51.676377    2s2.2p3.(2P*).3s  3P*         1.0      2s2.2p3.(2P*).3p  3P          2.0      3-5      E1    
2366.105   87000000.0   0.073    46.430781-51.670794    2s2.2p3.(2P*).3s  3P*         1.0      2s2.2p3.(2P*).3p  3P          1.0      3-3      E1    
2367.764   330000000.0  0.092    46.430781-51.667122    2s2.2p3.(2P*).3s  3P*         1.0      2s2.2p3.(2P*).3p  3P          0.0      3-1      E1    

2639.887   5900000.0    0.0037   46.431595-51.128167    2s2.2p3.(2P*).3s  3P*         2.0      2s2.2p3.(2P*).3p  3D          1.0      5-3      E1    
2639.955   55000000.0   0.057    46.431595-51.128047    2s2.2p3.(2P*).3s  3P*         2.0      2s2.2p3.(2P*).3p  3D          2.0      5-5      E1    
2641.87    230000000.0  0.34     46.431595-51.124642    2s2.2p3.(2P*).3s  3P*         2.0      2s2.2p3.(2P*).3p  3D          3.0      5-7      E1    

2763.885   160000000.0  0.061    49.367798-53.853664    2s2.2p3.(4S*).3d  3D*         1.0      2s2.2p3.(4S*).4p  3P          0.0      3-1      E1    
2765.072   41000000.0   0.047    49.367798-53.851739    2s2.2p3.(4S*).3d  3D*         1.0      2s2.2p3.(4S*).4p  3P          1.0      3-3      E1    
2766.434   1600000.0    0.0031   49.367798-53.8495312   2s2.2p3.(4S*).3d  3D*         1.0      2s2.2p3.(4S*).4p  3P          2.0      3-5      E1    

2824.217   4700000.0    0.0079   48.935034-53.325072    2s2.2p3.(4S*).3d  5D*         2.0      2s2.2p3.(4S*).4p  5P          3.0      5-7      E1    
2825.581   58000000.0   0.069    48.935034-53.322953    2s2.2p3.(4S*).3d  5D*         2.0      2s2.2p3.(4S*).4p  5P          2.0      5-5      E1    
2826.43    58000000.0   0.042    48.935034-53.321635    2s2.2p3.(4S*).3d  5D*         2.0      2s2.2p3.(4S*).4p  5P          1.0      5-3      E1    

2413.5518  480000000.0  0.59     44.2329494-49.3699513  2s2.2p3.(4S*).3p  3P          2.0      2s2.2p3.(4S*).3d  3D*         3.0      5-7      E1    
2414.2944  120000000.0  0.1      44.2329494-49.368371   2s2.2p3.(4S*).3p  3P          2.0      2s2.2p3.(4S*).3d  3D*         2.0      5-5      E1    
2414.5641  13000000.0   0.0068   44.2329494-49.367798   2s2.2p3.(4S*).3p  3P          2.0      2s2.2p3.(4S*).3d  3D*         1.0      5-3      E1    

1255.019   120000000.0  0.0094   39.604429-49.483502    2s2.2p3.(4S*).3s  3S*         1.0      2s2.2p3.(2D*).3p  3P          0.0      3-1      E1    
1255.691   130000000.0  0.031    39.604429-49.478211    2s2.2p3.(4S*).3s  3S*         1.0      2s2.2p3.(2D*).3p  3P          1.0      3-3      E1    
1257.207   130000000.0  0.051    39.604429-49.466305    2s2.2p3.(4S*).3s  3S*         1.0      2s2.2p3.(2D*).3p  3P          2.0      3-5      E1    

2590.77    240000000.0  0.34     38.420352-43.2059611   2s2.2p3.(4S*).3s  5S*         2.0      2s2.2p3.(4S*).3p  5P          3.0      5-7      E1    
2594.33    240000000.0  0.24     38.420352-43.1993962   2s2.2p3.(4S*).3s  5S*         2.0      2s2.2p3.(4S*).3p  5P          2.0      5-5      E1    
2596.43    240000000.0  0.15     38.420352-43.1955398   2s2.2p3.(4S*).3s  5S*         2.0      2s2.2p3.(4S*).3p  5P          1.0      5-3      E1    

