Ritz       Aud         fdu       E_d(eV)-E_u(eV)        lower_conf        lower_term  lower_J  upper_conf             upper_term  upper_J  g_d-g_u  type  
----------------------------------------------------------------------------------------------------------------------------------------------------------
8229.915   8130000.0   0.0495    12.5406949-14.0472014  2s2.2p3.(2D*).3s  3D*         2.0      2s2.2p3.(2D*).3p       3D          1.0      5-3      E1    
8232.263   22600000.0  0.23      12.5406949-14.0467717  2s2.2p3.(2D*).3s  3D*         2.0      2s2.2p3.(2D*).3p       3D          2.0      5-5      E1    
8232.289   3620000.0   0.0515    12.5406949-14.0467669  2s2.2p3.(2D*).3s  3D*         2.0      2s2.2p3.(2D*).3p       3D          3.0      5-7      E1    

2877.1388  1470000.0   0.000608  10.9887923-15.2980803  2s2.2p3.(4S*).3p  3P          1.0      2s2.2p3.(2D*<3/2>).3d  3P*         0.0      3-1      E1    
2879.7758  368000.0    0.000458  10.9887923-15.2941343  2s2.2p3.(4S*).3p  3P          1.0      2s2.2p3.(2D*<3/2>).3d  3P*         1.0      3-3      E1    
2884.655   366000.0    0.000761  10.9887923-15.2868521  2s2.2p3.(4S*).3p  3P          1.0      2s2.2p3.(2D*<3/2>).3d  3P*         2.0      3-5      E1    

2418.1478  298000.0    8.71e-05  10.9887923-16.1160306  2s2.2p3.(4S*).3p  3P          1.0      2s2.2p3.(2D*<3/2>).4d  3P*         0.0      3-1      E1    
2418.45    74500.0     6.53e-05  10.9887923-16.1153897  2s2.2p3.(4S*).3p  3P          1.0      2s2.2p3.(2D*<3/2>).4d  3P*         1.0      3-3      E1    
2418.999   74400.0     0.000109  10.9887923-16.1142263  2s2.2p3.(4S*).3p  3P          1.0      2s2.2p3.(2D*<3/2>).4d  3P*         2.0      3-5      E1    

3953.0462  310000.0    0.000242  10.9887923-14.125214   2s2.2p3.(4S*).3p  3P          1.0      2s2.2p3.(2P*).3s       3P*         0.0      3-1      E1    
3954.0064  77400.0     0.000181  10.9887923-14.1244523  2s2.2p3.(4S*).3p  3P          1.0      2s2.2p3.(2P*).3s       3P*         1.0      3-3      E1    
3955.6383  77300.0     0.000302  10.9887923-14.1231587  2s2.2p3.(4S*).3p  3P          1.0      2s2.2p3.(2P*).3s       3P*         2.0      3-5      E1    

2806.4     11800.0     8.36e-06  10.9888616-15.40677    2s2.2p3.(4S*).3p  3P          2.0      2s2.2p3.(2D*<5/2>).3d  3D*         1.0      5-3      E1    
2806.9     107000.0    0.000126  10.9888616-15.40599    2s2.2p3.(4S*).3p  3P          2.0      2s2.2p3.(2D*<5/2>).3d  3D*         2.0      5-5      E1    
2807.73    435000.0    0.00072   10.9888616-15.40468    2s2.2p3.(4S*).3p  3P          2.0      2s2.2p3.(2D*<5/2>).3d  3D*         3.0      5-7      E1    

7774.083   36900000.0  0.468     9.1460911-10.7409314   2s2.2p3.(4S*).3s  5S*         2.0      2s2.2p3.(4S*).3p       5P          3.0      5-7      E1    
7776.305   36900000.0  0.335     9.1460911-10.7404756   2s2.2p3.(4S*).3s  5S*         2.0      2s2.2p3.(4S*).3p       5P          2.0      5-5      E1    
7777.527   36900000.0  0.201     9.1460911-10.740225    2s2.2p3.(4S*).3s  5S*         2.0      2s2.2p3.(4S*).3p       5P          1.0      5-3      E1    

4218.275   544000.0    0.000484  12.3588649-15.2980803  2s2.2p3.(4S*).4p  3P          1.0      2s2.2p3.(2D*<3/2>).3d  3P*         0.0      3-1      E1    
4223.946   136000.0    0.000364  12.3588649-15.2941343  2s2.2p3.(4S*).4p  3P          1.0      2s2.2p3.(2D*<3/2>).3d  3P*         1.0      3-3      E1    
4234.452   135000.0    0.000605  12.3588649-15.2868521  2s2.2p3.(4S*).4p  3P          1.0      2s2.2p3.(2D*<3/2>).3d  3P*         2.0      3-5      E1    

3299.9396  143000.0    7.78e-05  12.3588649-16.1160306  2s2.2p3.(4S*).4p  3P          1.0      2s2.2p3.(2D*<3/2>).4d  3P*         0.0      3-1      E1    
3300.5026  35700.0     5.83e-05  12.3588649-16.1153897  2s2.2p3.(4S*).4p  3P          1.0      2s2.2p3.(2D*<3/2>).4d  3P*         1.0      3-3      E1    
3301.5251  35700.0     9.72e-05  12.3588649-16.1142263  2s2.2p3.(4S*).4p  3P          1.0      2s2.2p3.(2D*<3/2>).4d  3P*         2.0      3-5      E1    

4067.86    6430.0      9.57e-06  12.358875-15.40677     2s2.2p3.(4S*).4p  3P          2.0      2s2.2p3.(2D*<5/2>).3d  3D*         1.0      5-3      E1    
4068.9     58400.0     0.000145  12.358875-15.40599     2s2.2p3.(4S*).4p  3P          2.0      2s2.2p3.(2D*<5/2>).3d  3D*         2.0      5-5      E1    
4070.66    235000.0    0.000817  12.358875-15.40468     2s2.2p3.(4S*).4p  3P          2.0      2s2.2p3.(2D*<5/2>).3d  3D*         3.0      5-7      E1    

12270.115  235000.0    0.00743   11.8376056-12.8480623  2s2.2p3.(4S*).4s  5S*         2.0      2s2.2p3.(4S*).5p       5P          3.0      5-7      E1    
12270.868  235000.0    0.0053    11.8376056-12.8480003  2s2.2p3.(4S*).4s  5S*         2.0      2s2.2p3.(4S*).5p       5P          2.0      5-5      E1    
12271.405  235000.0    0.00318   11.8376056-12.847956   2s2.2p3.(4S*).4s  5S*         2.0      2s2.2p3.(4S*).5p       5P          1.0      5-3      E1    

