Ritz       Aud          fdu       E_d(eV)-E_u(eV)        lower_conf       lower_term  lower_J  upper_conf       upper_term  upper_J  g_d-g_u  type  
----------------------------------------------------------------------------------------------------------------------------------------------------
1130.1507  13300000.0   0.00382   14.878157-25.8487467   2s.2p4           4P          1.5      2s2.2p2.(3P).3p  4P*         2.5      4-6      E1    
1131.3263  6050000.0    0.00116   14.878157-25.8373471   2s.2p4           4P          1.5      2s2.2p2.(3P).3p  4P*         1.5      4-4      E1    
1131.9173  38900000.0   0.00374   14.878157-25.8316247   2s.2p4           4P          1.5      2s2.2p2.(3P).3p  4P*         0.5      4-2      E1    

6845.987   297000.0     0.00313   28.6770648-30.4881141  2s2.2p2.(3P).3d  4F          1.5      2s2.2p2.(3P).4p  4D*         2.5      4-6      E1    
6886.78    6120000.0    0.0435    28.6770648-30.477387   2s2.2p2.(3P).3d  4F          1.5      2s2.2p2.(3P).4p  4D*         1.5      4-4      E1    
6909.778   30300000.0   0.108     28.6770648-30.471394   2s2.2p2.(3P).3d  4F          1.5      2s2.2p2.(3P).4p  4D*         0.5      4-2      E1    

6812.357   164000.0     0.00152   28.6837551-30.5037449  2s2.2p2.(3P).3d  4F          2.5      2s2.2p2.(3P).4p  4D*         3.5      6-8      E1    
6871.371   5350000.0    0.0379    28.6837551-30.4881141  2s2.2p2.(3P).3d  4F          2.5      2s2.2p2.(3P).4p  4D*         2.5      6-6      E1    
6912.468   24300000.0   0.116     28.6837551-30.477387   2s2.2p2.(3P).3d  4F          2.5      2s2.2p2.(3P).4p  4D*         1.5      6-4      E1    

3851.8908  3400000.0    0.0113    25.6382319-28.8570199  2s2.2p2.(3P).3p  4D*         1.5      2s2.2p2.(3P).3d  4D          2.5      4-6      E1    
3852.1254  15200000.0   0.0338    25.6382319-28.8568239  2s2.2p2.(3P).3p  4D*         1.5      2s2.2p2.(3P).3d  4D          1.5      4-4      E1    
3857.2277  24500000.0   0.0273    25.6382319-28.8525664  2s2.2p2.(3P).3p  4D*         1.5      2s2.2p2.(3P).3d  4D          0.5      4-2      E1    

3873.5359  484000.0     0.000544  25.6382319-28.8390335  2s2.2p2.(3P).3p  4D*         1.5      2s2.2p2.(3P).3d  4P          0.5      4-2      E1    
3883.546   8940000.0    0.0202    25.6382319-28.8307832  2s2.2p2.(3P).3p  4D*         1.5      2s2.2p2.(3P).3d  4P          1.5      4-4      E1    
3894.6212  1890000.0    0.00645   25.6382319-28.8217045  2s2.2p2.(3P).3p  4D*         1.5      2s2.2p2.(3P).3d  4P          2.5      4-6      E1    

3114.52    3140000.0    0.00685   25.6382319-29.619076   2s2.2p2.(3P).3p  4D*         1.5      2s2.2p2.(3P).4s  4P          2.5      4-6      E1    
3130.247   49400000.0   0.0726    25.6382319-29.599076   2s2.2p2.(3P).3p  4D*         1.5      2s2.2p2.(3P).4s  4P          1.5      4-4      E1    
3140.588   76400000.0   0.0565    25.6382319-29.586034   2s2.2p2.(3P).3p  4D*         1.5      2s2.2p2.(3P).4s  4P          0.5      4-2      E1    

1953.9331  1190000.0    0.00102   25.6382319-31.983597   2s2.2p2.(3P).3p  4D*         1.5      2s2.2p2.(3P).5s  4P          2.5      4-6      E1    
1960.2599  18900000.0   0.0109    25.6382319-31.963118   2s2.2p2.(3P).3p  4D*         1.5      2s2.2p2.(3P).5s  4P          1.5      4-4      E1    
1964.2717  29400000.0   0.0085    25.6382319-31.9502     2s2.2p2.(3P).3p  4D*         1.5      2s2.2p2.(3P).5s  4P          0.5      4-2      E1    

3864.5923  5990000.0    0.0179    25.6495863-28.8577953  2s2.2p2.(3P).3p  4D*         2.5      2s2.2p2.(3P).3d  4D          3.5      6-8      E1    
3865.5265  20600000.0   0.0461    25.6495863-28.8570199  2s2.2p2.(3P).3p  4D*         2.5      2s2.2p2.(3P).3d  4D          2.5      6-6      E1    
3865.7628  19100000.0   0.0285    25.6495863-28.8568239  2s2.2p2.(3P).3p  4D*         2.5      2s2.2p2.(3P).3d  4D          1.5      6-4      E1    

4073.3023  179000000.0  0.594     25.6495863-28.6934114  2s2.2p2.(3P).3p  4D*         2.5      2s2.2p2.(3P).3d  4F          3.5      6-8      E1    
4086.2656  43100000.0   0.108     25.6495863-28.6837551  2s2.2p2.(3P).3p  4D*         2.5      2s2.2p2.(3P).3d  4F          2.5      6-6      E1    
4095.2957  3850000.0    0.00645   25.6495863-28.6770648  2s2.2p2.(3P).3p  4D*         2.5      2s2.2p2.(3P).3d  4F          1.5      6-4      E1    

4077.0125  198000000.0  0.617     25.6650368-28.706092   2s2.2p2.(3P).3p  4D*         3.5      2s2.2p2.(3P).3d  4F          4.5      8-10     E1    
4094.084   24500000.0   0.0616    25.6650368-28.6934114  2s2.2p2.(3P).3p  4D*         3.5      2s2.2p2.(3P).3d  4F          3.5      8-8      E1    
4107.1802  1510000.0    0.00286   25.6650368-28.6837551  2s2.2p2.(3P).3p  4D*         3.5      2s2.2p2.(3P).3d  4F          2.5      8-6      E1    

4105.8818  32900000.0   0.125     25.8373471-28.8570199  2s2.2p2.(3P).3p  4P*         1.5      2s2.2p2.(3P).3d  4D          2.5      4-6      E1    
4106.1484  95500000.0   0.241     25.8373471-28.8568239  2s2.2p2.(3P).3p  4P*         1.5      2s2.2p2.(3P).3d  4D          1.5      4-4      E1    
4111.9463  80500000.0   0.102     25.8373471-28.8525664  2s2.2p2.(3P).3p  4P*         1.5      2s2.2p2.(3P).3d  4D          0.5      4-2      E1    

4130.4847  16500000.0   0.0211    25.8373471-28.8390335  2s2.2p2.(3P).3p  4P*         1.5      2s2.2p2.(3P).3d  4P          0.5      4-2      E1    
4141.8688  3760000.0    0.00967   25.8373471-28.8307832  2s2.2p2.(3P).3p  4P*         1.5      2s2.2p2.(3P).3d  4P          1.5      4-4      E1    
4154.4688  72800000.0   0.283     25.8373471-28.8217045  2s2.2p2.(3P).3p  4P*         1.5      2s2.2p2.(3P).3d  4P          2.5      4-6      E1    

