Ritz       Aud          fdu       E_d(eV)-E_u(eV)      lower_conf       lower_term  lower_J  upper_conf       upper_term  upper_J  g_d-g_u  type  
--------------------------------------------------------------------------------------------------------------------------------------------------
2421.26    3370000.0    0.00415   49.363059-54.48372   2s.2p2.(4P).3d   5D          2.0      2s.2p2.(4P).4p   5P*         3.0      5-7      E1    
2427.04    41000000.0   0.0362    49.363059-54.4715    2s.2p2.(4P).3d   5D          2.0      2s.2p2.(4P).4p   5P*         2.0      5-5      E1    
2430.09    40900000.0   0.0217    49.363059-54.46509   2s.2p2.(4P).3d   5D          2.0      2s.2p2.(4P).4p   5P*         1.0      5-3      E1    

3729.899   145000000.0  0.389     46.468675-49.792738  2s.2p2.(4P).3p   3D*         3.0      2s.2p2.(4P).3d   3F          4.0      7-9      E1    
3747.964   15900000.0   0.0335    46.468675-49.776716  2s.2p2.(4P).3p   3D*         3.0      2s.2p2.(4P).3d   3F          3.0      7-7      E1    
3762.234   622000.0     0.000943  46.468675-49.764169  2s.2p2.(4P).3p   3D*         3.0      2s.2p2.(4P).3d   3F          2.0      7-5      E1    

2684.455   185000000.0  0.0666    45.038919-49.657518  2s.2p2.(4P).3p   3S*         1.0      2s.2p2.(4P).3d   3P          0.0      3-1      E1    
2688.345   184000000.0  0.199     45.038919-49.650835  2s.2p2.(4P).3p   3S*         1.0      2s.2p2.(4P).3d   3P          1.0      3-3      E1    
2696.277   182000000.0  0.331     45.038919-49.637267  2s.2p2.(4P).3p   3S*         1.0      2s.2p2.(4P).3d   3P          2.0      3-5      E1    

3075.031   18400000.0   0.0365    45.332392-49.364358  2s.2p2.(4P).3p   5D*         2.0      2s.2p2.(4P).3d   5D          3.0      5-7      E1    
3075.609   37600000.0   0.032     45.332392-49.363601  2s.2p2.(4P).3p   5D*         2.0      2s.2p2.(4P).3d   5D          1.0      5-3      E1    
3076.022   16100000.0   0.0228    45.332392-49.363059  2s.2p2.(4P).3p   5D*         2.0      2s.2p2.(4P).3d   5D          2.0      5-5      E1    

3448.956   119000000.0  0.297     45.332392-48.927225  2s.2p2.(4P).3p   5D*         2.0      2s.2p2.(4P).3d   5F          3.0      5-7      E1    
3455.825   68900000.0   0.123     45.332392-48.920079  2s.2p2.(4P).3p   5D*         2.0      2s.2p2.(4P).3d   5F          2.0      5-5      E1    
3460.471   11400000.0   0.0123    45.332392-48.915263  2s.2p2.(4P).3p   5D*         2.0      2s.2p2.(4P).3d   5F          1.0      5-3      E1    

1180.9927  5780000.0    0.000725  45.332392-55.830696  2s.2p2.(4P).3p   5D*         2.0      2s.2p2.(4P).4d   5P          1.0      5-3      E1    
1181.7476  5770000.0    0.00121   45.332392-55.823989  2s.2p2.(4P).3p   5D*         2.0      2s.2p2.(4P).4d   5P          2.0      5-5      E1    
1182.7697  470000.0     0.000138  45.332392-55.814923  2s.2p2.(4P).3p   5D*         2.0      2s.2p2.(4P).4d   5P          3.0      5-7      E1    

1583.243   14300000.0   0.00752   45.332392-53.163419  2s.2p2.(4P).3p   5D*         2.0      2s.2p2.(4P).4s   5P          3.0      5-7      E1    
1587.382   174000000.0  0.0657    45.332392-53.143     2s.2p2.(4P).3p   5D*         2.0      2s.2p2.(4P).4s   5P          2.0      5-5      E1    
1590.572   173000000.0  0.0394    45.332392-53.127337  2s.2p2.(4P).3p   5D*         2.0      2s.2p2.(4P).4s   5P          1.0      5-3      E1    

3076.847   10700000.0   0.0195    45.344825-49.374411  2s.2p2.(4P).3p   5D*         3.0      2s.2p2.(4P).3d   5D          4.0      7-9      E1    
3084.542   32000000.0   0.0456    45.344825-49.364358  2s.2p2.(4P).3p   5D*         3.0      2s.2p2.(4P).3d   5D          3.0      7-7      E1    
3085.54    25500000.0   0.026     45.344825-49.363059  2s.2p2.(4P).3p   5D*         3.0      2s.2p2.(4P).3d   5D          2.0      7-5      E1    

3451.896   144000000.0  0.331     45.344825-48.936597  2s.2p2.(4P).3p   5D*         3.0      2s.2p2.(4P).3d   5F          4.0      7-9      E1    
3460.926   51400000.0   0.0923    45.344825-48.927225  2s.2p2.(4P).3p   5D*         3.0      2s.2p2.(4P).3d   5F          3.0      7-7      E1    
3467.843   6820000.0    0.00878   45.344825-48.920079  2s.2p2.(4P).3p   5D*         3.0      2s.2p2.(4P).3d   5F          2.0      7-5      E1    

3455.976   172000000.0  0.376     45.360597-48.948128  2s.2p2.(4P).3p   5D*         4.0      2s.2p2.(4P).3d   5F          5.0      9-11     E1    
3467.12    28400000.0   0.0512    45.360597-48.936597  2s.2p2.(4P).3p   5D*         4.0      2s.2p2.(4P).3d   5F          4.0      9-9      E1    
3476.231   2420000.0    0.00341   45.360597-48.927225  2s.2p2.(4P).3p   5D*         4.0      2s.2p2.(4P).3d   5F          3.0      9-7      E1    

3383.583   98600000.0   0.237     45.700071-49.364358  2s.2p2.(4P).3p   5P*         2.0      2s.2p2.(4P).3d   5D          3.0      5-7      E1    
3384.283   37000000.0   0.0381    45.700071-49.363601  2s.2p2.(4P).3p   5P*         2.0      2s.2p2.(4P).3d   5D          1.0      5-3      E1    
3384.783   86200000.0   0.148     45.700071-49.363059  2s.2p2.(4P).3p   5P*         2.0      2s.2p2.(4P).3d   5D          2.0      5-5      E1    

3333.364   79200000.0   0.0792    45.700071-49.419562  2s.2p2.(4P).3p   5P*         2.0      2s.2p2.(4P).3d   5P          1.0      5-3      E1    
3337.646   8770000.0    0.0146    45.700071-49.414791  2s.2p2.(4P).3p   5P*         2.0      2s.2p2.(4P).3d   5P          2.0      5-5      E1    
3345.472   34800000.0   0.0817    45.700071-49.406101  2s.2p2.(4P).3p   5P*         2.0      2s.2p2.(4P).3d   5P          3.0      5-7      E1    

1223.8554  75000000.0   0.0101    45.700071-55.830696  2s.2p2.(4P).3p   5P*         2.0      2s.2p2.(4P).4d   5P          1.0      5-3      E1    
1224.6661  8320000.0    0.00187   45.700071-55.823989  2s.2p2.(4P).3p   5P*         2.0      2s.2p2.(4P).4d   5P          2.0      5-5      E1    
1225.7639  33200000.0   0.0105    45.700071-55.814923  2s.2p2.(4P).3p   5P*         2.0      2s.2p2.(4P).4d   5P          3.0      5-7      E1    

1661.241   72200000.0   0.0418    45.700071-53.163419  2s.2p2.(4P).3p   5P*         2.0      2s.2p2.(4P).4s   5P          3.0      5-7      E1    
1665.799   17900000.0   0.00745   45.700071-53.143     2s.2p2.(4P).3p   5P*         2.0      2s.2p2.(4P).4s   5P          2.0      5-5      E1    
1669.311   160000000.0  0.0401    45.700071-53.127337  2s.2p2.(4P).3p   5P*         2.0      2s.2p2.(4P).4s   5P          1.0      5-3      E1    

3385.873   148000000.0  0.327     45.712602-49.374411  2s.2p2.(4P).3p   5P*         3.0      2s.2p2.(4P).3d   5D          4.0      7-9      E1    
3395.194   48800000.0   0.0843    45.712602-49.364358  2s.2p2.(4P).3p   5P*         3.0      2s.2p2.(4P).3d   5D          3.0      7-7      E1    
3396.402   9750000.0    0.012     45.712602-49.363059  2s.2p2.(4P).3p   5P*         3.0      2s.2p2.(4P).3d   5D          2.0      7-5      E1    

4441.339   44200000.0   0.0784    46.627967-49.419562  2s.2p2.(4P).3p   5S*         2.0      2s.2p2.(4P).3d   5P          1.0      5-3      E1    
4448.943   44000000.0   0.131     46.627967-49.414791  2s.2p2.(4P).3p   5S*         2.0      2s.2p2.(4P).3d   5P          2.0      5-5      E1    
4462.859   43600000.0   0.182     46.627967-49.406101  2s.2p2.(4P).3p   5S*         2.0      2s.2p2.(4P).3d   5P          3.0      5-7      E1    

1347.255   224000000.0  0.0366    46.627967-55.830696  2s.2p2.(4P).3p   5S*         2.0      2s.2p2.(4P).4d   5P          1.0      5-3      E1    
1348.237   223000000.0  0.0608    46.627967-55.823989  2s.2p2.(4P).3p   5S*         2.0      2s.2p2.(4P).4d   5P          2.0      5-5      E1    
1349.568   222000000.0  0.0849    46.627967-55.814923  2s.2p2.(4P).3p   5S*         2.0      2s.2p2.(4P).4d   5P          3.0      5-7      E1    

1897.102   149000000.0  0.113     46.627967-53.163419  2s.2p2.(4P).3p   5S*         2.0      2s.2p2.(4P).4s   5P          3.0      5-7      E1    
1903.048   147000000.0  0.0798    46.627967-53.143     2s.2p2.(4P).3p   5S*         2.0      2s.2p2.(4P).4s   5P          2.0      5-5      E1    
1907.634   146000000.0  0.0478    46.627967-53.127337  2s.2p2.(4P).3p   5S*         2.0      2s.2p2.(4P).4s   5P          1.0      5-3      E1    

3532.232   44500000.0   0.0277    43.409899-46.91998   2s.2p2.(4P).3s   3P          1.0      2s.2p2.(4P).3p   3P*         0.0      3-1      E1    
3534.394   11100000.0   0.0208    43.409899-46.917833  2s.2p2.(4P).3s   3P          1.0      2s.2p2.(4P).3p   3P*         1.0      3-3      E1    
3535.914   11100000.0   0.0347    43.409899-46.916325  2s.2p2.(4P).3s   3P          1.0      2s.2p2.(4P).3p   3P*         2.0      3-5      E1    

3266.634   96800000.0   0.0516    43.409899-47.205372  2s.2p2.(4P).3s   3P          1.0      2s2.2p.(2P*).4d  3P*         0.0      3-1      E1    
3268.671   24200000.0   0.0388    43.409899-47.203006  2s.2p2.(4P).3s   3P          1.0      2s2.2p.(2P*).4d  3P*         1.0      3-3      E1    
3269.891   24100000.0   0.0644    43.409899-47.201591  2s.2p2.(4P).3s   3P          1.0      2s2.2p.(2P*).4d  3P*         2.0      3-5      E1    

4082.172   60200000.0   0.211     43.431464-46.468675  2s.2p2.(4P).3s   3P          2.0      2s.2p2.(4P).3p   3D*         3.0      5-7      E1    
4104.224   14800000.0   0.0374    43.431464-46.452356  2s.2p2.(4P).3s   3P          2.0      2s.2p2.(4P).3p   3D*         2.0      5-5      E1    
4119.76    1630000.0    0.00249   43.431464-46.440965  2s.2p2.(4P).3s   3P          2.0      2s.2p2.(4P).3p   3D*         1.0      5-3      E1    

3441.349   64200000.0   0.16      43.431464-47.034243  2s.2p2.(4P).3s   3P          2.0      2s2.2p.(2P*).4d  3D*         3.0      5-7      E1    
3448.912   16000000.0   0.0285    43.431464-47.026342  2s.2p2.(4P).3s   3P          2.0      2s2.2p.(2P*).4d  3D*         2.0      5-5      E1    
3456.766   1760000.0    0.00189   43.431464-47.018174  2s.2p2.(4P).3s   3P          2.0      2s2.2p.(2P*).4d  3D*         1.0      5-3      E1    

3696.427   40100000.0   0.137     41.978229-45.332392  2s.2p2.(4P).3s   5P          1.0      2s.2p2.(4P).3p   5D*         2.0      3-5      E1    
3705.804   85300000.0   0.176     41.978229-45.323905  2s.2p2.(4P).3s   5P          1.0      2s.2p2.(4P).3p   5D*         1.0      3-3      E1    
