Ritz      Aud           fdu      E_d(eV)-E_u(eV)    lower_conf      lower_term  lower_J  upper_conf      upper_term  upper_J  g_d-g_u  type  
---------------------------------------------------------------------------------------------------------------------------------------------
3257.75   50300000.0    0.04     75.2061-79.0119    2p2.(3P).3p     4P*         1.5      2p2.(3P).3d     4P          0.5      4-2      E1    
3264.35   8000000.0     0.0128   75.2061-79.0042    2p2.(3P).3p     4P*         1.5      2p2.(3P).3d     4P          1.5      4-4      E1    
3274.93   17800000.0    0.0429   75.2061-78.9919    2p2.(3P).3p     4P*         1.5      2p2.(3P).3d     4P          2.5      4-6      E1    

3367.34   28600000.0    0.0729   71.5385-75.2205    2p2.(3P).3s     4P          1.5      2p2.(3P).3p     4P*         2.5      4-6      E1    
3380.55   12600000.0    0.0216   71.5385-75.2061    2p2.(3P).3s     4P          1.5      2p2.(3P).3p     4P*         1.5      4-4      E1    
3386.04   78200000.0    0.0672   71.5385-75.2       2p2.(3P).3s     4P          1.5      2p2.(3P).3p     4P*         0.5      4-2      E1    

1033.373  301000000.0   0.0241   61.96677-73.96478  2s.2p.(3P*).3d  4D*         1.5      2s.2p.(3P*).4f  4D          0.5      4-2      E1    
1033.948  240000000.0   0.0385   61.96677-73.95811  2s.2p.(3P*).3d  4D*         1.5      2s.2p.(3P*).4f  4D          1.5      4-4      E1    
1034.68   140000000.0   0.0337   61.96677-73.9496   2s.2p.(3P*).3d  4D*         1.5      2s.2p.(3P*).4f  4D          2.5      4-6      E1    

1034.449  210000000.0   0.0225   61.97258-73.95811  2s.2p.(3P*).3d  4D*         2.5      2s.2p.(3P*).4f  4D          1.5      6-4      E1    
1035.18   343000000.0   0.0551   61.97258-73.9496   2s.2p.(3P*).3d  4D*         2.5      2s.2p.(3P*).4f  4D          2.5      6-6      E1    
1036.39   84900000.0    0.0182   61.97258-73.9356   2s.2p.(3P*).3d  4D*         2.5      2s.2p.(3P*).4f  4D          3.5      6-8      E1    

1062.271  3120000000.0  0.66     61.98057-73.65218  2s.2p.(3P*).3d  4D*         3.5      2s.2p.(3P*).4f  4F          4.5      8-10     E1    
1062.86   444000000.0   0.0752   61.98057-73.64572  2s.2p.(3P*).3d  4D*         3.5      2s.2p.(3P*).4f  4F          3.5      8-8      E1    
1063.209  30100000.0    0.00383  61.98057-73.64189  2s.2p.(3P*).3d  4D*         3.5      2s.2p.(3P*).4f  4F          2.5      8-6      E1    

1013.322  21200000.0    0.00408  61.41676-73.65218  2s.2p.(3P*).3d  4F*         3.5      2s.2p.(3P*).4f  4F          4.5      8-10     E1    
1013.857  195000000.0   0.0301   61.41676-73.64572  2s.2p.(3P*).3d  4F*         3.5      2s.2p.(3P*).4f  4F          3.5      8-8      E1    
1014.175  45500000.0    0.00526  61.41676-73.64189  2s.2p.(3P*).3d  4F*         3.5      2s.2p.(3P*).4f  4F          2.5      8-6      E1    

1082.751  476000000.0   0.0418   62.51394-73.96478  2s.2p.(3P*).3d  4P*         1.5      2s.2p.(3P*).4f  4D          0.5      4-2      E1    
1083.383  1520000000.0  0.267    62.51394-73.95811  2s.2p.(3P*).3d  4P*         1.5      2s.2p.(3P*).4f  4D          1.5      4-4      E1    
1084.19   1990000000.0  0.526    62.51394-73.9496   2s.2p.(3P*).3d  4P*         1.5      2s.2p.(3P*).4f  4D          2.5      4-6      E1    

1082.056  143000000.0   0.0167   62.4999-73.95811   2s.2p.(3P*).3d  4P*         2.5      2s.2p.(3P*).4f  4D          1.5      6-4      E1    
1082.86   856000000.0   0.15     62.4999-73.9496    2s.2p.(3P*).3d  4P*         2.5      2s.2p.(3P*).4f  4D          2.5      6-6      E1    
1084.18   2840000000.0  0.667    62.4999-73.9356    2s.2p.(3P*).3d  4P*         2.5      2s.2p.(3P*).4f  4D          3.5      6-8      E1    

3181.91   7060000.0     0.0161   58.07605-61.97258  2s.2p.(3P*).3p  4D          1.5      2s.2p.(3P*).3d  4D*         2.5      4-6      E1    
3186.66   12100000.0    0.0184   58.07605-61.96677  2s.2p.(3P*).3p  4D          1.5      2s.2p.(3P*).3d  4D*         1.5      4-4      E1    
3189.56   15000000.0    0.0114   58.07605-61.96324  2s.2p.(3P*).3p  4D          1.5      2s.2p.(3P*).3d  4D*         0.5      4-2      E1    

2788.05   10200000.0    0.00594  58.07605-62.52304  2s.2p.(3P*).3p  4D          1.5      2s.2p.(3P*).3d  4P*         0.5      4-2      E1    
2793.76   6500000.0     0.00761  58.07605-62.51394  2s.2p.(3P*).3p  4D          1.5      2s.2p.(3P*).3d  4P*         1.5      4-4      E1    
2802.63   402000.0      0.00071  58.07605-62.4999   2s.2p.(3P*).3p  4D          1.5      2s.2p.(3P*).3d  4P*         2.5      4-6      E1    

3189.14   4280000.0     0.0087   58.09287-61.98057  2s.2p.(3P*).3p  4D          2.5      2s.2p.(3P*).3d  4D*         3.5      6-8      E1    
3195.7    17100000.0    0.0262   58.09287-61.97258  2s.2p.(3P*).3p  4D          2.5      2s.2p.(3P*).3d  4D*         2.5      6-6      E1    
3200.5    10400000.0    0.0106   58.09287-61.96677  2s.2p.(3P*).3p  4D          2.5      2s.2p.(3P*).3d  4D*         1.5      6-4      E1    

3730.09   68600000.0    0.191    58.09287-61.41676  2s.2p.(3P*).3p  4D          2.5      2s.2p.(3P*).3d  4F*         3.5      6-8      E1    
3745.95   19200000.0    0.0404   58.09287-61.40269  2s.2p.(3P*).3p  4D          2.5      2s.2p.(3P*).3d  4F*         2.5      6-6      E1    
3756.8    1570000.0     0.00221  58.09287-61.3931   2s.2p.(3P*).3p  4D          2.5      2s.2p.(3P*).3d  4F*         1.5      6-4      E1    

3737.91   79500000.0    0.208    58.11883-61.43577  2s.2p.(3P*).3p  4D          3.5      2s.2p.(3P*).3d  4F*         4.5      8-10     E1    
3759.46   11100000.0    0.0235   58.11883-61.41676  2s.2p.(3P*).3p  4D          3.5      2s.2p.(3P*).3d  4F*         3.5      8-8      E1    
3775.57   745000.0      0.00119  58.11883-61.40269  2s.2p.(3P*).3p  4D          3.5      2s.2p.(3P*).3d  4F*         2.5      8-6      E1    

4784.76   20600000.0    0.106    59.38135-61.97258  2s.2p.(3P*).3p  4P          1.5      2s.2p.(3P*).3d  4D*         2.5      4-6      E1    
4795.52   15600000.0    0.0538   59.38135-61.96677  2s.2p.(3P*).3p  4P          1.5      2s.2p.(3P*).3d  4D*         1.5      4-4      E1    
4802.08   4840000.0     0.00837  59.38135-61.96324  2s.2p.(3P*).3p  4P          1.5      2s.2p.(3P*).3d  4D*         0.5      4-2      E1    

3946.42   18800000.0    0.0219   59.38135-62.52304  2s.2p.(3P*).3p  4P          1.5      2s.2p.(3P*).3d  4P*         0.5      4-2      E1    
3957.89   2980000.0     0.007    59.38135-62.51394  2s.2p.(3P*).3p  4P          1.5      2s.2p.(3P*).3d  4P*         1.5      4-4      E1    
3975.7    6620000.0     0.0235   59.38135-62.4999   2s.2p.(3P*).3p  4P          1.5      2s.2p.(3P*).3d  4P*         2.5      4-6      E1    

1106.93   276000000.0   0.076    59.38135-70.5821   2s.2p.(3P*).3p  4P          1.5      2s.2p.(3P*).4s  4P*         2.5      4-6      E1    
