Ritz       Aud          fdu      E_d(eV)-E_u(eV)      lower_conf  lower_term  lower_J  upper_conf  upper_term  upper_J  g_d-g_u  type  
---------------------------------------------------------------------------------------------------------------------------------------
4825.044   750000.0     0.0044   12.790905-15.360503  3s2.3p.4p   3D          1.0      3s2.3p.5s   3P*         2.0      3-5      E1    
4928.573   19000000.0   0.069    12.790905-15.306526  3s2.3p.4p   3D          1.0      3s2.3p.5s   3P*         1.0      3-3      E1    
4955.75    78000000.0   0.096    12.790905-15.292731  3s2.3p.4p   3D          1.0      3s2.3p.5s   3P*         0.0      3-1      E1    

4603.359   190000000.0  0.78     12.853177-15.546519  3s2.3p.4p   3D          3.0      3s2.3p.4d   3F*         4.0      7-9      E1    
4659.613   21000000.0   0.068    12.853177-15.514003  3s2.3p.4p   3D          3.0      3s2.3p.4d   3F*         3.0      7-7      E1    
4699.498   840000.0     0.002    12.853177-15.49142   3s2.3p.4p   3D          3.0      3s2.3p.4d   3F*         2.0      7-5      E1    

4418.577   19000000.0   0.056    13.05583-15.861806   3s2.3p.4p   3P          1.0      3s2.3p.4d   3P*         1.0      3-3      E1    
4425.333   73000000.0   0.071    13.05583-15.857522   3s2.3p.4p   3P          1.0      3s2.3p.4d   3P*         0.0      3-1      E1    
4532.093   18000000.0   0.092    13.05583-15.791524   3s2.3p.4p   3P          1.0      3s2.3p.4d   3P*         2.0      3-5      E1    

5379.688   11000000.0   0.08     13.05583-15.360503   3s2.3p.4p   3P          1.0      3s2.3p.5s   3P*         2.0      3-5      E1    
5508.704   11000000.0   0.05     13.05583-15.306526   3s2.3p.4p   3P          1.0      3s2.3p.5s   3P*         1.0      3-3      E1    
5542.678   45000000.0   0.069    13.05583-15.292731   3s2.3p.4p   3P          1.0      3s2.3p.5s   3P*         0.0      3-1      E1    

4559.373   97000000.0   0.3      13.14248-15.861806   3s2.3p.4p   3S          1.0      3s2.3p.4d   3P*         1.0      3-3      E1    
4566.567   96000000.0   0.1      13.14248-15.857522   3s2.3p.4p   3S          1.0      3s2.3p.4d   3P*         0.0      3-1      E1    
4680.338   96000000.0   0.53     13.14248-15.791524   3s2.3p.4p   3S          1.0      3s2.3p.4d   3P*         2.0      3-5      E1    

5589.852   15000000.0   0.12     13.14248-15.360503   3s2.3p.4p   3S          1.0      3s2.3p.5s   3P*         2.0      3-5      E1    
5729.28    15000000.0   0.074    13.14248-15.306526   3s2.3p.4p   3S          1.0      3s2.3p.5s   3P*         1.0      3-3      E1    
5766.04    15000000.0   0.025    13.14248-15.292731   3s2.3p.4p   3S          1.0      3s2.3p.5s   3P*         0.0      3-1      E1    

1304.4917  150000000.0  0.013    0.020445-9.524852    3s2.3p2     3P          1.0      3s.3p3      3P*         0.0      3-1      E1    
1304.6752  37000000.0   0.0094   0.020445-9.523515    3s2.3p2     3P          1.0      3s.3p3      3P*         1.0      3-3      E1    
1305.4973  38000000.0   0.016    0.020445-9.51753     3s2.3p2     3P          1.0      3s.3p3      3P*         2.0      3-5      E1    

1542.304   12700000.0   0.00634  0.058163-8.097057    3s2.3p2     3P          2.0      3s.3p3      3D*         3.0      5-7      E1    
1543.133   3200000.0    0.0011   0.058163-8.09274     3s2.3p2     3P          2.0      3s.3p3      3D*         2.0      5-5      E1    
1543.631   350000.0     7.5e-05  0.058163-8.090149    3s2.3p2     3P          2.0      3s.3p3      3D*         1.0      5-3      E1    

