Ritz       Aud           fdu     E_d(eV)-E_u(eV)      lower_conf  lower_term  lower_J  upper_conf  upper_term  upper_J  g_d-g_u  type  
---------------------------------------------------------------------------------------------------------------------------------------
1086.9354  1800000000.0  0.11    23.482375-34.889144  3s.3d       3D          1.0      3p.3d       3P*         0.0      3-1      E1    
1088.6164  450000000.0   0.08    23.482375-34.871529  3s.3d       3D          1.0      3p.3d       3P*         1.0      3-3      E1    
1091.4425  30000000.0    0.0089  23.482375-34.842039  3s.3d       3D          1.0      3p.3d       3P*         2.0      3-5      E1    

1064.6118  170000000.0   0.04    23.482375-35.128329  3s.3d       3D          2.0      3p.3d       3D*         3.0      5-7      E1    
1065.5444  1100000000.0  0.19    23.482375-35.118136  3s.3d       3D          2.0      3p.3d       3D*         2.0      5-5      E1    
1066.6449  390000000.0   0.04    23.482375-35.106131  3s.3d       3D          2.0      3p.3d       3D*         1.0      5-3      E1    

1025.5615  770000000.0   0.2     8.449087-20.538483   3s.3p       3P*         1.0      3p2         3P          2.0      3-5      E1    
1030.5145  750000000.0   0.12    8.449087-20.480378   3s.3p       3P*         1.0      3p2         3P          1.0      3-3      E1    
1033.1116  2990000000.0  0.159   8.449087-20.450132   3s.3p       3P*         1.0      3p2         3P          0.0      3-1      E1    

3348.702   213000000.0   0.597   28.131784-31.83424   3s.4s       3S          1.0      3s.4p       3P*         2.0      3-5      E1    
3365.436   209000000.0   0.355   28.131784-31.815829  3s.4s       3S          1.0      3s.4p       3P*         1.0      3-3      E1    
3372.088   210000000.0   0.12    28.131784-31.808563  3s.4s       3S          1.0      3s.4p       3P*         0.0      3-1      E1    

