Ritz      Aud          fdu       E_d(eV)-E_u(eV)      lower_conf  lower_term  lower_J  upper_conf  upper_term  upper_J  g_d-g_u  type  
---------------------------------------------------------------------------------------------------------------------------------------
1121.405  2190000.0    0.000689  10.41707-21.473213   3s.3p3      3D*         1.0      3s2.3p.4p   3P          2.0      3-5      E1    
1126.533  49100000.0   0.00935   10.41707-21.42289    3s.3p3      3D*         1.0      3s2.3p.4p   3P          1.0      3-3      E1    
1128.496  193000000.0  0.0123    10.41707-21.403738   3s.3p3      3D*         1.0      3s2.3p.4p   3P          0.0      3-1      E1    

1154.683  4190000.0    0.00117   10.42046-21.157972   3s.3p3      3D*         2.0      3s2.3p.4p   3D          3.0      5-7      E1    
1162.493  25000000.0   0.00507   10.42046-21.085835   3s.3p3      3D*         2.0      3s2.3p.4p   3D          2.0      5-5      E1    
1166.525  15300000.0   0.00188   10.42046-21.048975   3s.3p3      3D*         2.0      3s2.3p.4p   3D          1.0      5-3      E1    

1343.594  8730000.0    0.00394   12.24541-21.473213   3s.3p3      3P*         1.0      3s2.3p.4p   3P          2.0      3-5      E1    
1350.961  586000.0     0.00016   12.24541-21.42289    3s.3p3      3P*         1.0      3s2.3p.4p   3P          1.0      3-3      E1    
1353.787  27200000.0   0.0025    12.24541-21.403738   3s.3p3      3P*         1.0      3s2.3p.4p   3P          0.0      3-1      E1    

1390.719  8560000.0    0.00348   12.24286-21.157972   3s.3p3      3P*         2.0      3s2.3p.4p   3D          3.0      5-7      E1    
1402.064  2670000.0    0.000788  12.24286-21.085835   3s.3p3      3P*         2.0      3s2.3p.4p   3D          2.0      5-5      E1    
1407.933  684000.0     0.000122  12.24286-21.048975   3s.3p3      3P*         2.0      3s2.3p.4p   3D          1.0      5-3      E1    

1503.966  21700.0      1.03e-05  12.91416-21.157972   3s2.3p.3d   1D*         2.0      3s2.3p.4p   3D          3.0      5-7      E1    
1517.243  162000.0     5.6e-05   12.91416-21.085835   3s2.3p.3d   1D*         2.0      3s2.3p.4p   3D          2.0      5-5      E1    
1524.118  4470000.0    0.000935  12.91416-21.048975   3s2.3p.3d   1D*         2.0      3s2.3p.4p   3D          1.0      5-3      E1    

2060.494  706000.0     0.000629  15.14076-21.157972   3s2.3p.3d   3F*         2.0      3s2.3p.4p   3D          3.0      5-7      E1    
2085.496  34200000.0   0.0223    15.14076-21.085835   3s2.3p.3d   3F*         2.0      3s2.3p.4p   3D          2.0      5-5      E1    
2098.507  305000000.0  0.121     15.14076-21.048975   3s2.3p.3d   3F*         2.0      3s2.3p.4p   3D          1.0      5-3      E1    

3324.94   41200000.0   0.114     17.744297-21.473213  3s2.3p.3d   3P*         1.0      3s2.3p.4p   3P          2.0      3-5      E1    
3370.425  53400000.0   0.091     17.744297-21.42289   3s2.3p.3d   3P*         1.0      3s2.3p.4p   3P          1.0      3-3      E1    
3388.064  199000000.0  0.114     17.744297-21.403738  3s2.3p.3d   3P*         1.0      3s2.3p.4p   3P          0.0      3-1      E1    

2443.326  3690000.0    0.00551   21.048975-26.123376  3s2.3p.4p   3D          1.0      3s2.3p.5s   3P*         2.0      3-5      E1    
2490.288  87200000.0   0.0811    21.048975-26.027684  3s2.3p.4p   3D          1.0      3s2.3p.5s   3P*         1.0      3-3      E1    
2499.783  346000000.0  0.108     21.048975-26.008774  3s2.3p.4p   3D          1.0      3s2.3p.5s   3P*         0.0      3-1      E1    

2714.152  16900000.0   0.0261    21.085835-25.653899  3s2.3p.4p   3D          2.0      3s2.3p.4d   3D*         3.0      5-7      E1    
2731.914  104000000.0  0.116     21.085835-25.6242    3s2.3p.4p   3D          2.0      3s2.3p.4d   3D*         2.0      5-5      E1    
2741.855  36700000.0   0.0248    21.085835-25.607745  3s2.3p.4p   3D          2.0      3s2.3p.4d   3D*         1.0      5-3      E1    

2864.352  553000000.0  0.874     21.157972-25.486497  3s2.3p.4p   3D          3.0      3s2.3p.4d   3F*         4.0      7-9      E1    
2905.121  59000000.0   0.0746    21.157972-25.425753  3s2.3p.4p   3D          3.0      3s2.3p.4d   3F*         3.0      7-7      E1    
2947.233  2240000.0    0.00208   21.157972-25.364772  3s2.3p.4p   3D          3.0      3s2.3p.4d   3F*         2.0      7-5      E1    

2822.889  254000000.0  0.101     21.42289-25.814993   3s2.3p.4p   3P          1.0      3s2.3p.4d   3P*         0.0      3-1      E1    
2831.447  62700000.0   0.0754    21.42289-25.801718   3s2.3p.4p   3P          1.0      3s2.3p.4d   3P*         1.0      3-3      E1    
2848.539  61700000.0   0.125     21.42289-25.775444   3s2.3p.4p   3P          1.0      3s2.3p.4d   3P*         2.0      3-5      E1    

2637.689  48100000.0   0.0836    21.42289-26.123376   3s2.3p.4p   3P          1.0      3s2.3p.5s   3P*         2.0      3-5      E1    
2692.502  45200000.0   0.0491    21.42289-26.027684   3s2.3p.4p   3P          1.0      3s2.3p.5s   3P*         1.0      3-3      E1    
2703.605  178000000.0  0.0652    21.42289-26.008774   3s2.3p.4p   3P          1.0      3s2.3p.5s   3P*         0.0      3-1      E1    

2965.642  359000000.0  0.662     21.473213-25.653899  3s2.3p.4p   3P          2.0      3s2.3p.4d   3D*         3.0      5-7      E1    
2986.861  87500000.0   0.117     21.473213-25.6242    3s2.3p.4p   3P          2.0      3s2.3p.4d   3D*         2.0      5-5      E1    
2998.748  9630000.0    0.00779   21.473213-25.607745  3s2.3p.4p   3P          2.0      3s2.3p.4d   3D*         1.0      5-3      E1    

2926.178  283000000.0  0.121     21.577923-25.814993  3s2.3p.4p   3S          1.0      3s2.3p.4d   3P*         0.0      3-1      E1    
2935.375  281000000.0  0.363     21.577923-25.801718  3s2.3p.4p   3S          1.0      3s2.3p.4d   3P*         1.0      3-3      E1    
2953.748  276000000.0  0.601     21.577923-25.775444  3s2.3p.4p   3S          1.0      3s2.3p.4d   3P*         2.0      3-5      E1    

2727.653  74800000.0   0.139     21.577923-26.123376  3s2.3p.4p   3S          1.0      3s2.3p.5s   3P*         2.0      3-5      E1    
2786.312  70100000.0   0.0816    21.577923-26.027684  3s2.3p.4p   3S          1.0      3s2.3p.5s   3P*         1.0      3-3      E1    
2798.203  69300000.0   0.0271    21.577923-26.008774  3s2.3p.4p   3S          1.0      3s2.3p.5s   3P*         0.0      3-1      E1    

3779.919  6620000.0    0.0237    18.193138-21.473213  3s2.3p.4s   3P*         1.0      3s2.3p.4p   3P          2.0      3-5      E1    
3838.814  25500000.0   0.0564    18.193138-21.42289   3s2.3p.4s   3P*         1.0      3s2.3p.4p   3P          1.0      3-3      E1    
3861.714  20200000.0   0.0151    18.193138-21.403738  3s2.3p.4s   3P*         1.0      3s2.3p.4p   3P          0.0      3-1      E1    

4254.696  67400000.0   0.256     18.243916-21.157972  3s2.3p.4s   3P*         2.0      3s2.3p.4p   3D          3.0      5-7      E1    
4362.693  17400000.0   0.0496    18.243916-21.085835  3s2.3p.4s   3P*         2.0      3s2.3p.4p   3D          2.0      5-5      E1    
4420.022  2480000.0    0.00436   18.243916-21.048975  3s2.3p.4s   3P*         2.0      3s2.3p.4p   3D          1.0      5-3      E1    

1374.07   68100.0      2.7e-05   1.40384-10.427       3s2.3p2     1D          2.0      3s.3p3      3D*         3.0      5-7      E1    
1375.06   5530.0       1.57e-06  1.40384-10.42046     3s2.3p2     1D          2.0      3s.3p3      3D*         2.0      5-5      E1    
1375.58   54200.0      9.23e-06  1.40384-10.41707     3s2.3p2     1D          2.0      3s.3p3      3D*         1.0      5-3      E1    

1200.966  66200000.0   0.02      0.103289-10.427      3s2.3p2     3P          2.0      3s.3p3      3D*         3.0      5-7      E1    
1201.726  13600000.0   0.00295   0.103289-10.42046    3s2.3p2     3P          2.0      3s.3p3      3D*         2.0      5-5      E1    
1202.122  1360000.0    0.000177  0.103289-10.41707    3s2.3p2     3P          2.0      3s.3p3      3D*         1.0      5-3      E1    

