Ritz      Aud          fdu       E_d(eV)-E_u(eV)    lower_conf      lower_term  lower_J  upper_conf      upper_term  upper_J  g_d-g_u  type  
---------------------------------------------------------------------------------------------------------------------------------------------
1359.163  11600000.0   0.00481   27.82647-36.94857  3s.3p.(3P*).3d  4D*         1.5      3s.3p.(3P*).4p  4P          2.5      4-6      E1    
1366.921  182000000.0  0.051     27.82647-36.89679  3s.3p.(3P*).3d  4D*         1.5      3s.3p.(3P*).4p  4P          1.5      4-4      E1    
1370.586  282000000.0  0.0397    27.82647-36.87254  3s.3p.(3P*).3d  4D*         1.5      3s.3p.(3P*).4p  4P          0.5      4-2      E1    

1091.184  217000000.0  0.0517    27.83933-39.20168  3s.3p.(3P*).3d  4D*         2.5      3p2.(3P).3d     4F          3.5      6-8      E1    
1094.293  61300000.0   0.011     27.83933-39.1694   3s.3p.(3P*).3d  4D*         2.5      3p2.(3P).3d     4F          2.5      6-6      E1    
1096.559  4990000.0    0.0006    27.83933-39.14599  3s.3p.(3P*).3d  4D*         2.5      3p2.(3P).3d     4F          1.5      6-4      E1    

1088.215  255000000.0  0.0567    27.849-39.24235    3s.3p.(3P*).3d  4D*         3.5      3p2.(3P).3d     4F          4.5      8-10     E1    
1092.113  36000000.0   0.00644   27.849-39.20168    3s.3p.(3P*).3d  4D*         3.5      3p2.(3P).3d     4F          3.5      8-8      E1    
1095.228  2420000.0    0.000327  27.849-39.1694     3s.3p.(3P*).3d  4D*         3.5      3p2.(3P).3d     4F          2.5      8-6      E1    

1107.496  9610000.0    0.00265   25.22369-36.4187   3s.3p.(3P*).3d  4F*         1.5      3s.3p.(3P*).4p  4D          2.5      4-6      E1    
1110.861  200000000.0  0.037     25.22369-36.38479  3s.3p.(3P*).3d  4F*         1.5      3s.3p.(3P*).4p  4D          1.5      4-4      E1    
1112.743  996000000.0  0.0925    25.22369-36.3659   3s.3p.(3P*).3d  4F*         1.5      3s.3p.(3P*).4p  4D          0.5      4-2      E1    

1103.151  5300000.0    0.00129   25.24725-36.48634  3s.3p.(3P*).3d  4F*         2.5      3s.3p.(3P*).4p  4D          3.5      6-8      E1    
1109.831  174000000.0  0.0322    25.24725-36.4187   3s.3p.(3P*).3d  4F*         2.5      3s.3p.(3P*).4p  4D          2.5      6-6      E1    
1113.21   799000000.0  0.099     25.24725-36.38479  3s.3p.(3P*).3d  4F*         2.5      3s.3p.(3P*).4p  4D          1.5      6-4      E1    

