Ritz      Aud           fdu       E_d(eV)-E_u(eV)      lower_conf      lower_term  lower_J  upper_conf      upper_term  upper_J  g_d-g_u  type  
------------------------------------------------------------------------------------------------------------------------------------------------
6662.37   36400000.0    0.363     14.503471-16.364433  3s.3p.(3P*).4s  4P*         1.5      3s.3p.(3P*).4p  4D          2.5      4-6      E1    
6718.83   27000000.0    0.183     14.503471-16.348796  3s.3p.(3P*).4s  4P*         1.5      3s.3p.(3P*).4p  4D          1.5      4-4      E1    
6753.8    8310000.0     0.0284    14.503471-16.33925   3s.3p.(3P*).4s  4P*         1.5      3s.3p.(3P*).4p  4D          0.5      4-2      E1    

6673.68   48000000.0    0.427     14.528228-16.386036  3s.3p.(3P*).4s  4P*         2.5      3s.3p.(3P*).4p  4D          3.5      6-8      E1    
6752.2    14900000.0    0.102     14.528228-16.364433  3s.3p.(3P*).4s  4P*         2.5      3s.3p.(3P*).4p  4D          2.5      6-6      E1    
6810.19   2440000.0     0.0113    14.528228-16.348796  3s.3p.(3P*).4s  4P*         2.5      3s.3p.(3P*).4p  4D          1.5      6-4      E1    

1223.896  1240000000.0  0.139     5.322966-15.45325    3s.3p2          4P          1.5      3s.3p.(3P*).3d  4P*         0.5      4-2      E1    
1224.245  672000000.0   0.151     5.322966-15.45037    3s.3p2          4P          1.5      3s.3p.(3P*).3d  4P*         1.5      4-4      E1    
1224.968  439000000.0   0.148     5.322966-15.44439    3s.3p2          4P          1.5      3s.3p.(3P*).3d  4P*         2.5      4-6      E1    

1346.884  250000000.0   0.102     5.322966-14.528228   3s.3p2          4P          1.5      3s.3p.(3P*).4s  4P*         2.5      4-6      E1    
1350.516  161000000.0   0.0441    5.322966-14.503471   3s.3p2          4P          1.5      3s.3p.(3P*).4s  4P*         1.5      4-4      E1    
1352.635  612000000.0   0.084     5.322966-14.489089   3s.3p2          4P          1.5      3s.3p.(3P*).4s  4P*         0.5      4-2      E1    

1229.383  2250000000.0  0.68      5.3447-15.42977      3s.3p2          4P          2.5      3s.3p.(3P*).3d  4D*         3.5      6-8      E1    
1231.263  165000000.0   0.025     5.3447-15.41437      3s.3p2          4P          2.5      3s.3p.(3P*).3d  4D*         1.5      6-4      E1    
1231.391  990000000.0   0.225     5.3447-15.41333      3s.3p2          4P          2.5      3s.3p.(3P*).3d  4D*         2.5      6-6      E1    

2335.321  2440.0        2.99e-06  0.035613-5.3447      3s2.3p          2P*         1.5      3s.3p2          4P          2.5      4-6      E1    
2344.92   1310.0        1.08e-06  0.035613-5.322966    3s2.3p          2P*         1.5      3s.3p2          4P          1.5      4-4      E1    
2350.892  4700.0        1.95e-06  0.035613-5.309535    3s2.3p          2P*         1.5      3s.3p2          4P          0.5      4-2      E1    

