Ritz       Aud           fdu       E_d(eV)-E_u(eV)      lower_conf  lower_term  lower_J  upper_conf  upper_term  upper_J  g_d-g_u  type  
-----------------------------------------------------------------------------------------------------------------------------------------
3248.623   1220000.0     0.00322   26.9524-30.768916    3p.3d       3D*         1.0      3p.4p       3P          2.0      3-5      E1    
3271.403   29900000.0    0.0479    26.9524-30.74234     3p.3d       3D*         1.0      3p.4p       3P          1.0      3-3      E1    
3280.206   118000000.0   0.0637    26.9524-30.732169    3p.3d       3D*         1.0      3p.4p       3P          0.0      3-1      E1    

2166.217   447000.0      0.00044   24.663327-30.386863  3p.3d       3F*         2.0      3p.4p       3D          3.0      5-7      E1    
2176.615   21800000.0    0.0155    24.663327-30.359521  3p.3d       3F*         2.0      3p.4p       3D          2.0      5-5      E1    
2182.749   195000000.0   0.0834    24.663327-30.343512  3p.3d       3F*         2.0      3p.4p       3D          1.0      5-3      E1    

3550.434   1770.0        4.68e-06  24.663327-28.155413  3p.3d       3F*         2.0      3s.5d       3D          3.0      5-7      E1    
3551.003   87800.0       0.000166  24.663327-28.154854  3p.3d       3F*         2.0      3s.5d       3D          2.0      5-5      E1    
3551.384   787000.0      0.000893  24.663327-28.154479  3p.3d       3F*         2.0      3s.5d       3D          1.0      5-3      E1    

2415.956   46400.0       5.68e-05  24.663327-29.795217  3p.3d       3F*         2.0      3s.6d       3D          3.0      5-7      E1    
2417.729   2290000.0     0.00201   24.663327-29.791454  3p.3d       3F*         2.0      3s.6d       3D          2.0      5-5      E1    
2419.016   20500000.0    0.0108    24.663327-29.788726  3p.3d       3F*         2.0      3s.6d       3D          1.0      5-3      E1    

1992.112   47300.0       3.94e-05  24.663327-30.887085  3p.3d       3F*         2.0      3s.7d       3D          3.0      5-7      E1    
1992.796   2350000.0     0.0014    24.663327-30.884947  3p.3d       3F*         2.0      3s.7d       3D          2.0      5-5      E1    
1993.21    21000000.0    0.00752   24.663327-30.88366   3p.3d       3F*         2.0      3s.7d       3D          1.0      5-3      E1    

3136.827   15400000.0    0.0379    26.81638-30.768916   3p.3d       3P*         1.0      3p.4p       3P          2.0      3-5      E1    
3158.061   15100000.0    0.0226    26.81638-30.74234    3p.3d       3P*         1.0      3p.4p       3P          1.0      3-3      E1    
3166.263   59900000.0    0.03      26.81638-30.732169   3p.3d       3P*         1.0      3p.4p       3P          0.0      3-1      E1    

4620.94    28900000.0    0.154     28.085821-30.768916  3p.4s       3P*         1.0      3p.4p       3P          2.0      3-5      E1    
4667.168   27900000.0    0.0912    28.085821-30.74234   3p.4s       3P*         1.0      3p.4p       3P          1.0      3-3      E1    
4685.105   110000000.0   0.121     28.085821-30.732169  3p.4s       3P*         1.0      3p.4p       3P          0.0      3-1      E1    

5474.562   60700000.0    0.382     28.122131-30.386863  3p.4s       3P*         2.0      3p.4p       3D          3.0      5-7      E1    
5541.465   14600000.0    0.0674    28.122131-30.359521  3p.4s       3P*         2.0      3p.4p       3D          2.0      5-5      E1    
5581.401   1590000.0     0.00446   28.122131-30.343512  3p.4s       3P*         2.0      3p.4p       3D          1.0      5-3      E1    

1155.9586  2220000000.0  0.148     16.098353-26.824014  3p2         3P          1.0      3p.3d       3P*         0.0      3-1      E1    
1156.7819  422000000.0   0.0846    16.098353-26.81638   3p2         3P          1.0      3p.3d       3P*         1.0      3-3      E1    
1158.1008  788000000.0   0.264     16.098353-26.804174  3p2         3P          1.0      3p.3d       3P*         2.0      3-5      E1    

1031.1584  272000000.0   0.0722    16.098353-28.122131  3p2         3P          1.0      3p.4s       3P*         2.0      3-5      E1    
1034.2818  269000000.0   0.0432    16.098353-28.085821  3p2         3P          1.0      3p.4s       3P*         1.0      3-3      E1    
1035.6466  1070000000.0  0.0575    16.098353-28.070023  3p2         3P          1.0      3p.4s       3P*         0.0      3-1      E1    

1144.3092  3860000000.0  1.06      16.130409-26.96526   3p2         3P          2.0      3p.3d       3D*         3.0      5-7      E1    
1144.9586  1190000000.0  0.234     16.130409-26.959114  3p2         3P          2.0      3p.3d       3D*         2.0      5-5      E1    
1145.6689  158000000.0   0.0186    16.130409-26.9524    3p2         3P          2.0      3p.3d       3D*         1.0      5-3      E1    

1362.361   1060000000.0  0.0981    17.723324-26.824014  3s.3d       3D          1.0      3p.3d       3P*         0.0      3-1      E1    
1363.504   202000000.0   0.0564    17.723324-26.81638   3s.3d       3D          1.0      3p.3d       3P*         1.0      3-3      E1    
1365.337   4780000.0     0.00222   17.723324-26.804174  3s.3d       3D          1.0      3p.3d       3P*         2.0      3-5      E1    

1192.2926  304000.0      0.000108  17.723324-28.122131  3s.3d       3D          1.0      3p.4s       3P*         2.0      3-5      E1    
1196.4704  7550000.0     0.00162   17.723324-28.085821  3s.3d       3D          1.0      3p.4s       3P*         1.0      3-3      E1    
1198.2972  30000000.0    0.00215   17.723324-28.070023  3s.3d       3D          1.0      3p.4s       3P*         0.0      3-1      E1    

3087.562   1740000.0     0.00415   17.723324-21.738926  3s.3d       3D          1.0      3s.4p       3P*         2.0      3-5      E1    
3094.553   43300000.0    0.0621    17.723324-21.729855  3s.3d       3D          1.0      3s.4p       3P*         1.0      3-3      E1    
3097.725   173000000.0   0.083     17.723324-21.725752  3s.3d       3D          1.0      3s.4p       3P*         0.0      3-1      E1    

1341.496   111000000.0   0.042     17.723025-26.96526   3s.3d       3D          2.0      3p.3d       3D*         3.0      5-7      E1    
1342.389   754000000.0   0.204     17.723025-26.959114  3s.3d       3D          2.0      3p.3d       3D*         2.0      5-5      E1    
1343.365   187000000.0   0.0303    17.723025-26.9524    3s.3d       3D          2.0      3p.3d       3D*         1.0      5-3      E1    

1778.715   37600000.0    0.023     17.722765-24.693201  3s.3d       3D          3.0      3p.3d       3F*         4.0      7-9      E1    
1783.079   4810000.0     0.00229   17.722765-24.67614   3s.3d       3D          3.0      3p.3d       3F*         3.0      7-7      E1    
1786.371   208000.0      7.09e-05  17.722765-24.663327  3s.3d       3D          3.0      3p.3d       3F*         2.0      7-5      E1    

1500.241   2100000000.0  0.911     17.722765-25.987051  3s.3d       3D          3.0      3s.4f       3F*         4.0      7-9      E1    
1501.15    2750000000.0  0.93      17.722765-25.982046  3s.3d       3D          3.0      3s.4f       3F*         3.0      7-7      E1    
1501.78    9190000.0     0.00222   17.722765-25.978583  3s.3d       3D          3.0      3s.4f       3F*         2.0      7-5      E1    

1294.5446  535000000.0   0.224     6.552972-16.130409   3s.3p       3P*         1.0      3p2         3P          2.0      3-5      E1    
1298.8921  529000000.0   0.134     6.552972-16.098353   3s.3p       3P*         1.0      3p2         3P          1.0      3-3      E1    
1301.1486  2110000000.0  0.178     6.552972-16.081798   3s.3p       3P*         1.0      3p2         3P          0.0      3-1      E1    

6778.5     17700000.0    0.0407    24.994933-26.824014  3s.4d       3D          1.0      3p.3d       3P*         0.0      3-1      E1    
6806.91    4380000.0     0.0304    24.994933-26.81638   3s.4d       3D          1.0      3p.3d       3P*         1.0      3-3      E1    
6852.83    171000.0      0.00201   24.994933-26.804174  3s.4d       3D          1.0      3p.3d       3P*         2.0      3-5      E1    

3964.706   43300.0       0.00017   24.994933-28.122131  3s.4d       3D          1.0      3p.4s       3P*         2.0      3-5      E1    
4011.281   1040000.0     0.00252   24.994933-28.085821  3s.4d       3D          1.0      3p.4s       3P*         1.0      3-3      E1    
4031.889   4110000.0     0.00334   24.994933-28.070023  3s.4d       3D          1.0      3p.4s       3P*         0.0      3-1      E1    

7463.95    49900000.0    0.139     24.994933-26.65604   3s.4d       3D          1.0      3s.5p       3P*         0.0      3-1      E1    
7464.4     12500000.0    0.104     24.994933-26.655939  3s.4d       3D          1.0      3s.5p       3P*         1.0      3-3      E1    
7467.4     499000.0      0.00695   24.994933-26.655272  3s.4d       3D          1.0      3s.5p       3P*         2.0      3-5      E1    

3044.654   299000.0      0.000692  24.994933-29.067126  3s.4d       3D          1.0      3s.6p       3P*         2.0      3-5      E1    
3045.932   7480000.0     0.0104    24.994933-29.065417  3s.4d       3D          1.0      3s.6p       3P*         1.0      3-3      E1    
3047.17    29700000.0    0.0138    24.994933-29.063765  3s.4d       3D          1.0      3s.6p       3P*         0.0      3-1      E1    

12499.66   10400000.0    0.314     24.99515-25.987051   3s.4d       3D          3.0      3s.4f       3F*         4.0      7-9      E1    
12563.05   1140000.0     0.027     24.99515-25.982046   3s.4d       3D          3.0      3s.4f       3F*         3.0      7-7      E1    
12607.29   44700.0       0.00076   24.99515-25.978583   3s.4d       3D          3.0      3s.4f       3F*         2.0      7-5      E1    

2812.53    54700.0       9.08e-05  25.978583-30.386863  3s.4f       3F*         2.0      3p.4p       3D          3.0      5-7      E1    
2830.083   2660000.0     0.0032    25.978583-30.359521  3s.4f       3F*         2.0      3p.4p       3D          2.0      5-5      E1    
2840.463   23700000.0    0.0172    25.978583-30.343512  3s.4f       3F*         2.0      3p.4p       3D          1.0      5-3      E1    

5695.63    47100.0       0.000321  25.978583-28.155413  3s.4f       3F*         2.0      3s.5d       3D          3.0      5-7      E1    
5697.09    2340000.0     0.0114    25.978583-28.154854  3s.4f       3F*         2.0      3s.5d       3D          2.0      5-5      E1    
5698.07    21000000.0    0.0613    25.978583-28.154479  3s.4f       3F*         2.0      3s.5d       3D          1.0      5-3      E1    

3248.522   44600.0       9.88e-05  25.978583-29.795217  3s.4f       3F*         2.0      3s.6d       3D          3.0      5-7      E1    
3251.728   2210000.0     0.0035    25.978583-29.791454  3s.4f       3F*         2.0      3s.6d       3D          2.0      5-5      E1    
3254.056   19700000.0    0.0188    25.978583-29.788726  3s.4f       3F*         2.0      3s.6d       3D          1.0      5-3      E1    

1371.649   268000000.0   0.126     21.729855-30.768916  3s.4p       3P*         1.0      3p.4p       3P          2.0      3-5      E1    
1375.694   265000000.0   0.0752    21.729855-30.74234   3s.4p       3P*         1.0      3p.4p       3P          1.0      3-3      E1    
1377.248   1050000000.0  0.1       21.729855-30.732169  3s.4p       3P*         1.0      3p.4p       3P          0.0      3-1      E1    

1433.685   867000000.0   0.374     21.738926-30.386863  3s.4p       3P*         2.0      3p.4p       3D          3.0      5-7      E1    
1438.232   214000000.0   0.0665    21.738926-30.359521  3s.4p       3P*         2.0      3p.4p       3D          2.0      5-5      E1    
1440.908   23700000.0    0.00443   21.738926-30.343512  3s.4p       3P*         2.0      3p.4p       3D          1.0      5-3      E1    

1538.974   60300000.0    0.03      21.738926-29.795217  3s.4p       3P*         2.0      3s.6d       3D          3.0      5-7      E1    
1539.693   15100000.0    0.00535   21.738926-29.791454  3s.4p       3P*         2.0      3s.6d       3D          2.0      5-5      E1    
1540.215   1670000.0     0.000356  21.738926-29.788726  3s.4p       3P*         2.0      3s.6d       3D          1.0      5-3      E1    

1587.977   16600000.0    0.00209   19.016331-26.824014  3s.4s       3S          1.0      3p.3d       3P*         0.0      3-1      E1    
1589.531   16500000.0    0.00626   19.016331-26.81638   3s.4s       3S          1.0      3p.3d       3P*         1.0      3-3      E1    
1592.022   16400000.0    0.0104    19.016331-26.804174  3s.4s       3S          1.0      3p.3d       3P*         2.0      3-5      E1    

1361.596   1060000000.0  0.491     19.016331-28.122131  3s.4s       3S          1.0      3p.4s       3P*         2.0      3-5      E1    
1367.047   1050000000.0  0.293     19.016331-28.085821  3s.4s       3S          1.0      3p.4s       3P*         1.0      3-3      E1    
1369.432   1040000000.0  0.0976    19.016331-28.070023  3s.4s       3S          1.0      3p.4s       3P*         0.0      3-1      E1    

4553.898   126000000.0   0.653     19.016331-21.738926  3s.4s       3S          1.0      3s.4p       3P*         2.0      3-5      E1    
4569.121   125000000.0   0.39      19.016331-21.729855  3s.4s       3S          1.0      3s.4p       3P*         1.0      3-3      E1    
4576.039   124000000.0   0.13      19.016331-21.725752  3s.4s       3S          1.0      3s.4p       3P*         0.0      3-1      E1    

13585.13   291000.0      0.0134    28.154479-29.067126  3s.5d       3D          1.0      3s.6p       3P*         2.0      3-5      E1    
13610.61   7200000.0     0.2       28.154479-29.065417  3s.5d       3D          1.0      3s.6p       3P*         1.0      3-3      E1    
13635.35   28700000.0    0.267     28.154479-29.063765  3s.5d       3D          1.0      3s.6p       3P*         0.0      3-1      E1    

5598.44    117000.0      0.000915  28.154479-30.3691    3s.5d       3D          1.0      3s.7p       3P*         2.0      3-5      E1    
5601.56    2910000.0     0.0137    28.154479-30.367866  3s.5d       3D          1.0      3s.7p       3P*         1.0      3-3      E1    
