Ritz       Aud           fdu      E_d(eV)-E_u(eV)      lower_conf  lower_term  lower_J  upper_conf      upper_term  upper_J  g_d-g_u  type  
--------------------------------------------------------------------------------------------------------------------------------------------
1391.103   2300000000.0  1.0      5.9968906-14.90955   5s.5p2      4P          1.5      5s.5p.(3P*).5d  4D*         2.5      4-6      E1    
1394.776   1000000000.0  0.31     5.9968906-14.88608   5s.5p2      4P          1.5      5s.5p.(3P*).5d  4D*         1.5      4-4      E1    
1396.396   240000000.0   0.035    5.9968906-14.87576   5s.5p2      4P          1.5      5s.5p.(3P*).5d  4D*         0.5      4-2      E1    

1517.967   440000000.0   0.23     5.9968906-14.164668  5s.5p2      4P          1.5      5s.5p.(3P*).6s  4P*         2.5      4-6      E1    
1602.331   110000000.0   0.041    5.9968906-13.73463   5s.5p2      4P          1.5      5s.5p.(3P*).6s  4P*         1.5      4-4      E1    
1637.052   660000000.0   0.13     5.9968906-13.57052   5s.5p2      4P          1.5      5s.5p.(3P*).6s  4P*         0.5      4-2      E1    

2151.5218  400000.0      0.00042  0.5271181-6.2897462  5s2.5p      2P*         1.5      5s.5p2          4P          2.5      4-6      E1    
2266.7158  430000.0      0.00033  0.5271181-5.9968906  5s2.5p      2P*         1.5      5s.5p2          4P          1.5      4-4      E1    
2368.9499  560000.0      0.00023  0.5271181-5.7608378  5s2.5p      2P*         1.5      5s.5p2          4P          0.5      4-2      E1    

