Ritz      Aud          fdu      E_d(eV)-E_u(eV)      lower_conf  lower_term  lower_J  upper_conf  upper_term  upper_J  g_d-g_u  type  
--------------------------------------------------------------------------------------------------------------------------------------
3398.212  180000000.0  0.1      16.209672-19.858185  3p6.3d.4d   3S          1.0      3p6.3d.4f   3P*         0.0      3-1      E1    
3405.439  180000000.0  0.31     16.209672-19.850442  3p6.3d.4d   3S          1.0      3p6.3d.4f   3P*         1.0      3-3      E1    
3418.602  190000000.0  0.55     16.209672-19.836423  3p6.3d.4d   3S          1.0      3p6.3d.4f   3P*         2.0      3-5      E1    

7462.06   44000000.0   0.12     20.945002-22.606529  3p6.3d.5d   3S          1.0      3p6.3d.5f   3P*         0.0      3-1      E1    
7494.05   34000000.0   0.29     20.945002-22.599437  3p6.3d.5d   3S          1.0      3p6.3d.5f   3P*         1.0      3-3      E1    
7533.21   45000000.0   0.64     20.945002-22.590837  3p6.3d.5d   3S          1.0      3p6.3d.5f   3P*         2.0      3-5      E1    

3338.62   0.025        5.8e-11  1.05058-4.764216     3p6.3d2     1D          2.0      3p6.3d.4s   3D          3.0      5-7      E2    
3364.12   0.062        1.1e-10  1.05058-4.736066     3p6.3d2     1D          2.0      3p6.3d.4s   3D          2.0      5-5      E2    
3379.42   0.023        2.4e-11  1.05058-4.719378     3p6.3d2     1D          2.0      3p6.3d.4s   3D          1.0      5-3      E2    

2614.99   12.0         1.2e-08  0.02292-4.764216     3p6.3d2     3F          3.0      3p6.3d.4s   3D          3.0      7-7      E2    
2630.61   26.0         1.9e-08  0.02292-4.736066     3p6.3d2     3F          3.0      3p6.3d.4s   3D          2.0      7-5      E2    
2639.95   17.0         7.6e-09  0.02292-4.719378     3p6.3d2     3F          3.0      3p6.3d.4s   3D          1.0      7-3      E2    

3594.23   1.4          6.3e-09  1.31468-4.764216     3p6.3d2     3P          1.0      3p6.3d.4s   3D          3.0      3-7      E2    
3623.8    0.33         1.1e-09  1.31468-4.736066     3p6.3d2     3P          1.0      3p6.3d.4s   3D          2.0      3-5      E2    
3641.56   2.9          5.8e-09  1.31468-4.719378     3p6.3d2     3P          1.0      3p6.3d.4s   3D          1.0      3-3      E2    

3609.48   2.7          7.4e-09  1.32926-4.764216     3p6.3d2     3P          2.0      3p6.3d.4s   3D          3.0      5-7      E2    
3639.31   2.2          4.4e-09  1.32926-4.736066     3p6.3d2     3P          2.0      3p6.3d.4s   3D          2.0      5-5      E2    
3657.22   0.94         1.1e-09  1.32926-4.719378     3p6.3d2     3P          2.0      3p6.3d.4s   3D          1.0      5-3      E2    

