Ritz      Aud           fdu       E_d(eV)-E_u(eV)    lower_conf  lower_term  lower_J  upper_conf  upper_term  upper_J  g_d-g_u  type  
--------------------------------------------------------------------------------------------------------------------------------------
3275.89   33000000.0    0.088     28.09694-31.88169  3p6.3d.4d   3P          1.0      3p6.3d.5p   3P*         2.0      3-5      E1    
3315.13   29000000.0    0.048     28.09694-31.83689  3p6.3d.4d   3P          1.0      3p6.3d.5p   3P*         1.0      3-3      E1    
3319.74   120000000.0   0.066     28.09694-31.83169  3p6.3d.4d   3P          1.0      3p6.3d.5p   3P*         0.0      3-1      E1    

1326.8    400000000.0   0.18      18.77456-28.11916  3p6.3d.4p   3P*         1.0      3p6.3d.4d   3P          2.0      3-5      E1    
1329.96   480000000.0   0.13      18.77456-28.09694  3p6.3d.4p   3P*         1.0      3p6.3d.4d   3P          1.0      3-3      E1    
1331.65   1700000000.0  0.15      18.77456-28.0851   3p6.3d.4p   3P*         1.0      3p6.3d.4d   3P          0.0      3-1      E1    

1982.44   65000000.0    0.054     11.95358-18.20771  3p6.3d.4s   3D          2.0      3p6.3d.4p   3D*         3.0      5-7      E1    
1999.31   360000000.0   0.22      11.95358-18.15492  3p6.3d.4s   3D          2.0      3p6.3d.4p   3D*         2.0      5-5      E1    
2011.85   170000000.0   0.062     11.95358-18.11629  3p6.3d.4s   3D          2.0      3p6.3d.4p   3D*         1.0      5-3      E1    

1164.976  4.9           1.4e-09   1.35878-12.00142   3p6.3d2     1D          2.0      3p6.3d.4s   3D          3.0      5-7      E2    
1170.237  12.0          2.5e-09   1.35878-11.95358   3p6.3d2     1D          2.0      3p6.3d.4s   3D          2.0      5-5      E2    
1173.202  3.9           4.8e-10   1.35878-11.9268    3p6.3d2     1D          2.0      3p6.3d.4s   3D          1.0      5-3      E2    

1036.564  390.0         6.28e-08  0.04034-12.00142   3p6.3d2     3F          3.0      3p6.3d.4s   3D          3.0      7-7      E2    
1040.727  880.0         1.02e-07  0.04034-11.95358   3p6.3d2     3F          3.0      3p6.3d.4s   3D          2.0      7-5      E2    
1043.072  580.0         4.05e-08  0.04034-11.9268    3p6.3d2     3F          3.0      3p6.3d.4s   3D          1.0      7-3      E2    

1196.762  130.0         6.51e-08  1.64145-12.00142   3p6.3d2     3P          1.0      3p6.3d.4s   3D          3.0      3-7      E2    
1202.315  31.0          1.1e-08   1.64145-11.95358   3p6.3d2     3P          1.0      3p6.3d.4s   3D          2.0      3-5      E2    
1205.445  270.0         5.88e-08  1.64145-11.9268    3p6.3d2     3P          1.0      3p6.3d.4s   3D          1.0      3-3      E2    

1199.908  240.0         7.25e-08  1.66862-12.00142   3p6.3d2     3P          2.0      3p6.3d.4s   3D          3.0      5-7      E2    
1205.49   200.0         4.36e-08  1.66862-11.95358   3p6.3d2     3P          2.0      3p6.3d.4s   3D          2.0      5-5      E2    
1208.637  87.0          1.1e-08   1.66862-11.9268    3p6.3d2     3P          2.0      3p6.3d.4s   3D          1.0      5-3      E2    

