Ritz       Aud          fdu      E_d(eV)-E_u(eV)     lower_conf  lower_term  lower_J  upper_conf  upper_term  upper_J  g_d-g_u  type  
--------------------------------------------------------------------------------------------------------------------------------------
1951.8281  17300000.0   0.0138   6.651613-13.003822  4d.5p       1D*         2.0      4d.5d       3D          3.0      5-7      E1    
1981.6884  37800000.0   0.0223   6.651613-12.908106  4d.5p       1D*         2.0      4d.5d       3D          2.0      5-5      E1    
1996.94    11400000.0   0.00409  6.651613-12.860322  4d.5p       1D*         2.0      4d.5d       3D          1.0      5-3      E1    

2082.3993  339000000.0  0.367    7.701577-13.655488  4d.5p       1P*         1.0      4d.5d       3P          2.0      3-5      E1    
2105.9184  19500000.0   0.013    7.701577-13.588994  4d.5p       1P*         1.0      4d.5d       3P          1.0      3-3      E1    
2123.4     17300000.0   0.0039   7.701577-13.540524  4d.5p       1P*         1.0      4d.5d       3P          0.0      3-1      E1    

1914.17    49200000.0   0.0347   6.952702-13.42988   4d.5p       3F*         3.0      4d.5d       3F          4.0      7-9      E1    
1932.4911  487000000.0  0.273    6.952702-13.368472  4d.5p       3F*         3.0      4d.5d       3F          3.0      7-7      E1    
1953.8928  30500000.0   0.0125   6.952702-13.298198  4d.5p       3F*         3.0      4d.5d       3F          2.0      7-5      E1    

1982.5744  57400000.0   0.0564   7.401791-13.655488  4d.5p       3P*         1.0      4d.5d       3P          2.0      3-5      E1    
2003.8811  108000000.0  0.065    7.401791-13.588994  4d.5p       3P*         1.0      4d.5d       3P          1.0      3-3      E1    
2019.703   189000000.0  0.0385   7.401791-13.540524  4d.5p       3P*         1.0      4d.5d       3P          0.0      3-1      E1    

1451.3613  156000000.0  0.0821   7.401791-15.944405  4d.5p       3P*         1.0      5p2         3P          2.0      3-5      E1    
1489.105   182000000.0  0.0605   7.401791-15.727879  4d.5p       3P*         1.0      5p2         3P          1.0      3-3      E1    
1508.3859  72100000.0   0.0082   7.401791-15.621451  4d.5p       3P*         1.0      5p2         3P          0.0      3-1      E1    

2062.137   519000000.0  0.551    9.931991-15.944405  5s.5p       3P*         1.0      5p2         3P          2.0      3-5      E1    
2139.175   362000000.0  0.248    9.931991-15.727879  5s.5p       3P*         1.0      5p2         3P          1.0      3-3      E1    
2179.191   457000000.0  0.108    9.931991-15.621451  5s.5p       3P*         1.0      5p2         3P          0.0      3-1      E1    

